disease,model,n,n_pos,prevalence,auc,threshold,sensitivity,specificity,accuracy
당뇨병_여부,clinic4,9914,1180,0.11902360298567682,0.6432235409640098,0.10900435424129912,0.6966101694915254,0.5180902221204489,0.5393383094613677
당뇨병_여부,clinic4_aec_combined,9914,1180,0.11902360298567682,0.6471878844802894,0.11524362084275956,0.6550847457627119,0.5597664300435081,0.571111559410934
고혈압_여부,clinic4,9914,1991,0.2008271131732903,0.6576119738114714,0.18897436127818612,0.6755399296835761,0.563801590306702,0.586241678434537
고혈압_여부,clinic4_aec_combined,9914,1991,0.2008271131732903,0.6567550950119917,0.19339866784655424,0.6599698643897539,0.5786949387858135,0.5950171474682268
이상지질혈증_여부,clinic4,9914,1998,0.20153318539439177,0.55345296028722,0.19779053965096807,0.5605605605605606,0.5197069226882264,0.5279402864635868
이상지질혈증_여부,clinic4_aec_combined,9914,1998,0.20153318539439177,0.5568247631158192,0.2092109278025478,0.4369369369369369,0.6541182415361294,0.6103490014121444
골다공증_여부,clinic4,9914,546,0.05507363324591487,0.7779229736958174,0.0636406248533322,0.8058608058608059,0.6558497011101623,0.6641113576760137
골다공증_여부,clinic4_aec_combined,9914,546,0.05507363324591487,0.7746533284534993,0.05661758640768572,0.847985347985348,0.6163535439795047,0.6291103490014122
심근경색_여부,clinic4,9914,73,0.007363324591486787,0.7195316491112803,0.00869636783886198,0.6575342465753424,0.7120211360634082,0.7116199314101271
심근경색_여부,clinic4_aec_combined,9914,73,0.007363324591486787,0.7448388277725424,0.005484018333486271,0.8493150684931506,0.5516715780916573,0.5538632237240266
뇌졸중_여부,clinic4,9914,328,0.03308452693161186,0.6811392566903971,0.03832571666388023,0.573170731707317,0.7197997079073649,0.7149485575953197
뇌졸중_여부,clinic4_aec_combined,9914,328,0.03308452693161186,0.6784506622971508,0.032288807899958576,0.6463414634146342,0.6389526392655956,0.6391970950171475
