region_key,region,feature,descriptor,sign,width,lambda,internal_score,internal_mean_specificity_gain,internal_min_specificity_gain,internal_mean_accuracy_gain,internal_min_accuracy_gain,internal_max_sensitivity_loss,internal_min_deesc_n,external_mean_specificity_gain,external_min_specificity_gain,external_mean_accuracy_gain,external_min_accuracy_gain,external_max_sensitivity_loss,external_min_deesc_n
R1_045_056,R1,R1_045_056__linear_slope,linear_slope,1,0.7,0.7,0.09346943979262055,0.09434616718695803,0.08532778355879292,0.07492354740061162,0.06513761467889911,0.08527131782945736,93,0.08280254777070063,0.08025477707006369,0.0637149028077754,0.06155507559395246,0.0425531914893617,69
R1_045_056,R1,R1_045_056__endpoint_delta,endpoint_delta,1,0.7,0.7,0.09316362939506705,0.09469302809573361,0.08532778355879292,0.07461773700305811,0.06513761467889911,0.08527131782945736,93,0.08152866242038216,0.07770700636942675,0.06299496040316777,0.05939524838012955,0.0425531914893617,67
R1_045_056,R1,R1_045_056__slope_mean,slope_mean,1,0.7,0.7,0.09222547942401398,0.09712105445716268,0.08428720083246619,0.07614678899082565,0.06422018348623848,0.09302325581395349,92,0.07855626326963906,0.07261146496815286,0.06083513318934486,0.056155507559395246,0.0425531914893617,62
R1_045_056,R1,R1_045_056__level_sd,level_sd,-1,0.7,0.7,0.08943530422410279,0.09191814082552896,0.08220603537981269,0.07247706422018348,0.062385321100917435,0.08527131782945736,90,0.08874734607218683,0.08789808917197452,0.06839452843772502,0.06695464362850978,0.04964539007092199,74
R1_045_056,R1,R1_045_056__abs_slope_mean,abs_slope_mean,-1,0.7,0.7,0.08709381547813706,0.0929587235518557,0.08324661810613944,0.07186544342507643,0.062385321100917435,0.09302325581395349,92,0.08959660297239914,0.08662420382165605,0.06875449964002882,0.06587473002159827,0.04964539007092199,75
R1_045_056,R1,R1_045_056__endpoint_delta,endpoint_delta,1,0.5,0.7,0.08432014262814,0.08706208810267084,0.07492195629552549,0.06880733944954127,0.056880733944954076,0.07751937984496124,82,0.06963906581740976,0.06624203821656051,0.054355651547876215,0.050755939524838034,0.03546099290780142,57
R1_045_056,R1,R1_045_056__linear_slope,linear_slope,1,0.5,0.7,0.08401433223058646,0.08636836628511967,0.07492195629552549,0.06850152905198774,0.056880733944954076,0.07751937984496124,82,0.07303609341825902,0.06878980891719745,0.05687544996400292,0.05399568034557234,0.0425531914893617,58
R1_045_056,R1,R1_045_056__level_sd,level_sd,-1,0.5,0.7,0.08187365944771183,0.08428720083246617,0.07492195629552549,0.0663608562691131,0.056880733944954076,0.07751937984496124,82,0.0781316348195329,0.07643312101910828,0.06083513318934486,0.05831533477321815,0.0425531914893617,66
R1_045_056,R1,R1_045_056__endpoint_delta,endpoint_delta,1,0.7,0.55,0.08059181745717578,0.08428720083246617,0.07180020811654526,0.06666666666666665,0.05412844036697251,0.07751937984496124,79,0.07091295116772824,0.06751592356687898,0.054715622750180014,0.05183585313174943,0.03546099290780142,58
R1_045_056,R1,R1_045_056__slope_mean,slope_mean,1,0.5,0.7,0.0799149561731954,0.08775580992022199,0.07388137356919876,0.06880733944954127,0.05596330275229355,0.09302325581395349,81,0.06878980891719745,0.062420382165605096,0.053635709143268574,0.04751619870410373,0.03546099290780142,54
