exp,feature,model,cohort,base_r2,base_ci,new_r2,new_ci,delta,dir,ci_overlap,significant
mean,IMATA_SUM,clinic4_aec_mean,internal,0.333,"[0.284,0.382]",0.355,"[0.310,0.400]",0.022,up,True,False
mean,IMATA_SUM,clinic4_aec_mean,external,0.282,"[0.212,0.344]",0.191,"[0.123,0.254]",-0.091,down,True,False
mean,IMATA_SUM,clinic4_aec_mean2,internal,0.333,"[0.284,0.382]",0.374,"[0.329,0.421]",0.041,up,True,False
mean,IMATA_SUM,clinic4_aec_mean2,external,0.282,"[0.212,0.344]",0.248,"[0.189,0.302]",-0.035,down,True,False
mean,IMATA_SUM,clinic4_aec_mean4,internal,0.333,"[0.284,0.382]",0.386,"[0.336,0.436]",0.053,up,True,False
mean,IMATA_SUM,clinic4_aec_mean4,external,0.282,"[0.212,0.344]",0.244,"[0.185,0.300]",-0.039,down,True,False
mean,IMATA_SUM,clinic4_aec_mean8,internal,0.333,"[0.284,0.382]",0.39,"[0.341,0.438]",0.057,up,True,False
mean,IMATA_SUM,clinic4_aec_mean8,external,0.282,"[0.212,0.344]",0.291,"[0.231,0.346]",0.009,up,True,False
mean,IMATA_SUM,clinic4_aec_mean16,internal,0.333,"[0.284,0.382]",0.383,"[0.333,0.434]",0.05,up,True,False
mean,IMATA_SUM,clinic4_aec_mean16,external,0.282,"[0.212,0.344]",0.269,"[0.208,0.325]",-0.014,down,True,False
mean,IMATA_SUM,clinic4_aec_mean32,internal,0.333,"[0.284,0.382]",0.378,"[0.325,0.430]",0.045,up,True,False
mean,IMATA_SUM,clinic4_aec_mean32,external,0.282,"[0.212,0.344]",0.264,"[0.206,0.321]",-0.019,down,True,False
mean,IMATA_SUM,clinic4_aec_mean64,internal,0.333,"[0.284,0.382]",0.358,"[0.301,0.414]",0.026,up,True,False
mean,IMATA_SUM,clinic4_aec_mean64,external,0.282,"[0.212,0.344]",0.241,"[0.175,0.303]",-0.041,down,True,False
mean,IMATA_SUM,clinic4_aec_mean128,internal,0.333,"[0.284,0.382]",0.292,"[0.219,0.356]",-0.04,down,True,False
mean,IMATA_SUM,clinic4_aec_mean128,external,0.282,"[0.212,0.344]",0.206,"[0.137,0.270]",-0.077,down,True,False
mean,NAMA_SUM,clinic4_aec_mean,internal,0.591,"[0.535,0.636]",0.61,"[0.556,0.655]",0.019,up,True,False
mean,NAMA_SUM,clinic4_aec_mean,external,0.568,"[0.511,0.614]",0.374,"[0.295,0.444]",-0.193,down,False,True
