feature,cohort,predictor_group,predictor,n_seg,segment,r,p_value,n
imata,internal,aec_segment,seg1_1,1.0,1.0,0.4267839326059256,1.7684722830420858e-49,1090
nama,internal,aec_segment,seg1_1,1.0,1.0,0.1170625109633943,0.0001071834209509,1090
lama,internal,aec_segment,seg1_1,1.0,1.0,0.4197748926566726,9.17434974949125e-48,1090
tama,internal,aec_segment,seg1_1,1.0,1.0,0.301873771283325,2.1152134969436622e-24,1090
sat,internal,aec_segment,seg1_1,1.0,1.0,0.3836773840503077,1.4991477609773772e-39,1090
vat,internal,aec_segment,seg1_1,1.0,1.0,0.4745341982713379,2.6935216156004435e-62,1090
total_fat,internal,aec_segment,seg1_1,1.0,1.0,0.4914307200669322,2.4286552417271028e-67,1090
imata,external,aec_segment,seg1_1,1.0,1.0,0.4161705651496581,4.335315204290417e-40,926
nama,external,aec_segment,seg1_1,1.0,1.0,0.1846121525887942,1.523335137050322e-08,926
lama,external,aec_segment,seg1_1,1.0,1.0,0.3523234946815528,1.8857869741664102e-28,926
tama,external,aec_segment,seg1_1,1.0,1.0,0.3727069268145159,6.871971228913443e-32,926
sat,external,aec_segment,seg1_1,1.0,1.0,0.4231952923227985,1.562514709273793e-41,926
vat,external,aec_segment,seg1_1,1.0,1.0,0.4188558118086394,1.228525003458946e-40,926
total_fat,external,aec_segment,seg1_1,1.0,1.0,0.4885225528812933,1.0458270985144845e-56,926
imata,internal,aec_segment,seg2_1,2.0,1.0,0.3178728236224904,5.149132451110431e-27,1090
imata,internal,aec_segment,seg2_2,2.0,2.0,0.4842322274408843,3.709173785905001e-65,1090
nama,internal,aec_segment,seg2_1,2.0,1.0,0.0397867408699976,0.189325291432133,1090
nama,internal,aec_segment,seg2_2,2.0,2.0,0.1763115683889769,4.6219986773950915e-09,1090
lama,internal,aec_segment,seg2_1,2.0,1.0,0.258185468583427,4.655266112262983e-18,1090
lama,internal,aec_segment,seg2_2,2.0,2.0,0.5262528350379341,1.1258171184201684e-78,1090
tama,internal,aec_segment,seg2_1,2.0,1.0,0.1655874820933088,3.827676702595653e-08,1090
tama,internal,aec_segment,seg2_2,2.0,2.0,0.3968707150497707,1.9544163294890184e-42,1090
sat,internal,aec_segment,seg2_1,2.0,1.0,0.3907236098649572,4.4821702519390364e-41,1090
sat,internal,aec_segment,seg2_2,2.0,2.0,0.3390258076341738,1.0088677286614897e-30,1090
vat,internal,aec_segment,seg2_1,2.0,1.0,0.2801066735879325,4.240591348126815e-21,1090
