group,n,events,non_events,prevalence,threshold,train_n,train_events,train_prevalence,clinical_positive_removed_frac,clinical_positive_kept_frac
all_sdata,926,141,785,0.15226781857451405,,,,,,
clinical_positive,469,125,344,0.26652452025586354,,,,,,
clinical_negative,457,16,441,0.0350109409190372,,,,,,
simple_aec_low_risk_cap_0.030,15,3,12,0.2,-2.4274891595387964,8.0,0.0,0.0,0.031982942430703626,
simple_aec_low_risk_cap_0.050,53,10,43,0.18867924528301888,-1.6566577217009444,22.0,1.0,0.045454545454545456,0.11300639658848614,
simple_aec_low_risk_cap_0.075,53,10,43,0.18867924528301888,-1.6566577217009444,22.0,1.0,0.045454545454545456,0.11300639658848614,
simple_aec_low_risk_cap_0.100,53,10,43,0.18867924528301888,-1.655508808501597,23.0,2.0,0.08695652173913043,0.11300639658848614,
simple_aec_low_risk_cap_0.125,89,22,67,0.24719101123595505,-1.2231999272576546,40.0,5.0,0.125,0.18976545842217485,
simple_aec_high_priority_ppv_0.30,24,13,11,0.5416666666666666,2.408883654199135,10.0,3.0,0.3,,0.0511727078891258
simple_aec_high_priority_ppv_0.35,19,9,10,0.47368421052631576,2.6212209351770417,8.0,3.0,0.375,,0.04051172707889126
simple_aec_high_priority_ppv_0.40,19,9,10,0.47368421052631576,2.622709489505515,7.0,3.0,0.42857142857142855,,0.04051172707889126
simple_aec_high_priority_ppv_0.45,15,6,9,0.4,2.928274069942705,6.0,3.0,0.5,,0.031982942430703626
simple_aec_high_priority_ppv_0.50,15,6,9,0.4,2.928274069942705,6.0,3.0,0.5,,0.031982942430703626
