stage,feature,window_start,window_end,window_len,descriptor,sign,width,lambda,internal_pass,external_pass,internal_mean_accuracy,internal_mean_accuracy_gain,internal_min_accuracy_gain,internal_mean_specificity_gain,internal_min_specificity_gain,internal_max_sensitivity_loss,internal_min_sensitivity_loss_p,external_mean_accuracy,external_mean_accuracy_gain,external_min_accuracy_gain,external_mean_specificity_gain,external_min_specificity_gain,external_max_sensitivity_loss,external_min_sensitivity_loss_p,internal_selection_score
coarse8,win_097_128__abs_slope_max,97,128,32,abs_slope_max,1,0.5,0.7,True,False,0.7113149847094801,0.0623853211009174,0.05871559633027523,0.07492195629552549,0.06867845993756505,0.03875968992248058,0.0625,0.6936645068394528,0.08171346292296618,0.0755939524838013,0.11040339702760082,0.10700636942675157,0.099290780141844,0.0001220703125,0.7437207570611208
fine4,win_093_104__level_sd,93,104,12,level_sd,1,0.7,0.55,True,False,0.7103975535168195,0.06146788990825688,0.05779816513761471,0.07492195629552549,0.07075962539021852,0.03875968992248058,0.0625,0.6468682505399568,0.034917206623470164,0.03131749460043198,0.05010615711252653,0.04585987261146496,0.04964539007092206,0.015625,0.7428067149222938
fine4,win_101_128__abs_slope_max,101,128,28,abs_slope_max,1,0.5,0.7,True,False,0.7110091743119266,0.06207951070336389,0.05779816513761471,0.07457509538674989,0.06763787721123826,0.03875968992248058,0.0625,0.6954643628509718,0.08351331893448526,0.0777537796976242,0.11252653927813161,0.10955414012738851,0.099290780141844,0.0001220703125,0.7427939860816047
fine4,win_069_100__curv_sd,69,100,32,curv_sd,1,0.7,0.7,True,False,0.7122324159021408,0.063302752293578,0.05412844036697251,0.0766562608394034,0.0655567117585848,0.03875968992248058,0.0625,0.6295896328293736,0.017638588912887016,0.015118790496760348,0.027600849256900206,0.02547770700636942,0.05673758865248235,0.0078125,0.7419496184344992
fine4,win_109_124__abs_curv_mean,109,124,16,abs_curv_mean,1,0.35,0.7,True,False,0.7091743119266055,0.060244648318042805,0.05504587155963303,0.07318765175164761,0.06659729448491158,0.03875968992248058,0.0625,0.6583873290136789,0.046436285097192255,0.0388768898488121,0.06454352441613587,0.06114649681528661,0.08510638297872342,0.00048828125,0.7395124750409265
fine4,win_029_056__curv_mean,29,56,28,curv_mean,1,0.5,0.7,True,False,0.709480122324159,0.060550458715596354,0.05412844036697251,0.07284079084287202,0.06659729448491158,0.03875968992248058,0.0625,0.6727861771058316,0.060835133189344894,0.05939524838012966,0.0789808917197452,0.07643312101910826,0.042553191489361764,0.03125,0.7394054414017828
fine4,win_109_124__abs_curv_mean,109,124,16,abs_curv_mean,1,0.5,0.55,True,False,0.7085626911314984,0.059633027522935755,0.05504587155963303,0.07214706902532086,0.06659729448491158,0.03875968992248058,0.0625,0.6583873290136789,0.046436285097192255,0.0388768898488121,0.06454352441613587,0.06114649681528661,0.09219858156028371,0.000244140625,0.7389008542458194
fine4,win_029_056__curv_mean,29,56,28,curv_mean,1,0.7,0.55,True,False,0.7088685015290519,0.05993883792048926,0.05412844036697251,0.07214706902532086,0.06659729448491158,0.03875968992248058,0.0625,0.6742260619150467,0.06227501799856013,0.06047516198704106,0.08152866242038215,0.0789808917197452,0.04964539007092206,0.015625,0.7387938206066756
fine4,win_093_124__curv_sd,93,124,32,curv_sd,1,0.5,0.55,True,False,0.7085626911314984,0.059633027522935755,0.05412844036697251,0.07249392993409638,0.0655567117585848,0.03875968992248058,0.0625,0.6497480201583873,0.03779697624190067,0.03347732181425489,0.05307855626326963,0.04458598726114649,0.07801418439716312,0.0009765625,0.7382798936638568
fine4,win_093_124__abs_curv_mean,93,124,32,abs_curv_mean,1,0.35,0.7,True,False,0.7085626911314984,0.059633027522935755,0.05412844036697251,0.07249392993409642,0.0655567117585848,0.03875968992248058,0.0625,0.6501079913606912,0.0381569474442045,0.03455723542116629,0.05265392781316347,0.04585987261146496,0.05673758865248235,0.0078125,0.7382798936638568
