feature,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
IMATA_SUM,internal,700,0.3881011795099387,0.33122089918508496,0.44720892688702746,407.57460003107366,285.2384771161321,0.6230126226322005,1.677976748147189e-76
IMATA_SUM,external,498,0.3122489905693785,0.23712686394941399,0.37955207412918446,508.77370556558503,354.10593679511845,0.6233289214705426,5.98913475452563e-55
NAMA_SUM,internal,700,0.3958457463267655,0.33463215973192484,0.4518212498891133,2230.9820648682003,1758.0562314752246,0.6292137398228612,1.9257909891925292e-78
NAMA_SUM,external,498,0.01799836266764321,-0.15538602989724562,0.14917943461701966,2583.691256395393,2063.829530353255,0.5487787601507851,1.654070937713358e-40
LAMA_SUM,internal,700,0.43569812212359327,0.3699769537236337,0.5005439604237515,1121.5779996154015,773.9891193062772,0.6601449087179966,8.163953976738888e-89
LAMA_SUM,external,498,-0.35290923222653703,-0.5424037718346435,-0.20553913631622725,2077.687328376738,1723.7784387573474,0.5716664168708108,1.494167274231942e-44
VAT(내장지방)_SUM,internal,700,0.5004222548003718,0.44853525614650275,0.5482301588578367,2805.499256311774,2118.385437066602,0.7074471563987805,2.6549268157752286e-107
VAT(내장지방)_SUM,external,498,0.3352937917855583,0.23408227016348174,0.42201097435407514,3471.0982082303594,2596.086024805304,0.643091192033588,1.8313665850109764e-59
SAT(피하지방)_SUM,internal,700,0.5300497470204175,0.46901384990723166,0.5849873591364463,5367.175045465303,4004.318994666201,0.7280472014538699,1.453103175777591e-116
SAT(피하지방)_SUM,external,498,0.4905580125736566,0.3943022610136921,0.5706578345316516,6343.241066862275,4663.830210468499,0.7252813253937292,1.8976730012942603e-82
TAMA_SUM,internal,700,0.4579446990331967,0.39834634845817657,0.5113114274957314,2356.0800565255704,1853.9930397076746,0.6767552069918912,6.533010393056304e-95
TAMA_SUM,external,498,0.388263778856899,0.28508686059880267,0.4774648108380402,2223.3715416782093,1710.6807733314497,0.6620933438099692,3.945352457571634e-64
Total Fat_SUM,internal,700,0.5614496547062258,0.5038031023306125,0.6136020867219459,7210.7316020098515,5425.824088265547,0.74930361324714,4.648856789023701e-127
Total Fat_SUM,external,498,0.47263092282159214,0.3724566258661967,0.5574844490307783,8838.295874892989,6547.202104752748,0.7258750227887261,1.2075664662754878e-82
