clinic_var,cohort,predictor,n_seg,segment,r,p_value,n
age,internal,seg1_1,1,1,0.18047253224919263,1.5410630184314583e-06,700
height,internal,seg1_1,1,1,0.04954574344174623,0.19042644853761567,700
weight,internal,seg1_1,1,1,0.5824504727908403,8.066822519536591e-65,700
age,external,seg1_1,1,1,0.09099307471422055,0.042386729872991344,498
height,external,seg1_1,1,1,0.05329005618170582,0.23519943203888877,498
weight,external,seg1_1,1,1,0.41023335844274217,1.229123832014051e-21,498
age,internal,seg2_1,2,1,0.05093282715966151,0.1782956393720286,700
age,internal,seg2_2,2,2,0.29135967815761055,3.656654847067403e-15,700
height,internal,seg2_1,2,1,0.15206547231960343,5.3542660394467996e-05,700
height,internal,seg2_2,2,2,-0.056077218077308366,0.13829277961346798,700
weight,internal,seg2_1,2,1,0.5325079441496537,1.6171097055453804e-52,700
weight,internal,seg2_2,2,2,0.5775731260178608,1.594562917901247e-63,700
age,external,seg2_1,2,1,0.014243725633778685,0.7511836073596939,498
age,external,seg2_2,2,2,0.168710329226179,0.0001551913170340507,498
height,external,seg2_1,2,1,0.12609137686083538,0.004831952039408942,498
height,external,seg2_2,2,2,-0.02996189116785127,0.5047104749494491,498
weight,external,seg2_1,2,1,0.3951027933681933,4.6994620441605984e-20,498
weight,external,seg2_2,2,2,0.39876756329510726,1.9777769150006934e-20,498
age,internal,seg4_1,4,1,-0.04570673197228345,0.22714094335089355,700
age,internal,seg4_2,4,2,0.15091167452631152,6.108202135651486e-05,700
age,internal,seg4_3,4,3,0.3185963368973995,5.603844492968149e-18,700
age,internal,seg4_4,4,4,0.25330200213927057,1.0390779866524875e-11,700
height,internal,seg4_1,4,1,0.20042871576524818,8.906683361363094e-08,700
height,internal,seg4_2,4,2,0.0942195085566212,0.012634506169884412,700
height,internal,seg4_3,4,3,-0.06685040192274808,0.07714252765017834,700
height,internal,seg4_4,4,4,-0.04270419631555849,0.2591753642141379,700
weight,internal,seg4_1,4,1,0.4846755638305154,1.614357352048912e-42,700
weight,internal,seg4_2,4,2,0.5596743871025216,5.977569762029141e-59,700
weight,internal,seg4_3,4,3,0.5779620510745606,1.259219834316557e-63,700
weight,internal,seg4_4,4,4,0.5607451631440366,3.2411034397406985e-59,700
age,external,seg4_1,4,1,-0.04711802449576319,0.29398376133376863,498
age,external,seg4_2,4,2,0.07968763479734331,0.07562422761250573,498
age,external,seg4_3,4,3,0.1825080203225513,4.184320703736942e-05,498
age,external,seg4_4,4,4,0.15023760692995283,0.0007699625964197842,498
height,external,seg4_1,4,1,0.1605590288754712,0.0003214355095282439,498
height,external,seg4_2,4,2,0.08472393935724357,0.058846406592645714,498
height,external,seg4_3,4,3,-0.03611132999913281,0.42134238331674895,498
height,external,seg4_4,4,4,-0.022917446428627152,0.6099074378491582,498
weight,external,seg4_1,4,1,0.3846658100083912,5.21319333955985e-19,498
weight,external,seg4_2,4,2,0.3927434465847614,8.157572672528682e-20,498
weight,external,seg4_3,4,3,0.4173751290650477,2.0612116233908713e-22,498
weight,external,seg4_4,4,4,0.36935513656806934,1.526926058807354e-17,498
age,internal,seg8_1,8,1,-0.0676695555544294,0.07357943871932283,700
age,internal,seg8_2,8,2,-0.02281906922238084,0.5466847807453534,700
age,internal,seg8_3,8,3,0.08737143810026188,0.020781969838934728,700
age,internal,seg8_4,8,4,0.21299724368752077,1.2649500559325645e-08,700
age,internal,seg8_5,8,5,0.3127058249996488,2.412068964474625e-17,700
age,internal,seg8_6,8,6,0.3193945226227527,4.5866975094494375e-18,700
age,internal,seg8_7,8,7,0.2704800040462988,3.349231146042994e-13,700
age,internal,seg8_8,8,8,0.22743115992014085,1.1544517732091526e-09,700
height,internal,seg8_1,8,1,0.2030726963895139,5.967702455490098e-08,700
height,internal,seg8_2,8,2,0.1958212992572001,1.7668872255204771e-07,700
height,internal,seg8_3,8,3,0.1394591242582997,0.0002145408618876285,700
height,internal,seg8_4,8,4,0.044724371302414585,0.23729607932413663,700
height,internal,seg8_5,8,5,-0.0616980498439124,0.10288743033005926,700
height,internal,seg8_6,8,6,-0.0707573711728707,0.06133621307026864,700
height,internal,seg8_7,8,7,-0.044485863670940595,0.23980921298362165,700
height,internal,seg8_8,8,8,-0.03958911850314745,0.2955759244149656,700
weight,internal,seg8_1,8,1,0.4622460269376254,2.390852128891333e-38,700
weight,internal,seg8_2,8,2,0.5030009175878372,3.658910091460674e-46,700
weight,internal,seg8_3,8,3,0.5380413786477543,8.827628520947204e-54,700
weight,internal,seg8_4,8,4,0.5674757410573558,6.56683788331757e-61,700
weight,internal,seg8_5,8,5,0.5750259604732857,7.42699892139283e-63,700
weight,internal,seg8_6,8,6,0.5720102073917316,4.511991457715582e-62,700
weight,internal,seg8_7,8,7,0.5696887926834912,1.786554511861904e-61,700
weight,internal,seg8_8,8,8,0.5360059260556985,2.5889280375234984e-53,700
age,external,seg8_1,8,1,-0.06334284399821608,0.15812112849114665,498
age,external,seg8_2,8,2,-0.030135252385827656,0.5022471964713748,498
age,external,seg8_3,8,3,0.04247606739749421,0.3441806104653547,498
age,external,seg8_4,8,4,0.11752607996117795,0.008659437545099258,498
age,external,seg8_5,8,5,0.17633099817296183,7.617071267872003e-05,498
age,external,seg8_6,8,6,0.18631894210162314,2.8626982281093264e-05,498
age,external,seg8_7,8,7,0.15918362502034467,0.0003622427137103012,498
age,external,seg8_8,8,8,0.13844679301241003,0.0019566916726596853,498
height,external,seg8_1,8,1,0.1649338770742773,0.0002183785728867851,498
height,external,seg8_2,8,2,0.15424584238988215,0.0005519685091048839,498
height,external,seg8_3,8,3,0.11111886977990734,0.013094977866746621,498
height,external,seg8_4,8,4,0.05608195407408449,0.2115339889220014,498
height,external,seg8_5,8,5,-0.024935530550833074,0.5787940353235255,498
height,external,seg8_6,8,6,-0.04656665032415057,0.2996759081519563,498
height,external,seg8_7,8,7,-0.03317910632716894,0.46004980036356946,498
height,external,seg8_8,8,8,-0.011905554090390638,0.7909901549419296,498
weight,external,seg8_1,8,1,0.37606334592337687,3.55427047563157e-18,498
weight,external,seg8_2,8,2,0.3888659835276438,1.9999621113394647e-19,498
weight,external,seg8_3,8,3,0.3885336965026197,2.1585284773946265e-19,498
weight,external,seg8_4,8,4,0.39212754349398227,9.41388221934339e-20,498
weight,external,seg8_5,8,5,0.41358264320488825,5.348579877122698e-22,498
weight,external,seg8_6,8,6,0.41601856491243844,2.9030668896241535e-22,498
weight,external,seg8_7,8,7,0.36881548105480744,1.714379584941598e-17,498
weight,external,seg8_8,8,8,0.3637019785927019,5.080906541065243e-17,498
age,internal,seg16_1,16,1,-0.07182608343861152,0.057512295101560744,700
age,internal,seg16_2,16,2,-0.06324480857386341,0.09452748567108742,700
age,internal,seg16_3,16,3,-0.043012557766985426,0.2557484168731513,700
age,internal,seg16_4,16,4,-0.0024133496628698722,0.9491794762219657,700
age,internal,seg16_5,16,5,0.0563629232454214,0.13629206636139754,700
age,internal,seg16_6,16,6,0.1185487526868529,0.001678061730821075,700
age,internal,seg16_7,16,7,0.1795202173051989,1.7524695016988913e-06,700
age,internal,seg16_8,16,8,0.2441762231142789,5.826648751799595e-11,700
age,internal,seg16_9,16,9,0.3002582847590912,4.741674790884515e-16,700
age,internal,seg16_10,16,10,0.3214218314267328,2.750353500399359e-18,700
age,internal,seg16_11,16,11,0.3234682096432788,1.6348204847746396e-18,700
age,internal,seg16_12,16,12,0.3139704133096646,1.7680375251717967e-17,700
age,internal,seg16_13,16,13,0.2844537451266572,1.6996913703553986e-14,700
age,internal,seg16_14,16,14,0.2545585564181155,8.150695831629222e-12,700
age,internal,seg16_15,16,15,0.22239445052681744,2.7121510743193515e-09,700
age,internal,seg16_16,16,16,0.2264428166982752,1.3672779919400336e-09,700
height,internal,seg16_1,16,1,0.1981766067973333,1.2474169554058206e-07,700
height,internal,seg16_2,16,2,0.20749559926881728,3.0175582335055884e-08,700
height,internal,seg16_3,16,3,0.20393489200930826,5.2310714302383535e-08,700
height,internal,seg16_4,16,4,0.18685630266049175,6.396870626883814e-07,700
height,internal,seg16_5,16,5,0.1552022699358308,3.7244384963786236e-05,700
height,internal,seg16_6,16,6,0.12259933029022056,0.0011534630450916745,700
height,internal,seg16_7,16,7,0.07898154286453102,0.03669106643416429,700
height,internal,seg16_8,16,8,0.009967542452108851,0.7923566501404251,700
height,internal,seg16_9,16,9,-0.05199232005825799,0.1694235230049974,700
height,internal,seg16_10,16,10,-0.0702841585613656,0.06309527703770185,700
height,internal,seg16_11,16,11,-0.07327612839929347,0.05264213983503633,700
height,internal,seg16_12,16,12,-0.06792266835199147,0.07250602925021486,700
height,internal,seg16_13,16,13,-0.05465135151248404,0.1486168454537293,700
height,internal,seg16_14,16,14,-0.033719282372081376,0.3730433020757021,700
height,internal,seg16_15,16,15,-0.019655590952895777,0.6036500022671522,700
height,internal,seg16_16,16,16,-0.05975230310618866,0.11422520935234733,700
weight,internal,seg16_1,16,1,0.45040371652464234,2.8758044440188914e-36,700
weight,internal,seg16_2,16,2,0.4730245635590706,2.588050493727301e-40,700
weight,internal,seg16_3,16,3,0.49175038609304306,6.7149163213394975e-44,700
weight,internal,seg16_4,16,4,0.5122529009025888,4.340291328893449e-48,700
weight,internal,seg16_5,16,5,0.5271581257869749,2.5567987873196873e-51,700
weight,internal,seg16_6,16,6,0.5461382435912654,1.1352823018094328e-55,700
weight,internal,seg16_7,16,7,0.5614335060367068,2.1841985373099267e-59,700
weight,internal,seg16_8,16,8,0.5673609453585945,7.02368492125221e-61,700
weight,internal,seg16_9,16,9,0.5702363755611966,1.2926163032960535e-61,700
weight,internal,seg16_10,16,10,0.5739108693690673,1.4503878807521574e-62,700
weight,internal,seg16_11,16,11,0.5722774836632759,3.8481490559174406e-62,700
weight,internal,seg16_12,16,12,0.569397392801239,2.1217863321086702e-61,700
weight,internal,seg16_13,16,13,0.566878125890626,9.317268092507872e-61,700
weight,internal,seg16_14,16,14,0.5695477905617364,1.9416199572935438e-61,700
weight,internal,seg16_15,16,15,0.5428750441260541,6.65746629256634e-55,700
weight,internal,seg16_16,16,16,0.5136799047808553,2.1636412832318983e-48,700
age,external,seg16_1,16,1,-0.06848645430137332,0.12693774497828614,498
age,external,seg16_2,16,2,-0.05793946722903938,0.19677042702041275,498
age,external,seg16_3,16,3,-0.04465570109368937,0.3199674808194858,498
age,external,seg16_4,16,4,-0.015120464114151258,0.7364197536281929,498
age,external,seg16_5,16,5,0.025373061431819853,0.5721478306055903,498
age,external,seg16_6,16,6,0.05968782499698702,0.18357528165302944,498
age,external,seg16_7,16,7,0.0986203381298433,0.027761558495750807,498
age,external,seg16_8,16,8,0.13613614439673777,0.0023302580759058424,498
age,external,seg16_9,16,9,0.16885238028166932,0.000153188224052696,498
age,external,seg16_10,16,10,0.18251311163612513,4.182220676925594e-05,498
age,external,seg16_11,16,11,0.18666231975080894,2.765403407548679e-05,498
age,external,seg16_12,16,12,0.18506096157378044,3.2475816233396766e-05,498
age,external,seg16_13,16,13,0.16732723165308358,0.00017602163284678138,498
age,external,seg16_14,16,14,0.15017377026985987,0.0007740046050196464,498
age,external,seg16_15,16,15,0.13735074675436185,0.0021264659285513536,498
age,external,seg16_16,16,16,0.13831684163645475,0.00197615142071474,498
height,external,seg16_1,16,1,0.16744587855793788,0.00017413680157192236,498
height,external,seg16_2,16,2,0.16162005292886125,0.00029293196769245554,498
height,external,seg16_3,16,3,0.1609450327990756,0.00031077890771800135,498
height,external,seg16_4,16,4,0.14662688045540823,0.001032040274633793,498
height,external,seg16_5,16,5,0.11971928823736816,0.007482805502951941,498
height,external,seg16_6,16,6,0.1020597990238956,0.022739398172541374,498
height,external,seg16_7,16,7,0.07518922612747606,0.09372390108685559,498
height,external,seg16_8,16,8,0.03607228867175504,0.4218449140360002,498
height,external,seg16_9,16,9,-0.010051401990498782,0.822953236979765,498
height,external,seg16_10,16,10,-0.03961521220034596,0.37768249508918045,498
height,external,seg16_11,16,11,-0.04447985849412628,0.3218786702326645,498
height,external,seg16_12,16,12,-0.0484246706194426,0.28078481024897045,498
height,external,seg16_13,16,13,-0.041388838503743766,0.3566831470468855,498
height,external,seg16_14,16,14,-0.024736873229654434,0.581823580011362,498
height,external,seg16_15,16,15,-0.006814391937516161,0.8794322326084545,498
height,external,seg16_16,16,16,-0.01694078812430844,0.7060798122726072,498
weight,external,seg16_1,16,1,0.3691791824815778,1.5857147893706114e-17,498
weight,external,seg16_2,16,2,0.38097389881668636,1.1964947842508473e-18,498
weight,external,seg16_3,16,3,0.39147416081915054,1.0955174119547362e-19,498
weight,external,seg16_4,16,4,0.38427910000191257,5.689994485940347e-19,498
weight,external,seg16_5,16,5,0.38245121909715973,8.591791435466346e-19,498
weight,external,seg16_6,16,6,0.39351615987899013,6.812865199312303e-20,498
weight,external,seg16_7,16,7,0.393474219410807,6.879885853153915e-20,498
weight,external,seg16_8,16,8,0.3880506638699352,2.4113437126195163e-19,498
weight,external,seg16_9,16,9,0.40085954670483714,1.2009064928117308e-20,498
weight,external,seg16_10,16,10,0.42327215497954107,4.5672331372671334e-23,498
weight,external,seg16_11,16,11,0.4257201132077131,2.4219017169102573e-23,498
