feature,n_levels,width,kernel_size,internal_oof_auc
HTN,3,16,5,0.8078367856399893
HTN,4,16,3,0.8007905138339921
HTN,3,32,3,0.8034295224226575
DM,3,32,3,0.7142707249101836
DM,3,16,3,0.7218505523285096
DM,4,32,3,0.7278732834167142
CKD,4,32,3,0.7600478666336552
CKD,3,16,3,0.7580671783444748
CKD,4,16,3,0.7659734257654535
