cohort,normalization,sex,bmi_group,n_tp,n_fp,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value
gangnam,raw,M,Q1 (lowest BMI),33,40,29.141489671573385,74,-43.629674242424386,TP < FP,2000,0.09995002498750624
gangnam,raw,M,Q2,20,52,15.815751012821837,2,-27.837038461538555,TP < FP,2000,0.5077461269365318
gangnam,raw,M,Q3,7,65,22.120996492831395,39,-35.842153846153735,TP < FP,2000,0.6481759120439781
gangnam,raw,M,Q4 (highest BMI),12,60,10.27334717315593,32,20.6011666666667,TP > FP,2000,0.8760619690154923
gangnam,raw,F,Q1 (lowest BMI),25,44,31.116100072792392,38,39.228136363636395,TP > FP,2000,0.031484257871064465
gangnam,raw,F,Q2,11,58,8.111630438404637,120,17.57180250783705,TP > FP,2000,0.8555722138930535
gangnam,raw,F,Q3,4,64,26.3306555620412,86,48.86156250000002,TP > FP,2000,0.49325337331334335
gangnam,raw,F,Q4 (highest BMI),5,64,18.753075361121862,1,32.34375,TP > FP,2000,0.7151424287856072
sinchon,raw,M,Q1 (lowest BMI),42,40,3.9748187163310242,1,-9.794047619047632,TP < FP,2000,0.9120439780109945
sinchon,raw,M,Q2,26,55,5.94409917200937,109,11.262496503496521,TP > FP,2000,0.8245877061469266
sinchon,raw,M,Q3,16,65,14.477426897582866,2,-32.7752307692308,TP < FP,2000,0.5247376311844077
sinchon,raw,M,Q4 (highest BMI),11,71,24.64185326968717,90,47.352279129321374,TP > FP,2000,0.3473263368315842
sinchon,raw,F,Q1 (lowest BMI),17,34,20.596862269289314,5,-33.780588235294175,TP < FP,2000,0.3423288355822089
sinchon,raw,F,Q2,13,38,23.198557177663087,35,32.3053441295547,TP > FP,2000,0.18040979510244878
sinchon,raw,F,Q3,3,47,30.96832574912474,101,49.746241134751756,TP > FP,2000,0.5557221389305347
sinchon,raw,F,Q4 (highest BMI),3,48,6.323800653681766,38,14.840208333333322,TP > FP,2000,0.9960019990004998
