rank,model_type,curve_feat_kind,curve_feat_param,use_stage1_score,model_kwargs,feat_k,sens_delta,spec_delta,ppv,ni_ci_upper,pass
211,hgb,radiomics1d,8,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 300}",18,0.0,0.007284079084287187,0.210431654676259,0.023537597639319504,True
212,hgb,radiomics1d,8,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 100}",18,0.0,0.007284079084287187,0.210431654676259,0.023537597639319504,True
213,hgb,pca,0.95,True,,6,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
214,hgb,pca,0.9,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 100}",4,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
215,hgb,pca,0.9,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 300}",4,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
216,hgb,pca,0.95,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 100}",6,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
217,hgb,band,4,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 150}",4,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
218,hgb,band,8,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 150}",8,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
219,hgb,band,8,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 300}",8,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
220,logreg,band,16,True,{'C': 0.3},16,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
221,hgb,band,32,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 150}",32,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
222,hgb,cluster_band,16,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 150}",16,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
223,hgb,cluster_band,16,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 300}",16,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
224,hgb,cluster_band,16,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 500}",16,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
225,logreg,cluster_band,16,True,{'C': 0.3},16,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
226,hgb,combo,"(8, 0.9)",True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 300}",12,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
227,hgb,combo,"(8, 0.9)",True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 150}",12,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
228,hgb,radiomics1d,8,True,"{'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 150}",18,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
229,hgb,radiomics1d,8,True,"{'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 500}",18,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
230,hgb,radiomics1d,8,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 300}",18,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
231,hgb,radiomics1d,8,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 100}",18,0.0,0.00624349635796051,0.21005385996409337,0.023537597639319504,True
232,hgb,pca,0.9,True,"{'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 300}",4,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
233,hgb,pca,0.9,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 300}",4,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
234,hgb,pca,0.9,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 100}",4,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
235,hgb,pca,0.9,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 150}",4,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
236,hgb,pca,0.9,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 500}",4,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
237,hgb,pca,0.95,True,"{'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 150}",6,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
238,hgb,pca,0.95,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 150}",6,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
239,hgb,band,4,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 100}",4,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
240,hgb,band,4,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 100}",4,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
241,hgb,band,8,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 150}",8,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
242,hgb,band,8,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 100}",8,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
243,hgb,band,8,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 100}",8,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
244,logreg,band,8,True,{'C': 0.3},8,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
245,hgb,band,16,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 100}",16,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
246,hgb,band,16,True,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 300}",16,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
247,hgb,band,16,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 150}",16,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
248,hgb,band,16,True,"{'max_depth': 4, 'learning_rate': 0.15, 'max_iter': 150}",16,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
249,logreg,band,16,True,{'C': 0.1},16,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
250,hgb,band,32,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 300}",32,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
251,hgb,band,32,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 300}",32,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
252,hgb,band,32,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 500}",32,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
253,hgb,band,32,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 150}",32,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
254,logreg,band,32,True,{'C': 0.1},32,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
255,logreg,cluster_band,8,True,{'C': 0.1},8,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
256,logreg,cluster_band,8,True,{'C': 0.3},8,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
257,hgb,cluster_band,16,True,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 500}",16,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
258,hgb,cluster_band,16,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 300}",16,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
259,hgb,cluster_band,16,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 500}",16,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
260,hgb,cluster_band,16,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 500}",16,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
261,logreg,cluster_band,16,True,{'C': 0.1},16,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
262,hgb,combo,"(8, 0.9)",True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 500}",12,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
263,hgb,combo,"(8, 0.9)",True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 500}",12,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
264,hgb,radiomics1d,8,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 150}",18,0.0,0.005202913631633721,0.20967741935483872,0.023537597639319504,True
265,hgb,pca,0.9,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 500}",4,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
266,hgb,pca,0.9,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 100}",4,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
267,hgb,pca,0.9,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 300}",4,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
268,hgb,pca,0.95,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 150}",6,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
269,hgb,pca,0.95,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 150}",6,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
270,hgb,pca,0.95,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 300}",6,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
271,hgb,pca,0.95,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 500}",6,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
272,hgb,pca,0.95,True,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 500}",6,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
273,hgb,pca,0.95,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 150}",6,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
274,hgb,pca,0.95,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 300}",6,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
275,hgb,band,4,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 500}",4,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
276,logreg,band,4,True,{'C': 0.1},4,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
277,logreg,band,4,True,{'C': 0.3},4,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
278,hgb,band,8,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 150}",8,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
279,hgb,band,8,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 300}",8,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
280,hgb,band,8,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 100}",8,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
281,hgb,band,8,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 100}",8,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
282,logreg,band,8,True,{'C': 0.1},8,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
283,hgb,band,16,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 300}",16,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
284,hgb,band,16,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 100}",16,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
285,hgb,band,16,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 100}",16,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
286,hgb,band,32,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 100}",32,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
287,hgb,cluster_band,16,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 500}",16,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
288,hgb,cluster_band,16,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 300}",16,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
289,hgb,cluster_band,16,True,"{'max_depth': 4, 'learning_rate': 0.15, 'max_iter': 150}",16,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
290,hgb,combo,"(8, 0.9)",True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 500}",12,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
291,hgb,combo,"(8, 0.9)",True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 150}",12,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
292,hgb,combo,"(8, 0.9)",True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 150}",12,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
293,hgb,radiomics1d,8,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 500}",18,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
294,hgb,radiomics1d,8,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 300}",18,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
295,hgb,radiomics1d,8,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 150}",18,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
296,hgb,radiomics1d,8,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 500}",18,0.0,0.004162330905307043,0.20930232558139536,0.023537597639319504,True
297,hgb,band,16,True,,16,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
298,hgb,pca,0.9,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 100}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
299,hgb,pca,0.9,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 500}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
300,hgb,pca,0.9,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 150}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
301,hgb,pca,0.9,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 300}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
302,hgb,pca,0.9,True,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 500}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
303,hgb,pca,0.9,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 150}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
304,hgb,pca,0.9,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 500}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
305,hgb,pca,0.9,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 150}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
306,hgb,pca,0.9,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 500}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
307,hgb,pca,0.9,True,"{'max_depth': 4, 'learning_rate': 0.15, 'max_iter': 500}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
308,hgb,pca,0.95,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 100}",6,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
309,hgb,pca,0.95,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 150}",6,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
310,hgb,pca,0.95,True,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 300}",6,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
311,hgb,pca,0.95,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 100}",6,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
312,hgb,pca,0.95,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 150}",6,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
313,hgb,pca,0.95,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 300}",6,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
314,hgb,pca,0.95,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 500}",6,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
315,hgb,pca,0.95,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 300}",6,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
316,hgb,pca,0.95,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 150}",6,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
317,hgb,band,4,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 150}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
318,hgb,band,4,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 500}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
319,hgb,band,4,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 100}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
320,hgb,band,4,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 100}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
321,hgb,band,4,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 150}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
322,hgb,band,4,True,"{'max_depth': 4, 'learning_rate': 0.15, 'max_iter': 100}",4,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
323,hgb,band,8,True,"{'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 500}",8,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
324,hgb,band,8,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 300}",8,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
325,hgb,band,8,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 500}",8,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
326,hgb,band,8,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 150}",8,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
327,hgb,band,8,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 300}",8,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
328,hgb,band,8,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 500}",8,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
329,hgb,band,16,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 500}",16,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
330,hgb,band,16,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 300}",16,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
331,hgb,band,16,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 500}",16,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
332,hgb,band,16,True,"{'max_depth': 4, 'learning_rate': 0.15, 'max_iter': 300}",16,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
333,hgb,band,32,True,"{'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 100}",32,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
334,hgb,band,32,True,"{'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 300}",32,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
335,hgb,band,32,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 150}",32,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
336,hgb,band,32,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 500}",32,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
337,hgb,band,32,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 100}",32,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
338,hgb,band,32,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 150}",32,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
339,hgb,band,32,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 150}",32,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
340,hgb,band,32,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 300}",32,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
341,hgb,band,32,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 300}",32,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
342,hgb,band,32,True,"{'max_depth': 4, 'learning_rate': 0.15, 'max_iter': 150}",32,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
343,hgb,cluster_band,16,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 150}",16,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
344,hgb,cluster_band,16,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 150}",16,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
345,hgb,combo,"(8, 0.9)",True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 300}",12,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
346,hgb,combo,"(8, 0.9)",True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 100}",12,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
347,hgb,combo,"(8, 0.9)",True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 300}",12,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
348,hgb,combo,"(8, 0.9)",True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 100}",12,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
349,hgb,radiomics1d,8,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 500}",18,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
350,hgb,radiomics1d,8,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 150}",18,0.0,0.003121748178980255,0.20892857142857144,0.023537597639319504,True
351,hgb,pca,0.9,True,,4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
352,hgb,pca,0.9,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 300}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
353,hgb,pca,0.9,True,"{'max_depth': 2, 'learning_rate': 0.1, 'max_iter': 150}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
354,hgb,pca,0.9,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 500}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
355,hgb,pca,0.9,True,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 100}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
356,hgb,pca,0.9,True,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 100}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
357,hgb,pca,0.9,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 300}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
358,hgb,pca,0.9,True,"{'max_depth': 4, 'learning_rate': 0.15, 'max_iter': 300}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
359,hgb,pca,0.95,True,"{'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 300}",6,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
360,hgb,pca,0.95,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 300}",6,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
361,hgb,pca,0.95,True,"{'max_depth': 2, 'learning_rate': 0.15, 'max_iter': 500}",6,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
362,hgb,pca,0.95,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 500}",6,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
363,hgb,pca,0.95,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 100}",6,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
364,hgb,pca,0.95,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 100}",6,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
365,hgb,pca,0.95,True,"{'max_depth': 4, 'learning_rate': 0.1, 'max_iter': 500}",6,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
366,hgb,band,4,True,"{'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 100}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
367,hgb,band,4,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 300}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
368,hgb,band,4,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 500}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
369,hgb,band,4,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 300}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
370,hgb,band,4,True,"{'max_depth': 4, 'learning_rate': 0.06, 'max_iter': 150}",4,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
371,hgb,band,8,True,"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 500}",8,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
372,hgb,band,8,True,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 300}",8,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
373,hgb,band,8,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 100}",8,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
374,hgb,band,8,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 150}",8,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
375,hgb,band,8,True,"{'max_depth': 3, 'learning_rate': 0.15, 'max_iter': 500}",8,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
376,hgb,band,8,True,"{'max_depth': 4, 'learning_rate': 0.03, 'max_iter': 300}",8,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
377,hgb,band,8,True,"{'max_depth': 4, 'learning_rate': 0.15, 'max_iter': 100}",8,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
378,hgb,band,8,True,"{'max_depth': 4, 'learning_rate': 0.15, 'max_iter': 150}",8,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
379,hgb,band,16,True,"{'max_depth': 2, 'learning_rate': 0.06, 'max_iter': 500}",16,0.0,0.002081165452653466,0.20855614973262032,0.023537597639319504,True
