cohort,model_type,curve_feat,model_kwargs,sens_stage1,spec_stage1,sens_combined,spec_combined,acc_combined,ppv_combined,npv_combined,sens_delta,spec_delta,mcnemar_sens_p,mcnemar_spec_p,verdict,ni_sens_drop,ni_ci_upper_97.5,ni_margin,ni_verdict
internal,HGB,cluster_band:8,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 500}",0.9069767441860465,0.5359001040582726,0.9069767441860465,0.5848074921956296,0.6229357798165137,0.22674418604651161,0.9790940766550522,0.0,0.048907388137356955,1.0,1.949052256116928e-11,PASS,0.0,0.023537597639319504,0.05,NON-INFERIOR
external,HGB,cluster_band:8,"{'max_depth': 3, 'learning_rate': 0.06, 'max_iter': 500}",0.9290780141843972,0.49044585987261147,0.9219858156028369,0.5159235668789809,0.5777537796976242,0.2549019607843137,0.9735576923076923,-0.007092198581560294,0.02547770700636942,1.0,1.9073486328125e-06,PASS,0.007092198581560294,0.03488804340282557,0.05,NON-INFERIOR
