feature,cohort,auc_clinic4,auc_ci_lower_clinic4,auc_ci_upper_clinic4,auc_clinic4_aec_best,auc_ci_lower_clinic4_aec_best,auc_ci_upper_clinic4_aec_best,delta_auc_aec_best_minus_clinic4,delong_z,delong_p_value
SAT(피하지방)_SUM,internal,0.7267,0.6323,0.818,0.7148,0.6103,0.8116,-0.012,-0.4356,0.6632
SAT(피하지방)_SUM,external,0.8593,0.7955,0.9133,0.8482,0.7856,0.9049,-0.0111,-0.3091,0.7573
VAT(내장지방)_SUM,internal,0.7828,0.7091,0.8475,0.882,0.8373,0.9199,0.0992,3.7491,0.0002
VAT(내장지방)_SUM,external,0.8216,0.7687,0.871,0.8522,0.8006,0.8993,0.0307,0.9573,0.3384
Total Fat_SUM,internal,0.7683,0.6776,0.8492,0.8352,0.7661,0.8973,0.0669,2.5261,0.0115
Total Fat_SUM,external,0.8747,0.8219,0.9208,0.8509,0.7771,0.9145,-0.0237,-0.5721,0.5673
VAT_TotalFat_ratio,internal,0.6241,0.5561,0.6942,0.8048,0.7423,0.8626,0.1807,4.822,0.0
VAT_TotalFat_ratio,external,0.6894,0.6263,0.7512,0.7042,0.6409,0.7666,0.0148,0.3787,0.7049
VAT_SAT_ratio,internal,0.6241,0.5561,0.6942,0.8048,0.7423,0.8626,0.1807,4.822,0.0
VAT_SAT_ratio,external,0.6957,0.6288,0.7597,0.7007,0.6335,0.7684,0.005,0.122,0.9029
VAT_TAMA_ratio,internal,0.7172,0.6325,0.7923,0.8398,0.7744,0.896,0.1226,4.1904,0.0
VAT_TAMA_ratio,external,0.7831,0.7245,0.8381,0.7999,0.7403,0.8582,0.0168,0.4458,0.6557
TotalFat_TAMA_ratio,internal,0.7748,0.6425,0.888,0.7686,0.6104,0.9015,-0.0062,-0.1249,0.9006
TotalFat_TAMA_ratio,external,0.7442,0.6244,0.8539,0.7335,0.6229,0.8308,-0.0106,-0.1806,0.8567
SAT_TotalFat_ratio,internal,0.726,0.6535,0.7945,0.7815,0.7198,0.8384,0.0556,2.1541,0.0312
SAT_TotalFat_ratio,external,0.7291,0.6604,0.7917,0.7638,0.7016,0.8219,0.0347,1.3472,0.1779
SAT_TAMA_ratio,internal,0.4074,0.157,0.6505,0.5563,0.2601,0.8446,0.1489,2.1145,0.0345
SAT_TAMA_ratio,external,0.6959,0.5385,0.8478,0.4981,0.3216,0.6667,-0.1977,-1.5801,0.1141
