feature,cohort,comparison_model,auc_clinic4,auc_aec_model,auc_diff,z,p_value
SAT(피하지방)_SUM,internal,clinic4_aec_best,0.7267472411981083,0.7147924330005255,0.011954808197582767,0.43556168681078766,0.6631547736119588
SAT(피하지방)_SUM,external,clinic4_aec_best,0.8593121693121694,0.8482010582010582,0.011111111111111183,0.3090702981409446,0.7572680524421846
VAT(내장지방)_SUM,internal,clinic4_aec_best,0.7828229102513857,0.8820334807681541,-0.0992105705167684,-3.7491283772140096,0.00017745023681671384
VAT(내장지방)_SUM,external,clinic4_aec_best,0.8215567917307769,0.8522113070580345,-0.030654515327257603,-0.9572559709923459,0.33843807255157365
Total Fat_SUM,internal,clinic4_aec_best,0.7682606410930111,0.835194429847609,-0.06693378875459799,-2.5260515217396464,0.011535256297851681
Total Fat_SUM,external,clinic4_aec_best,0.8746956961095035,0.8509485094850948,0.023747186624408667,0.5720625321175965,0.5672796114951135
VAT_TotalFat_ratio,internal,clinic4_aec_best,0.6241466939060242,0.8048233594100354,-0.18067666550401118,-4.822024247295485,1.421086659916995e-06
VAT_TotalFat_ratio,external,clinic4_aec_best,0.6894076789504149,0.7041867644221493,-0.014779085471734454,-0.37873177945559444,0.7048870517294825
VAT_SAT_ratio,internal,clinic4_aec_best,0.6241466939060242,0.8048233594100354,-0.18067666550401118,-4.822024247295485,1.421086659916995e-06
VAT_SAT_ratio,external,clinic4_aec_best,0.6957456484888577,0.7007483358829123,-0.005002687394054628,-0.12195997587763836,0.9029307162022698
VAT_TAMA_ratio,internal,clinic4_aec_best,0.7172302737520129,0.8398067632850241,-0.12257648953301126,-4.190400088813113,2.7846301079181467e-05
VAT_TAMA_ratio,external,clinic4_aec_best,0.7830584822110247,0.7998549396854482,-0.016796457474423487,-0.44579423044927474,0.6557458898071171
TotalFat_TAMA_ratio,internal,clinic4_aec_best,0.774798927613941,0.7686484781580192,0.006150449455921803,0.12490673583421305,0.9005973857133733
TotalFat_TAMA_ratio,external,clinic4_aec_best,0.7441581232104922,0.7335365290477509,0.010621594162741332,0.1805748566139814,0.8567012929325926
SAT_TotalFat_ratio,internal,clinic4_aec_best,0.7259644970414201,0.7815384615384615,-0.05557396449704144,-2.1540968883133456,0.03123257452408776
SAT_TotalFat_ratio,external,clinic4_aec_best,0.729110679290528,0.7637987348575681,-0.03468805556704013,-1.3471567454124715,0.17792975549489765
SAT_TAMA_ratio,internal,clinic4_aec_best,0.4073952879581152,0.556282722513089,-0.14888743455497377,-2.1145011910901257,0.034472483142307386
SAT_TAMA_ratio,external,clinic4_aec_best,0.6958837772397095,0.49814366424535916,0.19774011299435035,1.5801393684948142,0.1140749532660983
