feature,model,internal_oof_auc,delta_vs_clinic4
HTN,clinic4,0.7953044667003477,0.0
HTN,zero_curve,0.7892240482629499,-0.0060804184373978165
HTN,real_curve,0.7931587862937977,-0.0021456804065500545
DM,clinic4,0.7185621831246012,0.0
DM,zero_curve,0.7063110667159116,-0.012251116408689589
DM,real_curve,0.7253886445287582,0.0068264614041569915
CKD,clinic4,0.766080713047784,0.0
CKD,zero_curve,0.700577700751011,-0.06550301229677302
CKD,real_curve,0.7493356441363374,-0.01674506891144667
