embed_dim,residual_hidden,feature,internal_oof_auc,delta_vs_clinic4
16,0,HTN,0.7985497340188416,0.0032452673184938385
8,16,HTN,0.7981307022496953,0.0028262355493475777
16,16,HTN,0.7986745519926299,0.003370085292282221
16,16,DM,0.7253676594030152,0.006805476278413991
16,0,DM,0.7190973038310445,0.0005351207064433483
8,0,DM,0.7243687674176544,0.005806584293053252
16,16,CKD,0.7766031195840555,0.010522406536271456
16,0,CKD,0.7490137822893455,-0.01706693075843857
8,16,CKD,0.7694726417430057,0.0033919286952216465
