feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,residual_target,internal,1259,385,0.7986745519926299,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,residual_target,external,1123,507,0.7190597863674787,0.6895763682715891,0.7501884346843585
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,residual_target,internal,1259,232,0.7253676594030152,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,residual_target,external,1123,335,0.667683157814986,0.6341366102050799,0.7016518880671427
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,residual_target,internal,1259,105,0.7766031195840555,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,residual_target,external,1123,188,0.6187051996814201,0.5731807558683508,0.6638378296321495
