threshold_probability,NB_clinical_risk,NB_aec_gate_risk,NB_clinical_fixed_rule,NB_aec_gate_fixed_rule,NB_all,NB_none,delta_NB_fixed_rule,net_interventions_avoided_per_100_fixed_rule
0.29,0.04766829921211937,0.0505125787120129,-0.01674626593252823,0.02147659173181639,-0.1939889879232196,0.0,0.03822285766434462,9.358009979891268
0.3,0.047516198704103674,0.04905893242826289,-0.024220919469299634,0.01604443073125579,-0.21104597346497994,0.0,0.040265350200555425,9.395248380129598
0.31,0.04476163646038751,0.04886217798228315,-0.03191222963032525,0.010454815788649957,-0.22859736438476225,0.0,0.04236704541897521,9.43008430293319
0.32,0.045165798500825804,0.044085884893914365,-0.03982975479608694,0.004700800406555711,-0.2466649726845382,0.0,0.04453055520264265,9.462742980561563
0.33,0.04045646497533928,0.0431481899358499,-0.04798362399664749,-0.0012249766287353858,-0.2652719125753522,0.0,0.046758647367912104,9.493422344394274
0.34,0.0400877020747431,0.041691210157732826,-0.05638458014267958,-0.007330322665095895,-0.28444269912952425,0.0,0.049054257477583685,9.522297039766244
0.35,0.03871074929390265,0.034889516530985216,-0.065044027247051,-0.013623525502575146,-0.30420335603920906,0.0,0.05142050174447585,9.549521752545516
0.36,0.03307235421166307,0.034894708423326135,-0.07397408207343414,-0.02011339092872569,-0.3245815334773217,0.0,0.053860691144708456,9.575233981281503
0.37,0.03219171037745551,0.03238026672151942,-0.0831876307038294,-0.026809283828722247,-0.34560663718331097,0.0,0.05637834687510715,9.59955635981554
0.38,0.029610534383055807,0.03706542186302515,-0.0926983905803665,-0.03372117327388002,-0.3673099700411064,0.0,0.058977217306486474,9.622598613163582
0.39,0.03138830860744256,0.0362213645859151,-0.10252097864957693,-0.04085968204510851,-0.38972488758276386,0.0,0.061661296604468424,9.644459212493778
0.4,0.03239740820734341,0.03383729301655867,-0.11267098632109435,-0.0482361411087113,-0.4128869690424766,0.0,0.06443484521238305,9.665226781857456
0.41,0.03073177874583593,0.0314822271845371,-0.12316506204927333,-0.05586264963209717,-0.4368342058059082,0.0,0.06730241241717616,9.68498129905706
0.42,0.028375660981604232,0.028859760184702467,-0.13402100245773438,-0.06375214120801365,-0.46160720935428595,0.0,0.07026886124972073,9.703795124961436
0.43,0.024970633928233118,0.029309234208631737,-0.14525785305596603,-0.07191845704975178,-0.48724944109734364,0.0,0.07333939600621425,9.721733889195844
0.44,0.02352668929342796,0.02692070348657822,-0.15689601974699172,-0.08037642702869482,-0.5138074668312249,0.0,0.07651959271829689,9.738857255055969
0.45,0.023463577459257808,0.025917926565874733,-0.1689573924995091,-0.0891419595523267,-0.541331238955429,0.0,0.07981543294718241,9.755219582433407
0.46,0.022958163346932244,0.024958003359731216,-0.1814654827613791,-0.0982321414286857,-0.5698744100471962,0.0,0.08323334133269342,9.770870504272706
0.47,0.023085700313786213,0.023085700313786213,-0.1944455764293573,-0.10766534903622799,-0.599494681934879,0.0,0.08678022739312932,9.785855429437989
0.48,0.021182920750955306,0.02409038046187074,-0.2079249044691809,-0.11746137232098353,-0.6302541950490113,0.0,0.09046353214819738,9.800215982721385
0.49,0.018083259221615217,0.022191165883199936,-0.2219328336086054,-0.12764155338161176,-0.6622199635793842,0.0,0.09429128022699365,9.81399039097281
0.5,0.020518358531317497,0.021598272138228944,-0.23650107991360694,-0.1382289416846652,-0.6954643628509718,0.0,0.09827213822894174,9.827213822894173
