threshold_probability,NB_clinical_risk,NB_aec_gate_risk,NB_clinical_fixed_rule,NB_aec_gate_fixed_rule,NB_all,NB_none,delta_NB_fixed_rule,net_interventions_avoided_per_100_fixed_rule
0.02,0.13706087186494467,0.13721514523736061,0.12740776656234848,0.12623969674262794,0.13496716181072863,0.0,-0.0011680698197205353,-5.723542116630622
0.03,0.13090334216561644,0.12931130458016968,0.12349981073679053,0.1233996125670771,0.12604929749949903,0.0,-0.00010019816971343354,-0.3239740820734351
0.04,0.12311015118790497,0.12378509719222462,0.1195104391648668,0.1205003599712023,0.11694564434845213,0.0,0.0009899208063355036,2.3758099352052082
0.05,0.11788109582812321,0.11896100943503465,0.11543708082300783,0.11754007047857223,0.10765033534159374,0.0,0.002102989655564408,3.995680345572375
0.06,0.11272459905335233,0.11320711364367446,0.1112770552823859,0.11451679610312027,0.09815725380267452,0.0,0.0032397408207343603,5.075593952483832
0.07,0.10750365777189438,0.10988411249680669,0.10702756682691189,0.11142850507443275,0.08846001997259574,0.0,0.004400938247520858,5.846960814563425
0.08,0.10338998967039159,0.10606629730491127,0.10268569818762324,0.10827307728425205,0.07855197671142831,0.0,0.005587379096628806,6.425485961123127
0.09,0.09973180167564619,0.10209337099185911,0.09824840386395461,0.10504829943274868,0.06842617425770775,0.0,0.006799895568794068,6.875449964002891
0.1,0.0955123590112791,0.10139188864890808,0.09371250299976,0.1017518598512119,0.05807535397168227,0.0,0.008039356851451906,7.235421166306716
0.11,0.09328512145994614,0.09772611449511007,0.08907467177906664,0.09838134297570801,0.04749193098260006,0.0,0.009306671196641372,7.529943059100747
0.12,0.09095817789122326,0.09400157078342823,0.08433143530335754,0.09493422344394267,0.036667975652856885,0.0,0.010602788140585129,7.775377969762428
0.13,0.08675305975521957,0.08707579255728506,0.07947915890866661,0.0914078597850103,0.025595193763809254,0.0,0.011928700876343692,7.9830536633992395
0.14,0.08137023456728112,0.08172183434627556,0.07451403887688983,0.08779948766889346,0.014264905319202381,0.0,0.013285448792003635,8.161061400802232
0.15,0.07921483928344555,0.07813492567653413,0.06943209249142421,0.08410621267945623,0.002668021852369473,0.0,0.01467412018803202,8.315334773218144
0.16,0.07240563612053891,0.0751825568240255,0.06422914738249509,0.08032500257122288,-0.009204977887483284,0.0,0.01609585518872779,8.450323974082089
0.17,0.06751411694293372,0.07141741913658955,0.05890083010226649,0.07645267896640558,-0.021364074006609585,0.0,0.01755184886413909,8.569432092491436
0.18,0.06648053521571934,0.07080018964336512,0.053442553863983555,0.07248590844439763,-0.03381973344571454,0.0,0.019043354580414076,8.675305975521969
0.19,0.06256832786710398,0.06415486761059117,0.047849505372903486,0.06842119297122898,-0.046582940031464126,0.0,0.02057168759832549,8.77003523928613
0.2,0.05885529157667386,0.06317494600431967,0.04211663066954642,0.0642548596112311,-0.05966522678185743,0.0,0.022138228941684684,8.855291576673874
0.21,0.05821964622577029,0.06318178090056593,0.03623861989774996,0.05998304945730924,-0.07307871066517205,0.0,0.023744429559559285,8.932428262881826
0.22,0.056930830148972704,0.06324417123553193,0.030209890901035583,0.05560170570969708,-0.08683613003267426,0.0,0.025391814808661498,9.002552523070895
0.23,0.05630978093181117,0.06083980814002413,0.024024571540770215,0.051106560825783284,-0.10095088496816357,0.0,0.02708198928501307,9.066579021504376
0.24,0.05234739115607594,0.058087984540184164,0.017676480618392623,0.04649312265545073,-0.1154370808230078,0.0,0.02881664203705811,9.125269978401736
0.25,0.05075593952483801,0.055075593952483806,0.011159107271418264,0.04175665946724262,-0.13030957523398123,0.0,0.030597552195824357,9.179265658747306
0.26,0.04958846535520401,0.0539664934913315,0.004465588698850026,0.03689218376043431,-0.14558402895335937,0.0,0.03242659506158428,9.229107825220142
0.27,0.04708719192875529,0.048965945738039585,-0.00241131394419955,0.031894434746590136,-0.16127696085683008,0.0,0.034305748690789686,9.275257979361655
0.28,0.046616270698344134,0.05021598272138228,-0.009479241660667187,0.02675785937125029,-0.1774058075353972,0.0,0.036237101031917476,9.318111693921635
