model,auc,brier,threshold,sensitivity,specificity,ppv,npv,tp,fn,tn,fp
Clinical,0.8336992365722546,0.09855556892725217,-0.17615786612778003,0.8865248226950354,0.5617834394904458,0.26652452025586354,0.9649890590809628,125,16,441,344
Clinical + AEC gate,0.8419569047296381,0.09685354067252466,0.46205567465486497,0.8652482269503546,0.6815286624203821,0.3279569892473118,0.9657039711191335,122,19,535,250
