mean_pred,obs_rate,n,events
0.006746929796329158,0.0,93,0
0.018200736166187805,0.03225806451612903,93,3
0.031064445261097712,0.021739130434782608,92,2
0.047746918568621365,0.053763440860215055,93,5
0.06663133459486746,0.043478260869565216,92,4
0.09637770731854169,0.06451612903225806,93,6
0.14385703255570342,0.20652173913043478,92,19
0.20360243794178906,0.1935483870967742,93,18
0.3146988703309698,0.29347826086956524,92,27
0.5314777944367868,0.6129032258064516,93,57
