model,auc,brier,calibration_slope,calibration_intercept
Clinical,0.8336992365722546,0.09855556892725217,1.065593852776552,0.11909787845776633
Clinical + AEC gate,0.8419569047296381,0.09685354067252466,1.109167583537393,0.2037652001597311
