feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,crossattn,internal,1259,385,0.7902909447531873,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,crossattn,external,1123,507,0.7249000999001,0.6962002518415467,0.7560156512798604
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,crossattn,internal,1259,232,0.7131165429943256,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,crossattn,external,1123,335,0.6765474657170998,0.6427924738022689,0.7115026632892412
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,crossattn,internal,1259,105,0.7515061483865643,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,crossattn,external,1123,188,0.6154056206621914,0.5698864864274659,0.6598061548674138
