feature,comparison,cohort,auc_a,auc_b,diff,z,p_value
HTN,concat_minus_clinic4,internal,0.7953044667003477,0.7943623881838984,-0.0009420785164493406,-0.19495680534102278,0.8454267630514501
HTN,concat_minus_clinic4,external,0.7176925638464099,0.7279051077127999,0.010212543866390034,1.6504936918188042,0.09884200247358654
DM,concat_minus_clinic4,internal,0.7185621831246012,0.7253886445287581,0.0068264614041568805,0.7507652665366773,0.45279393624084874
DM,concat_minus_clinic4,external,0.665451928176377,0.6743010834154103,0.00884915523903329,1.1259302787196939,0.26019503187117243
CKD,concat_minus_clinic4,internal,0.766080713047784,0.7602871998019312,-0.005793513245852866,-0.5505666041439132,0.5819308073267558
CKD,concat_minus_clinic4,external,0.6156217999772443,0.6205996131528047,0.004977813175560342,0.8163039544753738,0.4143263132310331
