feature,cohort,auc_clinic6,auc_clinic6_fpca3,auc_clinic6_fpca3_total,auc_clinic6_uplow_ratio,auc_clinic6_uplow_ratio_total,delta_auc_clinic6_fpca3_minus_clinic6,delong_z_clinic6_fpca3_minus_clinic6,delong_p_clinic6_fpca3_minus_clinic6,delta_auc_clinic6_uplow_ratio_minus_clinic6,delong_z_clinic6_uplow_ratio_minus_clinic6,delong_p_clinic6_uplow_ratio_minus_clinic6,delta_auc_clinic6_fpca3_total_minus_clinic6,delong_z_clinic6_fpca3_total_minus_clinic6,delong_p_clinic6_fpca3_total_minus_clinic6,delta_auc_clinic6_uplow_ratio_total_minus_clinic6,delong_z_clinic6_uplow_ratio_total_minus_clinic6,delong_p_clinic6_uplow_ratio_total_minus_clinic6,delta_auc_clinic6_fpca3_total_minus_clinic6_fpca3,delong_z_clinic6_fpca3_total_minus_clinic6_fpca3,delong_p_clinic6_fpca3_total_minus_clinic6_fpca3,delta_auc_clinic6_uplow_ratio_total_minus_clinic6_uplow_ratio,delong_z_clinic6_uplow_ratio_total_minus_clinic6_uplow_ratio,delong_p_clinic6_uplow_ratio_total_minus_clinic6_uplow_ratio
HTN,internal,0.7929,0.803,0.7982,0.7999,0.7982,0.01,1.9838,0.0473,0.007,1.5103,0.131,0.0053,1.1804,0.2378,0.0053,1.4124,0.1578,-0.0047,-2.0504,0.0403,-0.0017,-0.7131,0.4758
HTN,external,0.7117,0.7325,0.7301,0.7273,0.7241,0.0209,2.7917,0.0052,0.0156,2.1427,0.0321,0.0185,2.8991,0.0037,0.0124,2.1038,0.0354,-0.0024,-0.8624,0.3884,-0.0032,-1.076,0.2819
DM,internal,0.7209,0.7423,0.742,0.7387,0.739,0.0213,2.5992,0.0093,0.0178,2.4943,0.0126,0.0211,2.6098,0.0091,0.0181,2.5716,0.0101,-0.0003,-0.0979,0.922,0.0003,0.1251,0.9004
DM,external,0.6585,0.6713,0.6739,0.67,0.6686,0.0128,1.3825,0.1668,0.0115,1.113,0.2657,0.0154,1.7083,0.0876,0.0101,1.026,0.3049,0.0026,1.4111,0.1582,-0.0014,-0.6278,0.5301
CKD,internal,0.7717,0.7717,0.772,0.7739,0.7737,0.0,0.0014,0.9989,0.0022,0.5484,0.5834,0.0003,0.0562,0.9552,0.002,0.51,0.6101,0.0003,0.1061,0.9155,-0.0002,-0.1334,0.8939
CKD,external,0.6141,0.6231,0.6233,0.6287,0.63,0.0089,1.4296,0.1528,0.0146,2.7526,0.0059,0.0092,1.6785,0.0932,0.0159,3.1727,0.0015,0.0003,0.1291,0.8973,0.0013,1.0391,0.2988
