feature,cohort,baseline_model,extended_model,auc_baseline,auc_extended,auc_diff,z,p_value
HTN,internal,clinic6,clinic6_fpca3,0.79291212220274,0.8029569972361734,0.010044875033433431,1.9838380910704472,0.0472738922708485
HTN,external,clinic6,clinic6_fpca3,0.711664937626476,0.7325366940751555,0.020871756448679557,2.791672122860858,0.005243646044804134
HTN,internal,clinic6,clinic6_uplow_ratio,0.79291212220274,0.7998722101696929,0.00696008796695291,1.5102525602296317,0.13097899170688695
HTN,external,clinic6,clinic6_uplow_ratio,0.711664937626476,0.727279131125285,0.015614193498808993,2.142664148155274,0.03214007616494787
HTN,internal,clinic6,clinic6_fpca3_total,0.79291212220274,0.7982168860887395,0.005304763885999542,1.1804147737325577,0.23783528888195138
HTN,external,clinic6,clinic6_fpca3_total,0.711664937626476,0.7301352493660186,0.01847031173954261,2.8990878032600516,0.0037425007373153643
HTN,internal,clinic6,clinic6_uplow_ratio_total,0.79291212220274,0.7982139142322209,0.00530179202948089,1.4123774111820213,0.1578388639878504
HTN,external,clinic6,clinic6_uplow_ratio_total,0.711664937626476,0.7240804067727146,0.012415469146238589,2.103808484096264,0.035395156435482196
HTN,internal,clinic6_fpca3,clinic6_fpca3_total,0.8029569972361734,0.7982168860887395,-0.00474011114743389,-2.0504057807136773,0.040324849557378285
HTN,external,clinic6_fpca3,clinic6_fpca3_total,0.7325366940751555,0.7301352493660186,-0.002401444709136946,-0.8624326579332018,0.3884494757274993
HTN,internal,clinic6_uplow_ratio,clinic6_uplow_ratio_total,0.7998722101696929,0.7982139142322209,-0.0016582959374720208,-0.7130882351652953,0.47579115908054814
HTN,external,clinic6_uplow_ratio,clinic6_uplow_ratio_total,0.727279131125285,0.7240804067727146,-0.0031987243525704034,-1.0760447614478552,0.2819072381622353
DM,internal,clinic6,clinic6_fpca3,0.7209397978712688,0.7422690796763254,0.021329281805056555,2.5992114917406024,0.009343818584465044
DM,external,clinic6,clinic6_fpca3,0.658500643988181,0.6713349496173953,0.012834305629214282,1.3825484537846664,0.16680336364543413
DM,internal,clinic6,clinic6_uplow_ratio,0.7209397978712688,0.7386932142497398,0.017753416378470943,2.494254193845249,0.012622211627894784
DM,external,clinic6,clinic6_uplow_ratio,0.658500643988181,0.6700166679293886,0.011516023941207654,1.1130005000098295,0.2657082147439124
DM,internal,clinic6,clinic6_fpca3_total,0.7209397978712688,0.7419920760165195,0.02105227814525068,2.609761914458884,0.009060525730297834
DM,external,clinic6,clinic6_fpca3_total,0.658500643988181,0.673926055004167,0.015425411015986046,1.7082600031258477,0.0875881092439772
DM,internal,clinic6,clinic6_uplow_ratio_total,0.7209397978712688,0.7390037941107344,0.01806399623946553,2.5715657818070388,0.010123978006633786
DM,external,clinic6,clinic6_uplow_ratio_total,0.658500643988181,0.6686339874232897,0.010133343435108744,1.0260304237301054,0.3048772437056245
DM,internal,clinic6_fpca3,clinic6_fpca3_total,0.7422690796763254,0.7419920760165195,-0.0002770036598058745,-0.0978849915831486,0.9220236177316378
DM,external,clinic6_fpca3,clinic6_fpca3_total,0.6713349496173953,0.673926055004167,0.0025911053867717637,1.4110933126400906,0.1582171015906193
DM,internal,clinic6_uplow_ratio,clinic6_uplow_ratio_total,0.7386932142497398,0.7390037941107344,0.00031057986099458645,0.1251118507737667,0.9004350014558351
DM,external,clinic6_uplow_ratio,clinic6_uplow_ratio_total,0.6700166679293886,0.6686339874232897,-0.00138268050609891,-0.6277916249093481,0.5301404532605177
CKD,internal,clinic6,clinic6_fpca3,0.7717091689362052,0.771717421804077,8.252867871760827e-06,0.0014339689473334934,0.9988558587083619
CKD,external,clinic6,clinic6_fpca3,0.6141113892365456,0.6230515416998521,0.008940152463306483,1.4295701869861577,0.152840417234797
CKD,internal,clinic6,clinic6_uplow_ratio,0.7717091689362052,0.7739209375257903,0.0022117685895850503,0.5484493500452872,0.5833833985632197
CKD,external,clinic6,clinic6_uplow_ratio,0.6141113892365456,0.6286949596086017,0.014583570372056043,2.752579481492793,0.005912779168435231
CKD,internal,clinic6,clinic6_fpca3_total,0.7717091689362052,0.7720227779153255,0.0003136089791202501,0.05616969101867304,0.9552066260930306
CKD,external,clinic6,clinic6_fpca3_total,0.6141113892365456,0.6233189213789965,0.009207532142450847,1.6785383157629639,0.0932420570118258
CKD,internal,clinic6,clinic6_uplow_ratio_total,0.7717091689362052,0.7737228686968722,0.0020136997606670093,0.5099958901804137,0.6100543410709034
CKD,external,clinic6,clinic6_uplow_ratio_total,0.6141113892365456,0.6300318580043236,0.015920468767777973,3.172739469370726,0.0015100796707840647
CKD,internal,clinic6_fpca3,clinic6_fpca3_total,0.771717421804077,0.7720227779153255,0.00030535611124848927,0.10609829051586932,0.9155043674619487
CKD,external,clinic6_fpca3,clinic6_fpca3_total,0.6230515416998521,0.6233189213789965,0.0002673796791443639,0.12906444067186987,0.8973066588575805
CKD,internal,clinic6_uplow_ratio,clinic6_uplow_ratio_total,0.7739209375257903,0.7737228686968722,-0.000198068828918041,-0.13338108182701958,0.893892006233411
CKD,external,clinic6_uplow_ratio,clinic6_uplow_ratio_total,0.6286949596086017,0.6300318580043236,0.0013368983957219305,1.0390876148571497,0.2987639904483057
