cohort,n,event,auc,sens_clin,sens_aec,sens_p,spec_clin,spec_aec,spec_p,acc_clin,acc_aec,acc_p,net_nri,n_deesc,variant
internal,1090,129,0.738255033557047,0.9069767441860465,0.8682170542635659,0.0625,0.5348595213319459,0.6201873048907388,4.1359030627651384e-25,0.5788990825688073,0.6495412844036698,5.077541690652894e-19,77,87,residual_aec
external,926,141,0.7504890866546472,0.9290780141843972,0.8794326241134752,0.015625,0.4929936305732484,0.5681528662420382,3.469446951953614e-18,0.5593952483801296,0.6155507559395248,2.3834933267526115e-11,52,66,residual_aec
