cohort,stage1_auc,full_pipeline_auc,auc_diff,delong_p_value
internal,0.8284530810121885,0.8286184449338141,-0.0001653639216255831,0.7838044379288264
external,0.8347111171342096,0.8348647061480778,-0.0001535890138681939,0.2651619833902802
