feature,cohort,auc_clinic9,auc_clinic9_fpca3,auc_clinic9_fpca3_total,auc_clinic9_uplow_ratio,auc_clinic9_uplow_ratio_total,delta_auc_clinic9_fpca3_minus_clinic9,delong_z_clinic9_fpca3_minus_clinic9,delong_p_clinic9_fpca3_minus_clinic9,delta_auc_clinic9_uplow_ratio_minus_clinic9,delong_z_clinic9_uplow_ratio_minus_clinic9,delong_p_clinic9_uplow_ratio_minus_clinic9,delta_auc_clinic9_fpca3_total_minus_clinic9,delong_z_clinic9_fpca3_total_minus_clinic9,delong_p_clinic9_fpca3_total_minus_clinic9,delta_auc_clinic9_uplow_ratio_total_minus_clinic9,delong_z_clinic9_uplow_ratio_total_minus_clinic9,delong_p_clinic9_uplow_ratio_total_minus_clinic9,delta_auc_clinic9_fpca3_total_minus_clinic9_fpca3,delong_z_clinic9_fpca3_total_minus_clinic9_fpca3,delong_p_clinic9_fpca3_total_minus_clinic9_fpca3,delta_auc_clinic9_uplow_ratio_total_minus_clinic9_uplow_ratio,delong_z_clinic9_uplow_ratio_total_minus_clinic9_uplow_ratio,delong_p_clinic9_uplow_ratio_total_minus_clinic9_uplow_ratio
HTN,internal,0.8168,0.8205,0.8202,0.8186,0.8181,0.0037,1.1088,0.2675,0.0018,0.7575,0.4487,0.0034,1.0839,0.2784,0.0013,0.6123,0.5403,-0.0003,-0.3045,0.7607,-0.0005,-0.613,0.5398
HTN,external,0.7307,0.7366,0.7393,0.7337,0.7346,0.0059,1.0567,0.2907,0.003,0.7283,0.4664,0.0086,1.7232,0.0849,0.0039,1.0969,0.2727,0.0027,1.9064,0.0566,0.0009,0.8229,0.4106
DM,internal,0.7234,0.7392,0.7385,0.7391,0.7382,0.0158,1.8499,0.0643,0.0157,1.9887,0.0467,0.0151,1.7322,0.0832,0.0148,1.7972,0.0723,-0.0007,-0.2801,0.7794,-0.0009,-0.3836,0.7013
DM,external,0.6673,0.6946,0.6942,0.6879,0.6855,0.0273,2.7683,0.0056,0.0206,1.9905,0.0465,0.0269,2.8477,0.0044,0.0183,1.8246,0.0681,-0.0004,-0.241,0.8096,-0.0023,-1.1107,0.2667
CKD,internal,0.7855,0.7891,0.7851,0.7915,0.7874,0.0036,0.4425,0.6581,0.006,0.8076,0.4193,-0.0004,-0.0584,0.9534,0.0019,0.3228,0.7468,-0.0041,-0.92,0.3576,-0.004,-1.4491,0.1473
CKD,external,0.6282,0.6396,0.643,0.6514,0.6491,0.0115,1.5005,0.1335,0.0232,2.8377,0.0045,0.0149,2.4265,0.0152,0.0209,3.0511,0.0023,0.0034,0.946,0.3442,-0.0023,-0.9702,0.332
