feature,cohort,baseline_model,extended_model,auc_baseline,auc_extended,auc_diff,z,p_value
HTN,internal,clinic9,clinic9_fpca3,0.8167953024993484,0.8205131918097832,0.0037178893104348187,1.1088029718690982,0.26751518815999886
HTN,external,clinic9,clinic9_fpca3,0.7307063261026076,0.7365910727141828,0.005884746611575231,1.0566621056733918,0.2906658252863502
HTN,internal,clinic9,clinic9_uplow_ratio,0.8167953024993484,0.8186053751918678,0.0018100726925194266,0.7575449720164603,0.448723433518159
HTN,external,clinic9,clinic9_uplow_ratio,0.7307063261026076,0.7336995649043728,0.0029932388017652745,0.7282761211235259,0.46644457665314965
HTN,internal,clinic9,clinic9_fpca3_total,0.8167953024993484,0.8201801384343597,0.0033848359350112656,1.0838961658646753,0.2784108398122809
HTN,external,clinic9,clinic9_fpca3_total,0.7307063261026076,0.7392752058096222,0.008568879707014698,1.7231573768146764,0.08486006924887812
HTN,internal,clinic9,clinic9_uplow_ratio_total,0.8167953024993484,0.8181130354195025,0.0013177329201541355,0.6123479600024087,0.5403075646542428
HTN,external,clinic9,clinic9_uplow_ratio_total,0.7307063261026076,0.7346229692928913,0.003916643190283731,1.0968877935343964,0.27269044534375964
HTN,internal,clinic9_fpca3,clinic9_fpca3_total,0.8205131918097832,0.8201801384343597,-0.0003330533754235532,-0.30452735807332876,0.7607261531236119
HTN,external,clinic9_fpca3,clinic9_fpca3_total,0.7365910727141828,0.7392752058096222,0.002684133095439467,1.9064271647114899,0.056594807114339764
HTN,internal,clinic9_uplow_ratio,clinic9_uplow_ratio_total,0.8186053751918678,0.8181130354195025,-0.0004923397723652911,-0.6130421410210108,0.539848475795861
HTN,external,clinic9_uplow_ratio,clinic9_uplow_ratio_total,0.7336995649043728,0.7346229692928913,0.0009234043885184562,0.8228522875799228,0.4105919980799003
DM,internal,clinic9,clinic9_fpca3,0.723376675983311,0.7392250982298375,0.015848422246526495,1.849942815020873,0.0643217920838804
DM,external,clinic9,clinic9_fpca3,0.6672653061224489,0.6945986394557824,0.02733333333333343,2.7683139687347333,0.00563471439176564
DM,internal,clinic9,clinic9_uplow_ratio,0.723376675983311,0.7390883866002349,0.01571171061692389,1.9886720282469346,0.04673741537376029
DM,external,clinic9,clinic9_uplow_ratio,0.6672653061224489,0.6878503401360545,0.020585034013605563,1.9904885638554513,0.04653714253489974
DM,internal,clinic9,clinic9_fpca3_total,0.723376675983311,0.7384807793575565,0.015104103374245503,1.732231445788318,0.08323236229080712
DM,external,clinic9,clinic9_fpca3_total,0.6672653061224489,0.6941541950113379,0.026888888888888962,2.847657658771423,0.004404227316734523
DM,internal,clinic9,clinic9_uplow_ratio_total,0.723376675983311,0.7381567221614614,0.01478004617815043,1.7972335996906115,0.07229854252458885
DM,external,clinic9,clinic9_uplow_ratio_total,0.6672653061224489,0.6855464852607709,0.018281179138321946,1.8245938432733093,0.06806234319680478
DM,internal,clinic9_fpca3,clinic9_fpca3_total,0.7392250982298375,0.7384807793575565,-0.0007443188722809913,-0.2801459306121728,0.779365547374048
DM,external,clinic9_fpca3,clinic9_fpca3_total,0.6945986394557824,0.6941541950113379,-0.0004444444444444695,-0.24098069469034766,0.8095700790773369
DM,internal,clinic9_uplow_ratio,clinic9_uplow_ratio_total,0.7390883866002349,0.7381567221614614,-0.0009316644387734607,-0.3835899860109622,0.7012823632778376
DM,external,clinic9_uplow_ratio,clinic9_uplow_ratio_total,0.6878503401360545,0.6855464852607709,-0.0023038548752836174,-1.1106911793493692,0.2667013002687989
CKD,internal,clinic9,clinic9_fpca3,0.7854935351624094,0.7891411752338905,0.0036476400714811064,0.44254635836627426,0.6580938916985933
CKD,external,clinic9,clinic9_fpca3,0.6281560932346665,0.6396233474681966,0.011467254233530122,1.5004598355927896,0.1334953300112139
CKD,internal,clinic9,clinic9_uplow_ratio,0.7854935351624094,0.7914538000630715,0.005960264900662149,0.8076329120692562,0.4193019344284824
CKD,external,clinic9,clinic9_uplow_ratio,0.6281560932346665,0.6513746847371192,0.023218591502452757,2.837746481740477,0.004543325284843598
CKD,internal,clinic9,clinic9_fpca3_total,0.7854935351624094,0.7850835698517817,-0.00040996531062764685,-0.05838267435522762,0.9534438150919345
CKD,external,clinic9,clinic9_fpca3_total,0.6281560932346665,0.6430392727474294,0.014883179512762967,2.4265038758302175,0.01524508748346903
CKD,internal,clinic9,clinic9_uplow_ratio_total,0.7854935351624094,0.7874382424051298,0.0019447072427204448,0.32284408018472227,0.7468133278304123
CKD,external,clinic9,clinic9_uplow_ratio_total,0.6281560932346665,0.6490950915994568,0.020938998364790296,3.0510572516165873,0.002280370883681456
CKD,internal,clinic9_fpca3,clinic9_fpca3_total,0.7891411752338905,0.7850835698517817,-0.004057605382108753,-0.91996981114839,0.3575885353145728
CKD,external,clinic9_fpca3,clinic9_fpca3_total,0.6396233474681966,0.6430392727474294,0.0034159252792328454,0.9459915551844759,0.344152893510283
CKD,internal,clinic9_uplow_ratio,clinic9_uplow_ratio_total,0.7914538000630715,0.7874382424051298,-0.004015557657941704,-1.4490563284670122,0.147321852614571
CKD,external,clinic9_uplow_ratio,clinic9_uplow_ratio_total,0.6513746847371192,0.6490950915994568,-0.002279593137662461,-0.9701611430923652,0.33196617577539844
