phase,lr,dropout,embed_dim,final_model,final_params,auc
1,0.001,0.2,16,,,0.5235664161838658
1,0.001,0.2,32,,,0.5009656016367426
1,0.001,0.4,16,,,0.5007170309183732
1,0.001,0.4,32,,,0.5013097764775617
1,0.0005,0.2,16,,,0.5194745597430162
1,0.0005,0.2,32,,,0.49340331555096656
1,0.0005,0.4,16,,,0.5079064609265951
1,0.0005,0.4,32,,,0.4991491233101971
2,0.001,0.2,16,logreg,{'C': 0.03},0.7023078835159372
2,0.001,0.2,16,logreg,{'C': 0.1},0.7244306774508118
2,0.001,0.2,16,logreg,{'C': 0.3},0.7300904414998376
2,0.001,0.2,16,logreg,{'C': 1.0},0.7323084571406718
2,0.001,0.2,16,logreg,{'C': 3.0},0.7324231820876117
2,0.001,0.2,16,logreg,{'C': 10.0},0.7325570278590413
2,0.001,0.2,16,random_forest,"{'n_estimators': 200, 'max_depth': 3}",0.6663607334748275
2,0.001,0.2,16,random_forest,"{'n_estimators': 200, 'max_depth': 5}",0.6872024321688751
2,0.001,0.2,16,random_forest,"{'n_estimators': 500, 'max_depth': None}",0.6759689477810282
2,0.001,0.2,16,gradient_boosting,"{'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.1}",0.6819250846096484
2,0.001,0.2,16,gradient_boosting,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.6829958507810856
2,0.001,0.2,16,svm_rbf,"{'C': 1.0, 'gamma': 'scale'}",0.6931490085852501
2,0.001,0.2,16,svm_rbf,"{'C': 10.0, 'gamma': 'scale'}",0.6895160519321594
