feature,model,cohort,variable,vif,is_added
HTN,clinic4_aec_fpca_elbow,external,aec_fpca_pc2,1.3609388581199715,True
HTN,clinic4_aec_fpca_elbow,external,aec_fpca_pc3,1.167868051868875,True
HTN,clinic4_aec_uplow_ratio,internal,sex_M,2.8808931313237385,False
HTN,clinic4_aec_uplow_ratio,internal,age,1.3273662919354972,False
HTN,clinic4_aec_uplow_ratio,internal,height,2.989008079047934,False
HTN,clinic4_aec_uplow_ratio,internal,weight,2.1903713185801257,False
HTN,clinic4_aec_uplow_ratio,internal,AEC_uplow_ratio,2.0114875602794617,True
HTN,clinic4_aec_uplow_ratio,external,sex_M,2.732757303683853,False
HTN,clinic4_aec_uplow_ratio,external,age,1.2088033089878663,False
HTN,clinic4_aec_uplow_ratio,external,height,3.130391381691144,False
HTN,clinic4_aec_uplow_ratio,external,weight,1.8468204032266222,False
HTN,clinic4_aec_uplow_ratio,external,AEC_uplow_ratio,1.364635849983024,True
HTN,clinic4_vat_fpca_elbow,internal,sex_M,2.716341570583797,False
HTN,clinic4_vat_fpca_elbow,internal,age,1.4417844144408736,False
HTN,clinic4_vat_fpca_elbow,internal,height,2.8815542853823133,False
HTN,clinic4_vat_fpca_elbow,internal,weight,2.706484536349836,False
HTN,clinic4_vat_fpca_elbow,internal,vat_fpca_pc1,2.221492307529893,True
HTN,clinic4_vat_fpca_elbow,internal,vat_fpca_pc2,1.2122206487885623,True
HTN,clinic4_vat_fpca_elbow,external,sex_M,2.5853148804637454,False
HTN,clinic4_vat_fpca_elbow,external,age,1.3071516563357999,False
HTN,clinic4_vat_fpca_elbow,external,height,3.143204831114864,False
HTN,clinic4_vat_fpca_elbow,external,weight,2.514837614468132,False
HTN,clinic4_vat_fpca_elbow,external,vat_fpca_pc1,1.7704421123537122,True
HTN,clinic4_vat_fpca_elbow,external,vat_fpca_pc2,1.1217427866018561,True
HTN,clinic4_vat_uplow_ratio,internal,sex_M,2.898957194884706,False
HTN,clinic4_vat_uplow_ratio,internal,age,1.3032844894872346,False
HTN,clinic4_vat_uplow_ratio,internal,height,2.9169591588526007,False
HTN,clinic4_vat_uplow_ratio,internal,weight,2.2519256002588866,False
HTN,clinic4_vat_uplow_ratio,internal,VAT_uplow_ratio,2.1472232099584003,True
HTN,clinic4_vat_uplow_ratio,external,sex_M,2.7893216332619,False
HTN,clinic4_vat_uplow_ratio,external,age,1.2199432199450309,False
HTN,clinic4_vat_uplow_ratio,external,height,3.108384500786716,False
HTN,clinic4_vat_uplow_ratio,external,weight,2.02341390951355,False
HTN,clinic4_vat_uplow_ratio,external,VAT_uplow_ratio,1.6600349992320922,True
HTN,clinic4_sat_fpca_elbow,internal,sex_M,3.352609536103883,False
HTN,clinic4_sat_fpca_elbow,internal,age,1.3066144045670018,False
HTN,clinic4_sat_fpca_elbow,internal,height,3.0957725360708115,False
HTN,clinic4_sat_fpca_elbow,internal,weight,3.248138262946096,False
HTN,clinic4_sat_fpca_elbow,internal,sat_fpca_pc1,2.2328077028093336,True
HTN,clinic4_sat_fpca_elbow,internal,sat_fpca_pc2,1.1452232682560928,True
HTN,clinic4_sat_fpca_elbow,external,sex_M,3.5626585454049975,False
HTN,clinic4_sat_fpca_elbow,external,age,1.2568798431932333,False
HTN,clinic4_sat_fpca_elbow,external,height,3.1931577372461803,False
HTN,clinic4_sat_fpca_elbow,external,weight,3.0521750372094782,False
HTN,clinic4_sat_fpca_elbow,external,sat_fpca_pc1,2.338615127075565,True
HTN,clinic4_sat_fpca_elbow,external,sat_fpca_pc2,1.1307491423289366,True
HTN,clinic4_sat_uplow_ratio,internal,sex_M,2.4029454089872684,False
HTN,clinic4_sat_uplow_ratio,internal,age,1.2948751356948212,False
HTN,clinic4_sat_uplow_ratio,internal,height,2.832350314867535,False
HTN,clinic4_sat_uplow_ratio,internal,weight,2.057242024115898,False
HTN,clinic4_sat_uplow_ratio,internal,SAT_uplow_ratio,1.2115453239750162,True
HTN,clinic4_sat_uplow_ratio,external,sex_M,2.5286690414460096,False
HTN,clinic4_sat_uplow_ratio,external,age,1.2310652544456855,False
HTN,clinic4_sat_uplow_ratio,external,height,3.052405958998969,False
HTN,clinic4_sat_uplow_ratio,external,weight,1.9881265695758168,False
HTN,clinic4_sat_uplow_ratio,external,SAT_uplow_ratio,1.2758348553464325,True
HTN,clinic4_imata_fpca_elbow,internal,sex_M,2.44802280664881,False
HTN,clinic4_imata_fpca_elbow,internal,age,1.603884665157422,False
HTN,clinic4_imata_fpca_elbow,internal,height,2.988191728899135,False
HTN,clinic4_imata_fpca_elbow,internal,weight,2.5547176835688963,False
HTN,clinic4_imata_fpca_elbow,internal,imata_fpca_pc1,1.5559367191737152,True
HTN,clinic4_imata_fpca_elbow,internal,imata_fpca_pc2,1.035469726205354,True
HTN,clinic4_imata_fpca_elbow,internal,imata_fpca_pc3,1.1881558116933066,True
HTN,clinic4_imata_fpca_elbow,external,sex_M,2.5309749322342427,False
HTN,clinic4_imata_fpca_elbow,external,age,1.5157693277324045,False
HTN,clinic4_imata_fpca_elbow,external,height,3.17597661572453,False
HTN,clinic4_imata_fpca_elbow,external,weight,2.3653985581774175,False
HTN,clinic4_imata_fpca_elbow,external,imata_fpca_pc1,1.4915201023229325,True
HTN,clinic4_imata_fpca_elbow,external,imata_fpca_pc2,1.121961692974827,True
HTN,clinic4_imata_fpca_elbow,external,imata_fpca_pc3,1.2082238698317993,True
HTN,clinic4_imata_uplow_ratio,internal,sex_M,2.377264773849898,False
HTN,clinic4_imata_uplow_ratio,internal,age,1.2813686080362143,False
HTN,clinic4_imata_uplow_ratio,internal,height,2.833637900663363,False
HTN,clinic4_imata_uplow_ratio,internal,weight,1.9588751995483948,False
HTN,clinic4_imata_uplow_ratio,internal,IMATA_uplow_ratio,1.1452315941564,True
HTN,clinic4_imata_uplow_ratio,external,sex_M,2.412885229252992,False
HTN,clinic4_imata_uplow_ratio,external,age,1.1862640785862817,False
HTN,clinic4_imata_uplow_ratio,external,height,3.071370551152271,False
HTN,clinic4_imata_uplow_ratio,external,weight,1.9677904508926163,False
HTN,clinic4_imata_uplow_ratio,external,IMATA_uplow_ratio,1.1509505287347053,True
HTN,clinic4_nama_fpca_elbow,internal,sex_M,3.1888270769123603,False
HTN,clinic4_nama_fpca_elbow,internal,age,1.7448347667439987,False
HTN,clinic4_nama_fpca_elbow,internal,height,2.858607511623016,False
HTN,clinic4_nama_fpca_elbow,internal,weight,2.0872857228762522,False
HTN,clinic4_nama_fpca_elbow,internal,nama_fpca_pc1,2.6877705831320897,True
HTN,clinic4_nama_fpca_elbow,internal,nama_fpca_pc2,1.2512432523545802,True
HTN,clinic4_nama_fpca_elbow,external,sex_M,3.207270442723103,False
HTN,clinic4_nama_fpca_elbow,external,age,1.5553580972566188,False
HTN,clinic4_nama_fpca_elbow,external,height,3.0041853484024594,False
HTN,clinic4_nama_fpca_elbow,external,weight,1.879838811175782,False
HTN,clinic4_nama_fpca_elbow,external,nama_fpca_pc1,2.3343944968296917,True
HTN,clinic4_nama_fpca_elbow,external,nama_fpca_pc2,1.2414426972463775,True
HTN,clinic4_nama_uplow_ratio,internal,sex_M,2.7877183020340945,False
HTN,clinic4_nama_uplow_ratio,internal,age,1.4494941416529916,False
HTN,clinic4_nama_uplow_ratio,internal,height,2.789294605565827,False
HTN,clinic4_nama_uplow_ratio,internal,weight,1.8210185028512589,False
HTN,clinic4_nama_uplow_ratio,internal,NAMA_uplow_ratio,1.4694745001029916,True
HTN,clinic4_nama_uplow_ratio,external,sex_M,2.642156449248422,False
HTN,clinic4_nama_uplow_ratio,external,age,1.2835183224972542,False
HTN,clinic4_nama_uplow_ratio,external,height,2.975408540431334,False
