feature,cohort,baseline_model,extended_model,auc_baseline,auc_extended,auc_diff,z,p_value,q_value_bh
HTN,internal,clinic4,clinic4_bmi,0.7958190148911798,0.7958397877606253,2.0772869445462305e-05,0.10233522367114571,0.9184905976123536,0.9689571139646808
HTN,external,clinic4,clinic4_bmi,0.7179839391377852,0.7180575834421988,7.364430441358927e-05,0.31623711517602465,0.7518225383131023,0.8019440408673091
HTN,internal,clinic4,clinic4_smi,0.7958190148911798,0.7955148407314424,-0.0003041741597373804,-0.8326943846746477,0.4050171122591456,0.6590108945233556
HTN,external,clinic4,clinic4_smi,0.7179839391377852,0.7179391121698814,-4.482696790386598e-05,-0.49552237533156734,0.6202314316188348,0.7088359218500968
HTN,internal,clinic4,clinic4_vat,0.7958190148911798,0.811610846998914,0.01579183210773416,2.77640930671064,0.0054962966820614224,0.1394832169199507
HTN,external,clinic4,clinic4_vat,0.7179839391377852,0.7307147980224903,0.012730858884705043,1.7900343637231224,0.0734483872477293,0.14096347690228875
HTN,internal,clinic4,clinic4_sat,0.7958190148911798,0.8010107484761616,0.005191733584981817,1.455032187955657,0.1456603506890962,0.33293794443221986
HTN,external,clinic4,clinic4_sat,0.7179839391377852,0.7186371320986705,0.0006531929608852849,0.15422621527484578,0.877431372672435,0.8961001252824868
HTN,internal,clinic4,clinic4_imata,0.7958190148911798,0.8039367555151969,0.008117740624017156,2.011923602918948,0.044227990902163075,0.16983548506430624
HTN,external,clinic4,clinic4_imata,0.7179839391377852,0.7311406542175772,0.013156715079791992,2.4536958212748523,0.014139653022895667,0.056558612091582666
HTN,internal,clinic4,clinic4_nama,0.7958190148911798,0.7984527179815893,0.002633703090409556,1.286694245044104,0.19820087975690392,0.40483583950346336
HTN,external,clinic4,clinic4_nama,0.7179839391377852,0.7181056123363815,0.00012167319859623937,0.042832207069220925,0.9658352900115087,0.9658352900115087
HTN,internal,clinic4,clinic4_lama,0.7958190148911798,0.8042097703707661,0.008390755479586343,2.0661043522567755,0.03881862738355542,0.16983548506430624
HTN,external,clinic4,clinic4_lama,0.7179839391377852,0.735463254694024,0.017479315556238717,3.030306681049931,0.00244305529375702,0.01954444235005616
HTN,internal,clinic4,clinic4_tama,0.7958190148911798,0.7954762625453294,-0.0003427523458503501,-0.6860670605406535,0.49267082124633044,0.7276369052253495
HTN,external,clinic4,clinic4_tama,0.7179839391377852,0.7182336893875355,0.00024975024975026905,0.6602675737738912,0.5090821350279027,0.6033566044775143
HTN,internal,clinic4,clinic4_vat_sat_ratio,0.7958190148911798,0.8006991554344794,0.00488014054329966,1.5454077574732157,0.1222476650973636,0.3009173294704334
HTN,external,clinic4,clinic4_vat_sat_ratio,0.7179839391377852,0.7351462639924179,0.01716232485463265,3.6793427163289554,0.00023383585235107324,0.004719382448001739
HTN,internal,clinic4,clinic4_lama_tama_ratio,0.7958190148911798,0.8069755295597932,0.011156514668613449,2.365057167902492,0.018027287954166974,0.14807573760812226
HTN,external,clinic4,clinic4_lama_tama_ratio,0.7179839391377852,0.7361868900330438,0.018202950895258585,2.454547301764215,0.0141062104720588,0.056558612091582666
HTN,internal,clinic4,clinic4_imata_tama_ratio,0.7958190148911798,0.8068330870264527,0.011014072135272945,2.37348982869886,0.017620878362700935,0.14807573760812226
HTN,external,clinic4,clinic4_imata_tama_ratio,0.7179839391377852,0.7307308076538847,0.012746868516099408,2.4167837453969163,0.015658316823021344,0.057815323654232656
HTN,internal,clinic4,clinic4_aec_fpca_elbow,0.7958190148911798,0.8061268094653063,0.01030779457412656,2.1711115536693386,0.029922740892985963,0.16983548506430624
HTN,external,clinic4,clinic4_aec_fpca_elbow,0.7179839391377852,0.7302024898178744,0.012218550680089146,2.160968841485068,0.03069774638671782,0.08667598979779148
HTN,internal,clinic4,clinic4_aec_uplow_ratio,0.7958190148911798,0.8010582293206084,0.005239214429428651,1.382520716965577,0.1668118738709904,0.372417206781746
HTN,external,clinic4,clinic4_aec_uplow_ratio,0.7179839391377852,0.7279099106022183,0.009925971464433081,1.7595522877275434,0.07848374732289536,0.14489307198072987
HTN,internal,clinic4,clinic4_vat_fpca_elbow,0.7958190148911798,0.8122785463739474,0.016459531482767575,2.9103032457837568,0.003610782314271768,0.1394832169199507
HTN,external,clinic4,clinic4_vat_fpca_elbow,0.7179839391377852,0.7316177412331258,0.013633802095340597,1.9351290011118485,0.052974467495546615,0.11558065635391988
HTN,internal,clinic4,clinic4_vat_uplow_ratio,0.7958190148911798,0.8014558813928506,0.005636866501670834,1.8296719138007305,0.0672990131266757,0.21535684200536226
HTN,external,clinic4,clinic4_vat_uplow_ratio,0.7179839391377852,0.7314064140987219,0.013422474960936626,3.213844681367321,0.0013097049809174185,0.01397018646311913
HTN,internal,clinic4,clinic4_sat_fpca_elbow,0.7958190148911798,0.7990788716177318,0.003259856726552046,0.9178398007142976,0.35870274179533135,0.5937148829715828
HTN,external,clinic4,clinic4_sat_fpca_elbow,0.7179839391377852,0.7188484592330747,0.0008645200952894783,0.1915709872284876,0.8480782703905632,0.8885314808901216
HTN,internal,clinic4,clinic4_sat_uplow_ratio,0.7958190148911798,0.795529678495332,-0.0002893363958478279,-0.12475113586632924,0.9007205730082883,0.9653291774224262
HTN,external,clinic4,clinic4_sat_uplow_ratio,0.7179839391377852,0.7218902891979816,0.003906350060196351,1.4231961737377634,0.15467929450213996,0.23201894175320995
HTN,internal,clinic4,clinic4_imata_fpca_elbow,0.7958190148911798,0.8070408157209076,0.01122180082972779,2.43071814783123,0.015068931708633148,0.14807573760812226
HTN,external,clinic4,clinic4_imata_fpca_elbow,0.7179839391377852,0.7308108558108558,0.012826916673070565,2.1174342911427337,0.03422300648966422,0.09386881780022185
HTN,internal,clinic4,clinic4_imata_uplow_ratio,0.7958190148911798,0.7954258141481046,-0.0003932007430751394,-0.357782882750365,0.7205058013663063,0.8982929471579921
HTN,external,clinic4,clinic4_imata_uplow_ratio,0.7179839391377852,0.7147884167114936,-0.0031955224262916193,-1.8591099402470115,0.06301155659289782,0.12602311318579565
HTN,internal,clinic4,clinic4_nama_fpca_elbow,0.7958190148911798,0.8083406038376392,0.012521588946459383,2.7776638830826355,0.005475122212177539,0.1394832169199507
HTN,external,clinic4,clinic4_nama_fpca_elbow,0.7179839391377852,0.7227227900304823,0.0047388508926971,0.7805156505244037,0.43508741912925064,0.5495841083737902
HTN,internal,clinic4,clinic4_nama_uplow_ratio,0.7958190148911798,0.7955830944453347,-0.00023592044584508365,-0.746246108464506,0.45551875959084487,0.6960151954509218
HTN,external,clinic4,clinic4_nama_uplow_ratio,0.7179839391377852,0.7186659494351803,0.0006820102973950082,2.5072507428230524,0.012167436393587335,0.054936875680194674
HTN,internal,clinic4,clinic4_lama_fpca_elbow,0.7958190148911798,0.8021176456623281,0.006298630771148339,1.6088944289491358,0.10763942787675693,0.2743362283510827
HTN,external,clinic4,clinic4_lama_fpca_elbow,0.7179839391377852,0.732315761161915,0.014331822024129748,2.495169411262294,0.01258970067671128,0.054936875680194674
HTN,internal,clinic4,clinic4_lama_uplow_ratio,0.7958190148911798,0.7960579028898028,0.00023888799862303856,0.1661315658621273,0.8680534133516906,0.958305072109275
HTN,external,clinic4,clinic4_lama_uplow_ratio,0.7179839391377852,0.7205550859397013,0.0025711468019160577,1.4472442860965131,0.1478285170953063,0.22526250224046676
HTN,internal,clinic4,clinic4_tama_fpca_elbow,0.7958190148911798,0.801482589367852,0.005663574476672206,1.714544419046479,0.08642878653516196,0.23706181449644426
HTN,external,clinic4,clinic4_tama_fpca_elbow,0.7179839391377852,0.7185026511949589,0.000518712057173687,0.131815271298192,0.8951304072051152,0.9045528325441164
HTN,internal,clinic4,clinic4_tama_uplow_ratio,0.7958190148911798,0.7958056609036791,-1.335398750068606e-05,-0.029065762131519936,0.976812142115248,0.9883825712110031
HTN,external,clinic4,clinic4_tama_uplow_ratio,0.7179839391377852,0.7169337073183227,-0.0010502318194625104,-2.1015989047561168,0.03558842589193944,0.09490246904517183
HTN,internal,clinic4,clinic4_aec_slope,0.7958190148911798,0.7999394619233303,0.0041204470321505315,1.1487505528977837,0.2506588539802407,0.4627548073481366
HTN,external,clinic4,clinic4_aec_slope,0.7179839391377852,0.7251626578549656,0.0071787187171803435,1.741302878355754,0.0816305019437863,0.147859022388745
HTN,internal,clinic4,clinic4_vat_slope,0.7958190148911798,0.8061772578625311,0.01035824297135135,2.4696890596808734,0.013523053926791179,0.14807573760812226
HTN,external,clinic4,clinic4_vat_slope,0.7179839391377852,0.7326487614949154,0.01466482235713018,2.515538892745387,0.01188505632473565,0.054936875680194674
HTN,internal,clinic4,clinic4_sat_slope,0.7958190148911798,0.7926570874062996,-0.0031619274848802004,-1.800365869517984,0.07180288633319433,0.215408658999583
HTN,external,clinic4,clinic4_sat_slope,0.7179839391377852,0.7202861241322779,0.00230218499449264,1.5687021521988773,0.11671735689283141,0.18991298748664096
HTN,internal,clinic4,clinic4_imata_slope,0.7958190148911798,0.797455620248206,0.001636605357026255,0.7841044029233843,0.4329788521265676,0.6814093410516474
HTN,external,clinic4,clinic4_imata_slope,0.7179839391377852,0.7254252158098312,0.007441276672045971,3.621858125224972,0.0002924945300007957,0.004719382448001739
HTN,internal,clinic4,clinic4_nama_slope,0.7958190148911798,0.8055718770958341,0.009752862204654322,2.6229306691690053,0.008717701057496918,0.1394832169199507
HTN,external,clinic4,clinic4_nama_slope,0.7179839391377852,0.7142376853915317,-0.0037462537462535916,-0.6821662548119807,0.4951338299140621,0.5983839690940345
HTN,internal,clinic4,clinic4_lama_slope,0.7958190148911798,0.8016932856150846,0.005874270723904784,1.6628975246668174,0.09633294998379087,0.2568878666234423
HTN,external,clinic4,clinic4_lama_slope,0.7179839391377852,0.7293283639437486,0.011344424805963316,2.0703315006554144,0.03842131163571416,0.09648156126921915
HTN,internal,clinic4,clinic4_tama_slope,0.7958190148911798,0.7993073731816321,0.0034883582904523536,1.7256336249373763,0.08441334609072901,0.23706181449644426
HTN,external,clinic4,clinic4_tama_slope,0.7179839391377852,0.7112855093624325,-0.006698429775352732,-2.0400108317698495,0.04134924689788188,0.09648156126921915
DM,internal,clinic4,clinic4_bmi,0.7144186766391419,0.7145567184532624,0.0001380418141204709,0.3103124952524052,0.756323330008468,0.9155253356591743
DM,external,clinic4,clinic4_bmi,0.665959542389575,0.6663535116296689,0.00039396924009393874,0.9651552114143112,0.33446707648745644,0.44595610198327523
DM,internal,clinic4,clinic4_smi,0.7144186766391419,0.7150105832057492,0.0005919065666072365,0.16560987994028833,0.8684639715990304,0.958305072109275
DM,external,clinic4,clinic4_smi,0.665959542389575,0.6715432987347527,0.005583756345177715,1.4987939154571313,0.1339271035748915,0.21077052365884563
DM,internal,clinic4,clinic4_vat,0.7144186766391419,0.7225777844707142,0.008159107831572254,1.334949250875007,0.18189295677398742,0.3880383077845065
DM,external,clinic4,clinic4_vat,0.665959542389575,0.6759072657019471,0.009947723312372148,1.3974959119515658,0.16226449513706354,0.23602108383572878
DM,internal,clinic4,clinic4_sat,0.7144186766391419,0.7182482912096646,0.003829614570522666,1.2334256277941822,0.2174170084038467,0.4348340168076934
DM,external,clinic4,clinic4_sat,0.665959542389575,0.6636563376013335,-0.0023032047882415307,-0.6766101970911674,0.498653307578362,0.5983839690940345
DM,internal,clinic4,clinic4_imata,0.7144186766391419,0.7237364990922704,0.00931782245312851,2.084475061090232,0.03711697639831983,0.16983548506430624
DM,external,clinic4,clinic4_imata,0.665959542389575,0.6761042503219942,0.010144707932419172,2.0367706106419448,0.04167303474783012,0.09648156126921915
DM,internal,clinic4,clinic4_nama,0.7144186766391419,0.7114256791238946,-0.0029929975152472865,-2.6354555986029884,0.00840244180675297,0.1394832169199507
DM,external,clinic4,clinic4_nama,0.665959542389575,0.6658913554057125,-6.818698386246158e-05,-0.807662206699058,0.41928506563166346,0.5439373824410769
DM,internal,clinic4,clinic4_lama,0.7144186766391419,0.7256732675752328,0.011254590936090825,1.8078596125610777,0.07062835295532902,0.215408658999583
DM,external,clinic4,clinic4_lama,0.665959542389575,0.6821274338965073,0.01616789150693232,2.22045003250091,0.026388233977660776,0.07923803522890327
DM,internal,clinic4,clinic4_tama,0.7144186766391419,0.7154288917333869,0.0010102150942449262,0.28913966371791533,0.7724745019624282,0.9155253356591743
DM,external,clinic4,clinic4_tama,0.665959542389575,0.6717705886809607,0.005811046291385735,1.5845929132061805,0.11305885614951457,0.18713189983367928
DM,internal,clinic4,clinic4_vat_sat_ratio,0.7144186766391419,0.7210133105773494,0.006594633938207473,1.199802683775047,0.23021598163470713,0.4412248187080698
DM,external,clinic4,clinic4_vat_sat_ratio,0.665959542389575,0.6772066065611031,0.011247064171528098,1.5952616364161374,0.11065374066671721,0.18636419480710267
DM,internal,clinic4,clinic4_lama_tama_ratio,0.7144186766391419,0.7206410159877519,0.00622233934860994,1.2035872697097534,0.22874914227828969,0.4412248187080698
DM,external,clinic4,clinic4_lama_tama_ratio,0.665959542389575,0.6744374573831351,0.008477914993560098,1.3034982673150108,0.19240470753487848,0.2676935061354831
DM,internal,clinic4,clinic4_imata_tama_ratio,0.7144186766391419,0.7155585673769546,0.001139890737812621,0.6578465581018007,0.510636733900271,0.7366055476831356
DM,external,clinic4,clinic4_imata_tama_ratio,0.665959542389575,0.6692590347753617,0.003299492385786751,2.006982624267915,0.044751513150047884,0.09991035493964179
DM,internal,clinic4,clinic4_aec_fpca_elbow,0.7144186766391419,0.7331609902199466,0.018742313580804693,2.3552656675179873,0.018509467201015282,0.14807573760812226
DM,external,clinic4,clinic4_aec_fpca_elbow,0.665959542389575,0.6813394954163194,0.015379953026744442,1.7811567489956763,0.0748868471043409,0.14096347690228875
DM,internal,clinic4,clinic4_aec_uplow_ratio,0.7144186766391419,0.7302370136117595,0.015818336972617586,2.3691845096136666,0.017827357373964434,0.14807573760812226
DM,external,clinic4,clinic4_aec_uplow_ratio,0.665959542389575,0.6783544207894537,0.01239487839987874,1.3525668535502882,0.17619404768067148,0.24874453790212445
DM,internal,clinic4,clinic4_vat_fpca_elbow,0.7144186766391419,0.7167674790218274,0.002348802382685422,0.43289244673737204,0.6650929076010674,0.8628232314824659
DM,external,clinic4,clinic4_vat_fpca_elbow,0.665959542389575,0.6693385862565346,0.003379043866959641,0.5685831960831199,0.5696390312052086,0.6588596023578317
DM,internal,clinic4,clinic4_vat_uplow_ratio,0.7144186766391419,0.7144960637167549,7.738707761295593e-05,0.02746742712654438,0.9780869194275552,0.9883825712110031
DM,external,clinic4,clinic4_vat_uplow_ratio,0.665959542389575,0.6766308053640427,0.010671262974467743,3.5593301251748075,0.00037180193425960387,0.004896246712994189
DM,internal,clinic4,clinic4_sat_fpca_elbow,0.7144186766391419,0.7248533828610629,0.010434706221920997,1.8695740117291215,0.0615429969776505,0.21535684200536226
DM,external,clinic4,clinic4_sat_fpca_elbow,0.665959542389575,0.6710546253504054,0.005095082960830388,1.0114087671052736,0.3118208267980713,0.4216168925720401
DM,internal,clinic4,clinic4_sat_uplow_ratio,0.7144186766391419,0.7180265876900166,0.003607911050874657,1.1084861059936288,0.2676519363041401,0.47582566454069347
DM,external,clinic4,clinic4_sat_uplow_ratio,0.665959542389575,0.6683763921509206,0.0024168497613455964,0.7305856969763138,0.4650322510466668,0.5797804688374028
DM,internal,clinic4,clinic4_imata_fpca_elbow,0.7144186766391419,0.729877268277991,0.015458591638849106,2.035688068848791,0.0417816879203897,0.16983548506430624
DM,external,clinic4,clinic4_imata_fpca_elbow,0.665959542389575,0.6836275475414805,0.017668005151905475,2.3440124731193945,0.019077533385705742,0.06540868589384827
DM,internal,clinic4,clinic4_imata_uplow_ratio,0.7144186766391419,0.711597185620226,-0.0028214910189159337,-1.76489223281714,0.07758187933847428,0.2256927398937434
DM,external,clinic4,clinic4_imata_uplow_ratio,0.665959542389575,0.6670391696340632,0.0010796272444881794,2.8986785211588977,0.0037473890713494665,0.02421511379268385
