figure,comparison,curve_type,group_col,groups,test,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value,n_matched_pairs,significant_p<0.05
16_aec_curve_tp_vs_tn.png,Stage-1 TP vs TN,p,group,TP (true low-SMI) (n=117); TN (true negative) (n=514),whole-curve RMSD permutation,0.5696688547201437,66,-0.7076995742813799,TP (true low-SMI) < TN (true negative),2000,0.0004997501249375312,,True
16_aec_curve_tp_vs_tn_dp.png,Stage-1 TP vs TN (dp),dp,group,TP (true low-SMI) (n=117); TN (true negative) (n=514),whole-curve RMSD permutation,0.007151200125359701,128,-0.0299281405937716,TP (true low-SMI) < TN (true negative),2000,0.0004997501249375312,,True
16_aec_curve_tp_vs_tn_d2p.png,Stage-1 TP vs TN (d2p),d2p,group,TP (true low-SMI) (n=117); TN (true negative) (n=514),whole-curve RMSD permutation,0.0018459611857047798,55,0.005439288163853447,TP (true low-SMI) > TN (true negative),2000,0.006496751624187906,,True
17_aec_curve_fp_vs_tn.png,Stage-1 FP vs TN,p,group,FP (false positive) (n=447); TN (true negative) (n=514),whole-curve RMSD permutation,0.46690851961761726,63,-0.5960985033676954,FP (false positive) < TN (true negative),2000,0.0004997501249375312,,True
17_aec_curve_fp_vs_tn_dp.png,Stage-1 FP vs TN (dp),dp,group,FP (false positive) (n=447); TN (true negative) (n=514),whole-curve RMSD permutation,0.006655918435669121,128,-0.02189422368333721,FP (false positive) < TN (true negative),2000,0.0004997501249375312,,True
17_aec_curve_fp_vs_tn_d2p.png,Stage-1 FP vs TN (d2p),d2p,group,FP (false positive) (n=447); TN (true negative) (n=514),whole-curve RMSD permutation,0.0012527504657302469,121,-0.004877573739795924,FP (false positive) < TN (true negative),2000,0.0029985007496251873,,True
18_aec_curve_tp_vs_fp.png,Stage-1 TP vs FP,p,group,TP (true low-SMI) (n=117); FP (false positive) (n=447),whole-curve RMSD permutation,0.111821741396737,45,-0.15574389347055004,TP (true low-SMI) < FP (false positive),2000,0.26436781609195403,,False
18_aec_curve_tp_vs_fp_dp.png,Stage-1 TP vs FP (dp),dp,group,TP (true low-SMI) (n=117); FP (false positive) (n=447),whole-curve RMSD permutation,0.003579408142830089,122,0.011559165225222571,TP (true low-SMI) > FP (false positive),2000,0.3238380809595202,,False
18_aec_curve_tp_vs_fp_d2p.png,Stage-1 TP vs FP (d2p),d2p,group,TP (true low-SMI) (n=117); FP (false positive) (n=447),whole-curve RMSD permutation,0.0015574146043059775,108,-0.004682514660543962,TP (true low-SMI) < FP (false positive),2000,0.36731634182908546,,False
19_aec_curve_tp_vs_fp_matched.png,Stage-1 TP vs FP (propensity-matched),p,group,TP (true low-SMI) (n=97); FP (false positive) (n=97),whole-curve RMSD permutation,0.01867361718539368,105,-0.05088355487512733,TP (true low-SMI) < FP (false positive),2000,0.999000499750125,97.0,False
19_aec_curve_tp_vs_fp_matched_dp.png,Stage-1 TP vs FP (propensity-matched) (dp),dp,group,TP (true low-SMI) (n=97); FP (false positive) (n=97),whole-curve RMSD permutation,0.0029785473075537756,56,0.00829440599075486,TP (true low-SMI) > FP (false positive),2000,0.9855072463768116,97.0,False
19_aec_curve_tp_vs_fp_matched_d2p.png,Stage-1 TP vs FP (propensity-matched) (d2p),d2p,group,TP (true low-SMI) (n=97); FP (false positive) (n=97),whole-curve RMSD permutation,0.0020128299773363545,105,0.006217478842419501,TP (true low-SMI) > FP (false positive),2000,0.496751624187906,97.0,False
