feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,inception,internal,1259,385,0.799093583761776,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,inception,external,1123,507,0.7292675273444504,0.7002318858216282,0.7604597388390796
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,inception,internal,1259,232,0.7246877413289461,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,inception,external,1123,335,0.6688082430487159,0.6352206086371871,0.7027317740607032
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,inception,internal,1259,105,0.7763307749442931,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,inception,external,1123,188,0.6216520650813517,0.5746522166916932,0.6663129820022282
