branch_channels,n_blocks,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
8,1,16,HTN,0.7932687449849922,-0.0020357217153554874
8,1,32,HTN,0.7920651430948914,-0.0032393236054563124
8,2,16,HTN,0.789452881214895,-0.005851585485452726
8,2,32,HTN,0.792849713215846,-0.0024547534845017482
16,1,16,HTN,0.7856281018752415,-0.009676364825106254
16,1,32,HTN,0.792210764064311,-0.0030937026360366993
16,2,16,HTN,0.7899283782578976,-0.005376088442450078
16,2,32,HTN,0.7738952123391482,-0.02140925436119956
8,1,16,DM,0.7224129536984185,0.0038507705738173303
8,1,32,DM,0.7287462646476177,0.01018408152301653
8,2,16,DM,0.7074295739180069,-0.011132609206594313
8,2,32,DM,0.7277263875365141,0.009164204411912902
16,1,16,DM,0.7192190175603532,0.0006568344357520406
16,1,32,DM,0.7180522445690495,-0.0005099385555517033
16,2,16,DM,0.7221821173152471,0.0036199341906458793
16,2,32,DM,0.7183838095557868,-0.0001783735688143384
8,1,16,CKD,0.730073450524057,-0.03600726252372699
8,1,32,CKD,0.7382933069241562,-0.027787406123627845
8,2,16,CKD,0.740108937855905,-0.025971775191878987
8,2,32,CKD,0.7626805314846908,-0.0034001815630931853
16,1,16,CKD,0.7405628455888421,-0.025517867458941912
16,1,32,CKD,0.7742923165800115,0.008211603532227496
16,2,16,CKD,0.7545019394239499,-0.011578773623834082
16,2,32,CKD,0.724403730296278,-0.041676982751506
