,IMATA_sum_cm2,NAMA_sum_cm2,LAMA_sum_cm2,내장지방_sum_cm2,피하지방_sum_cm2,총근육량,총지방량
IMATA_sum_cm2,1.0,-0.015821626276985558,0.786288611760782,0.7143834956387861,0.5238159480877976,0.3716524751962976,0.7252048534080183
NAMA_sum_cm2,-0.015821626276985558,1.0,0.21751778669077748,0.3183724500490304,-0.010537053956077454,0.898203903325785,0.1700500275892436
LAMA_sum_cm2,0.786288611760782,0.21751778669077748,1.0,0.7261041199679578,0.3380322847928206,0.6208814683357915,0.6150936064611416
내장지방_sum_cm2,0.7143834956387861,0.3183724500490304,0.7261041199679578,1.0,0.4279168971417061,0.5961364610428784,0.8234976149624843
피하지방_sum_cm2,0.5238159480877976,-0.010537053956077454,0.3380322847928206,0.4279168971417061,1.0,0.1657319845629818,0.8651423773131623
총근육량,0.3716524751962976,0.898203903325785,0.6208814683357915,0.5961364610428784,0.1657319845629818,1.0,0.4348232988228185
총지방량,0.7252048534080183,0.1700500275892436,0.6150936064611416,0.8234976149624843,0.8651423773131623,0.4348232988228185,1.0
