feature,n_TP,n_FP,TP_mean,TP_sd,FP_mean,FP_sd,diff_TP_minus_FP,ci95_lower,ci95_upper,t,p,p_mwu,cohens_d,d_ci95_lower,d_ci95_upper,corr_with_TAMA,p_adj_weight_height_age_sex,p_adj_mwu,OR_adj_per_1SD,OR_adj_ci95_lower,OR_adj_ci95_upper,OR_adj_p,p_fdr,p_adj_fdr,OR_adj_p_fdr
IMATA_sum_cm2,117,447,1080.0837606837604,549.9581599770936,1074.2703579418344,484.4280765344316,5.813402741925984,-103.49182416704222,115.11862965089419,0.10424267618660474,0.9171025187008094,0.6177948254559285,0.01165805728723115,-0.20407618785810902,0.22848446806947081,0.18177744160789572,0.3229152272791038,0.1909863841300924,1.1496369282799566,0.889508550667299,1.4858373940008518,0.2866862163464816,0.9171025187008094,0.37673443182562116,0.3344672524042286
NAMA_sum_cm2,117,447,12865.35128205128,3818.394630661294,15290.690827740491,4222.123446377717,-2425.3395456892104,-3220.2796046026774,-1630.3994867757433,-5.979904341527605,1.0341196802801376e-08,7.378629202529681e-08,-0.5855457071236922,-0.7803721052258679,-0.39656476006283625,0.8019945939512484,1.708206482398121e-12,2.461882212871402e-16,0.11961704254968815,0.07081751337400137,0.2020437627168475,2.0242738318249387e-15,7.238837761960963e-08,1.1957445376786849e-11,1.4169916822774572e-14
LAMA_sum_cm2,117,447,3715.3950427350437,1768.8118990185744,3996.077516778523,1935.8241771318062,-280.6824740434795,-648.0163161102305,86.65136802327152,-1.4976503281863427,0.13583986542821677,0.09299055689867367,-0.14752938387689474,-0.32992660105175636,0.04887757850131277,0.4509612913219355,0.4562605878572612,0.6740511731464058,0.8684092999003167,0.6276032777962374,1.2016105377929551,0.39447152593076373,0.19017581159950347,0.4562605878572612,0.39447152593076373
내장지방_sum_cm2,117,447,7656.713162393162,5721.753531146641,7845.575637583892,5186.579331463691,-188.86247519073004,-1331.7227471000076,953.9977967185475,-0.32389825814438294,0.7464150226215361,0.3685567012267943,-0.035624555991050154,-0.24693324823817256,0.18075756576821325,0.4449787499420722,0.11925467573222676,0.05874105401233735,1.308793284760497,0.970660742360608,1.7647152990532722,0.07761047607344511,0.8708175263917922,0.17691454767752596,0.13581833312852895
피하지방_sum_cm2,117,447,14390.415128205128,6378.2475229768,16366.709686800896,5825.252548678209,-1976.2945585957677,-3251.987743104554,-700.6013740869817,-3.03641767619793,0.0027711110353666464,0.010393941333050539,-0.33250748491496823,-0.5519128427729142,-0.11586173299685332,-0.047436602646766315,0.12636753405537568,0.01781941505946656,1.2394987714388679,0.9457705908286107,1.6244501777671325,0.11971996071088899,0.006465925749188842,0.17691454767752596,0.1676079449952446
총근육량,117,447,17660.830085470086,4584.622283273031,20361.038702460854,5195.842580839395,-2700.208616990767,-3660.4946407940524,-1739.9225931874817,-5.511283886378893,1.0830905129080571e-07,1.9818383627872814e-06,-0.5319858586390421,-0.7160513230366646,-0.35021211958187315,0.8406270239646783,2.026803758762418e-11,1.5193131246007463e-15,0.10817282309732025,0.05911492067498543,0.19794257563464157,5.429689508689735e-13,3.7908167951782e-07,7.093813155668463e-11,1.9003913280414075e-12
총지방량,117,447,22047.12829059829,10678.77251444815,24212.285324384786,9187.40870525993,-2165.157033786494,-4279.325287865038,-50.98877970794956,-2.007270603006542,0.046366294061063934,0.040418861010977164,-0.22756632646472458,-0.4520607546000077,-0.0045423160558293,0.16969031755762704,0.08321330546103331,0.01954671084265814,1.282405975258965,0.9823501885136936,1.6741128617974224,0.06739123888453324,0.08114101460686189,0.17691454767752596,0.13581833312852895
