cohort,group,n,low_smi_n,low_smi_rate,male_pct,PatientAge_mean,PatientAge_sd,Height_mean,Height_sd,Weight_mean,Weight_sd,BMI_mean,BMI_sd,TAMA_mean,TAMA_sd,IMATA_mean,IMATA_sd,SMI_mean,SMI_sd,IMATA_fraction_mean,IMATA_fraction_sd,TAMA_per_weight_mean,TAMA_per_weight_sd,IMATA_per_weight_mean,IMATA_per_weight_sd,log_TAMA_to_IMATA_mean,log_TAMA_to_IMATA_sd,clinical_score_mean,clinical_score_sd,aec_score_mean,aec_score_sd
g1090_internal,C+A+,201,75,0.373134328358209,0.6965174129353234,59.353233830845774,12.777308088562698,168.3900497512438,6.494035763491947,58.042338308457715,9.791199313923455,20.33990049751244,2.3105787132339275,123.28358208955224,28.823673934883416,8.069651741293532,3.5756292282770947,40.337263681592034,8.503746467006431,0.06314269432737377,0.02868227968958038,2.120618104254834,0.3461720110059329,0.14054227134025454,0.06148033484741048,2.7962847023139004,0.49056473199873674,-0.490608493687133,0.7933023293726009,1.3531305003944354,0.21840145437128636
g1090_internal,C+A-,17,4,0.23529411764705882,0.5882352941176471,58.64705882352941,13.453350774391618,167.75882352941176,6.240198196324518,62.11764705882353,9.540717694054628,21.953529411764706,2.13032844057105,127.88235294117646,33.03952623930384,9.058823529411764,2.8167043738049196,41.813529411764705,9.58808501551305,0.06897089224324955,0.02285037113985968,2.0404817822219776,0.3133124669024296,0.14763682436809497,0.045116383866995194,2.666913771018089,0.423386693759603,-1.4104366410801603,0.055564208102103774,0.6481992826100732,0.14081643478011843
g1090_internal,C-A+,17,5,0.29411764705882354,0.23529411764705882,57.35294117647059,17.695130603045108,161.2058823529412,7.806605423312625,56.25882352941177,9.163177589101489,21.52,1.945391991347759,107.17647058823529,20.424358295053135,8.470588235294118,6.114712248532464,37.72235294117647,6.394900829383288,0.07363545214941462,0.04524739508763413,1.9117172422499247,0.2472363058273187,0.15539508054574572,0.11533463143082255,2.676382708684998,0.5938799010841712,-2.07255989856184,0.5240684168036531,1.023462907638342,0.18752934393173204
g1090_internal,C-A-,855,45,0.05263157894736842,0.2760233918128655,56.37543859649123,11.915612935483049,160.6429239766082,7.879409823628083,62.940538011695914,10.59738998138053,24.272479532163743,2.820816427939069,119.81637426900585,28.764613855532378,9.52280701754386,4.045309143844452,42.3086432748538,8.292474341825526,0.07543874861672828,0.0305561723072105,1.9002843939571026,0.2786021191892498,0.15344984339181625,0.06477073039887675,2.5856778428389764,0.44124301132645627,-3.296700033180493,1.1647596331179113,-0.9701330498696901,0.7888767665264451
sdata_external,C+A+,252,94,0.373015873015873,0.7777777777777778,61.83730158730159,12.676849270642728,168.22103174603177,6.8260102886781215,58.617063492063494,9.882964825041345,20.57646825396825,2.2958649445491535,125.72619047619048,27.796507787681996,8.916666666666666,5.161630583341321,41.04289682539683,8.598139469207398,0.0676775379183921,0.03680699705617338,2.1488377260727933,0.3482939561106336,0.15375965356035504,0.08597058848660027,2.7600869635398624,0.5704450411080956,-0.5063064426311509,0.7626565311530501,1.3604975168515385,0.2220166791311999
sdata_external,C+A-,9,4,0.4444444444444444,0.6666666666666666,65.77777777777777,10.721214690716927,165.02222222222224,6.911001696168539,60.775555555555556,11.203431517967065,22.11777777777778,2.456464826624726,120.66666666666667,28.718460961548757,10.333333333333334,3.464101615137755,40.20222222222222,9.471613877499676,0.08306026026267833,0.03596934759976176,1.9996799604001976,0.4275253277185043,0.17294222807841042,0.05408096441416126,2.4758589774641653,0.4408707078600688,-1.4490873112031386,0.04077045762735493,0.6677385277611416,0.14774361842787428
sdata_external,C-A+,14,3,0.21428571428571427,0.5,56.57142857142857,14.893025139379771,162.20714285714283,6.250964760703777,56.25714285714286,8.564031606821484,21.267142857142858,2.0294918976525533,117.14285714285714,24.834396564991323,8.857142857142858,3.084879822048748,40.89071428571429,6.921033120174289,0.07075675453742834,0.02071951883161395,2.0819342400155834,0.2873332155253319,0.1586916947596888,0.05320038102757622,2.6180867108846195,0.3349097508635342,-1.7006347404668154,0.17607487100107286,0.9315275630297999,0.09737108925139093
sdata_external,C-A-,651,40,0.06144393241167435,0.33640552995391704,58.565284178187405,12.605369760690635,160.28709677419357,8.276436581125333,63.202165898617515,11.675326346687962,24.453778801843317,3.1465184922013933,122.25499231950845,31.192249315272132,11.012307692307692,5.088720046136657,42.76009216589862,8.839631700861581,0.08441138015516622,0.03603584109340426,1.9299482193558486,0.29132017172189284,0.17649374679347593,0.0793374246740173,2.4736383077773287,0.4733897949092247,-3.275902695553122,1.2634836461612533,-0.7437419847555471,0.9097416259443357
g1090_internal,C+A+,242,82,0.33884297520661155,0.6528925619834711,58.79338842975206,12.766604097102242,167.9595041322314,6.716068284128616,58.25603305785123,9.885744754104316,20.51731404958678,2.3032633840523564,122.86776859504133,28.779442336922337,8.057851239669422,3.4443953408523815,40.38578512396695,8.425819807147336,0.06337416435745535,0.027852338700704814,2.105258598537276,0.3349634247249658,0.14009906953643145,0.059499861658809064,2.788311434970673,0.48143476201666235,-0.6668765202153009,0.8231046819173086,1.247822795231704,0.31648898236716855
g1090_internal,C+A-,31,4,0.12903225806451613,0.6451612903225806,58.12903225806452,12.97880820282014,167.18387096774197,6.034572438551801,63.03225806451613,10.136909032401483,22.40967741935484,2.274017713022435,132.2258064516129,25.679706225499483,9.129032258064516,3.913582633886509,43.798387096774206,7.0188579777502245,0.0643729957539449,0.02212389116213805,2.0970750040686963,0.22840041617362036,0.14434170120190515,0.05271947210847361,2.7372027914386967,0.39397039214414303,-1.6452087785410092,0.08539873697738651,0.11111501670066547,0.297480961598436
g1090_internal,C-A+,31,7,0.22580645161290322,0.22580645161290322,55.774193548387096,18.304297632740706,159.3451612903226,7.116873785105246,55.41290322580646,8.828202608137321,21.70032258064516,2.0469839339395053,104.09677419354838,27.083026466417024,9.32258064516129,6.373837654946423,37.20032258064517,9.708859350741111,0.08297261533906407,0.04763059269976119,1.8916494704199867,0.43076267523415795,0.1727394149377487,0.12215429067047147,2.5220928205867787,0.5314252390296825,-2.37460969376191,0.39359724383456884,0.7212996237337017,0.2265195479033515
