cohort,group,n,low_smi_n,low_smi_rate,male_pct,PatientAge_mean,PatientAge_sd,Height_mean,Height_sd,Weight_mean,Weight_sd,BMI_mean,BMI_sd,TAMA_mean,TAMA_sd,IMATA_mean,IMATA_sd,SMI_mean,SMI_sd,IMATA_fraction_mean,IMATA_fraction_sd,TAMA_per_weight_mean,TAMA_per_weight_sd,IMATA_per_weight_mean,IMATA_per_weight_sd,log_TAMA_to_IMATA_mean,log_TAMA_to_IMATA_sd,clinical_score_mean,clinical_score_sd,aec_score_mean,aec_score_sd,q
g1090_internal,AEC+ lowSMI,80,80,1.0,0.6875,60.4375,13.848953486030194,168.255,6.070428425228551,56.586875000000006,9.39246177591505,19.886125,2.418617396522132,104.9625,23.087858472815523,7.425,3.408013638767503,34.194624999999995,6.856915375384902,0.06837645277107016,0.03419973072227655,1.856423634922296,0.31278197733276986,0.13303101885985583,0.06410478271885663,2.7309016977295406,0.5461304914784662,-0.2832810279574808,1.0337566448381867,1.3929108540924613,0.21949928951797343,0.2
g1090_internal,AEC- lowSMI,49,49,1.0,0.42857142857142855,56.816326530612244,17.33574518803532,163.57551020408164,8.827455527411926,61.71632653061224,12.85339363324552,22.833673469387755,3.056206590610294,94.04081632653062,26.735556212399896,8.183673469387756,3.881974741179605,31.737959183673468,7.234639757096823,0.08078934034232967,0.032375708508293376,1.5383810484672227,0.3240773343718946,0.1322786131563439,0.05444668628196755,2.505327938803194,0.42376117379130535,-2.4393028099703358,0.8545324341185577,-0.3964308249209647,0.7815431524755108,0.2
g1090_internal,C+A+ lowSMI,75,75,1.0,0.6933333333333334,61.373333333333335,13.572401780454706,168.25733333333332,5.928154841079965,56.17799999999999,9.251929090297432,19.743866666666666,2.404021907831402,104.56,23.04123213672347,7.56,3.4650377323322883,34.01306666666666,6.877047797886416,0.06965563854575428,0.034685207853747686,1.862837553409499,0.3177659384465088,0.13593334992330947,0.06482339872107291,2.710734313092484,0.5476464089623904,-0.17736800612252113,0.9750865999432905,1.4187078078456687,0.19293435664635927,0.2
g1090_internal,other lowSMI,54,54,1.0,0.4444444444444444,55.851851851851855,17.038698913264575,164.0055555555556,8.847543453254847,61.809259259259264,12.566055932753974,22.75833333333334,2.950904402459156,95.61111111111111,26.862625131040666,7.925925925925926,3.8009524717526677,32.217592592592595,7.280280404921483,0.07786335199126289,0.032578921559105835,1.5589212159808368,0.3213111356529173,0.12831726498520568,0.053935732052565986,2.5542246544033977,0.4506874163133162,-2.386772582702886,0.8368275985874793,-0.26658014226213944,0.8522433983110022,0.2
sdata_external,AEC+ lowSMI,97,97,1.0,0.7938144329896907,62.95876288659794,13.708207339167593,168.89793814432988,6.787856488205048,57.66134020618557,9.751403491812727,20.079690721649484,2.3481958737898867,107.43298969072166,22.93101394059239,8.8659793814433,5.071630379661335,34.29525773195876,6.609562058863328,0.07706947977987644,0.03931019322253365,1.8677552661716967,0.28897608321579726,0.1555155084353934,0.08617406062336679,2.6142065850103418,0.5741172686455228,-0.16919975341203847,0.8644739160869627,1.4366111132505766,0.20917817046744644,0.2
sdata_external,AEC- lowSMI,44,44,1.0,0.4772727272727273,61.54545454545455,13.68831541345943,161.22045454545454,7.5267763736729405,59.573863636363626,11.540605001252144,22.72068181818182,2.7418016464541966,93.93181818181819,22.77738344536826,8.75,4.1435014964595815,32.32840909090908,6.230438389586006,0.08648552699637412,0.03774292804084037,1.57841196362902,0.23160213523124853,0.14860206332114695,0.06377535125195875,2.4597885180262375,0.5222163354909488,-2.2916307566974594,0.7120682980421366,-0.11215610064619277,0.5491084706497876,0.2
sdata_external,C+A+ lowSMI,94,94,1.0,0.7978723404255319,62.98936170212766,13.73442005371362,169.13510638297873,6.756386185649562,57.67925531914893,9.8284161468477,20.022872340425536,2.3273703940863677,107.70212765957447,23.079493195845444,8.925531914893616,5.133150454155031,34.26606382978723,6.620661406404011,0.07731838085946037,0.03966465501375419,1.8721375414336656,0.29162263242614517,0.15639554350743357,0.08701690673625725,2.6125872673618553,0.578816390359548,-0.12128945545341212,0.8344639446883343,1.454107104180269,0.18742012341187114,0.2
sdata_external,other lowSMI,47,47,1.0,0.48936170212765956,61.57446808510638,13.634586266025764,161.23617021276596,7.2877629874812815,59.41595744680851,11.313926904401931,22.665744680851066,2.7231597253772586,94.25531914893617,22.410661365312542,8.638297872340425,4.050901842235894,32.51234042553191,6.268142437813738,0.0853867005467915,0.03728014546136492,1.5881161345439774,0.22939744779019844,0.14728327690776324,0.06297707123411637,2.472883625683897,0.5175557725218893,-2.2519770332560687,0.7054720319903788,-0.04829060076748536,0.5857071568217109,0.2
g1090_internal,AEC+ lowSMI,89,89,1.0,0.651685393258427,59.73033707865169,14.670443419077678,167.4056179775281,6.560164901450161,56.136516853932584,9.42135136768939,19.924719101123596,2.396907614694609,102.43820224719101,24.635504246080114,7.359550561797753,3.368460637804334,33.6414606741573,7.299263435842158,0.06958643192240734,0.03339792855252276,1.8273089137598921,0.343593074896575,0.13289742713400027,0.06303887380295892,2.7061405232679974,0.5349622642459506,-0.43377336869431793,1.0885840825789286,1.3183125533711164,0.3064477178761867,0.25
g1090_internal,AEC- lowSMI,40,40,1.0,0.45,57.575,16.72383145279629,164.4125,9.1743004344494,63.8725,12.645319140055191,23.411,2.9241845674675506,97.2,25.760434778939583,8.5,4.0,32.416,6.563426950407335,0.08089003643413788,0.03423597264138568,1.5316017211011803,0.2792696758685824,0.1324065634630823,0.054829576764151754,2.5096674562217,0.4379042993728065,-2.589562252783766,0.8502357565864962,-0.633051483593994,0.6615872305317555,0.25
