q,cohort,clinical_positive_n,clinical_positive_low_smi_n,clinical_positive_low_smi_rate,aec_high_n,aec_high_low_smi_n,aec_high_low_smi_rate,aec_low_n,aec_low_low_smi_n,aec_low_low_smi_rate,absolute_risk_separation,risk_ratio_high_vs_low,odds_ratio_high_vs_low,fisher_p_high_gt_low,clinical_top_cut,aec_global_top_cut,aec_high_cut_within_clinical_pos,aec_low_cut_within_clinical_pos
0.2,gangnam_internal,218,79,0.3623853211009174,44,25,0.5681818181818182,44,8,0.18181818181818182,0.3863636363636364,3.125,5.921052631578948,0.0001750287013853739,-1.4920660984677572,0.8143707660489146,1.5367617740532653,1.1080242185035443
0.2,sinchon_external,261,98,0.37547892720306514,68,41,0.6029411764705882,54,12,0.2222222222222222,0.380718954248366,2.713235294117647,5.314814814814815,2.0938559357812563e-05,-1.4920660984677572,0.8143707660489146,1.5367617740532653,1.1080242185035443
0.25,gangnam_internal,273,86,0.315018315018315,69,38,0.5507246376811594,69,11,0.15942028985507245,0.391304347826087,3.454545454545455,6.463343108504398,1.2311977556216917e-06,-1.7600563913155933,0.4877197693456059,1.485835289535988,0.8467532235128092
0.25,sinchon_external,308,108,0.35064935064935066,98,55,0.5612244897959183,55,12,0.21818181818181817,0.3430426716141002,2.572278911564626,4.583333333333333,2.977159412809419e-05,-1.7600563913155933,0.4877197693456059,1.485835289535988,0.8467532235128092
