branch_channels,n_blocks,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
8,1,16,HTN,0.7984635501797973,0.003159083479449598
8,2,32,HTN,0.799093583761776,0.00378911706142826
16,1,32,HTN,0.7976760082023239,0.00237154150197616
8,1,32,DM,0.7184719470839069,-9.023604069424707e-05
8,2,32,DM,0.7141532082060236,-0.004408974918577613
8,1,16,DM,0.7246877413289461,0.006125558204344905
16,1,32,CKD,0.7763307749442931,0.010250061896509122
8,2,32,CKD,0.7640257489477594,-0.002054964100024592
16,2,16,CKD,0.7568622596352232,-0.009218453412560779
