depth,base_width,kernel_size,feature,internal_oof_auc,delta_vs_clinic4
3,32,5,HTN,0.7279681416981187,-0.06733632500222897
4,32,3,HTN,0.7103806948200542,-0.08492377188029354
4,16,3,HTN,0.7307646586822788,-0.06453980801806891
3,32,3,DM,0.6879553772286203,-0.03060680589598086
3,16,5,DM,0.6843837088271831,-0.03417847429741805
4,16,5,DM,0.677064096968069,-0.041498086156532166
3,16,5,CKD,0.6721630766691425,-0.09391763637864148
3,32,3,CKD,0.6950812907485351,-0.07099942229924894
3,16,3,CKD,0.6751836263101427,-0.0908970867376413
