feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,unet1d_aeconly,internal,1259,385,0.7307646586822788,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,unet1d_aeconly,external,1123,507,0.632418863188094,0.6005526298578104,0.6652843872994354
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,unet1d_aeconly,internal,1259,232,0.6879553772286203,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,unet1d_aeconly,external,1123,335,0.5828812788847639,0.5479267783526086,0.6179346663250741
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,unet1d_aeconly,internal,1259,105,0.6950812907485351,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,unet1d_aeconly,external,1123,188,0.6004892479235407,0.5578814581369244,0.6432602024289108
