depth,base_width,kernel_size,feature,internal_oof_auc,delta_vs_clinic4
3,16,3,HTN,0.6994828969657345,-0.0958215697346132
3,16,5,HTN,0.7015958869505781,-0.09370857974976965
3,32,3,HTN,0.6997206454872358,-0.09558382121311193
3,32,5,HTN,0.7247466492317751,-0.07055781746857259
4,16,3,HTN,0.713037534547832,-0.08226693215251568
4,16,5,HTN,0.6866801390828852,-0.10862432761746255
4,32,3,HTN,0.7222963535320516,-0.07300811316829614
4,32,5,HTN,0.6902790573271123,-0.10502540937323546
3,16,3,DM,0.6580809522210657,-0.06048123090353552
3,16,5,DM,0.6690183997582514,-0.04954378336634979
3,32,3,DM,0.6739834805090152,-0.04457870261558594
3,32,5,DM,0.6517056710203808,-0.06685651210422039
4,16,3,DM,0.6107217204445489,-0.10784046268005232
4,16,5,DM,0.6634489473860928,-0.05511323573850835
4,32,3,DM,0.620647684920928,-0.09791449820367315
4,32,5,DM,0.6438992042440318,-0.07466297888056939
3,16,3,CKD,0.6718824791615087,-0.09419823388627535
3,16,5,CKD,0.6908393166625403,-0.07524139638524374
3,32,3,CKD,0.6813237600066024,-0.08475695304118158
3,32,5,CKD,0.6552116860609062,-0.11086902698687784
4,16,3,CKD,0.6218866055954444,-0.14419410745233963
4,16,5,CKD,0.5911529256416604,-0.17492778740612358
4,32,3,CKD,0.6440373029627795,-0.12204341008500452
4,32,5,CKD,0.6479656680696542,-0.11811504497812986
