n_components,explained_variance_pct,cumulative_variance_pct,mean_r2_internal
1,85.13547475784584,85.13547475784584,0.44513643243175377
2,9.995512385497255,95.13098714334309,0.4957316551036866
3,2.3925258530403117,97.52351299638342,0.5136002572522816
4,0.9471620569967244,98.47067505338013,0.511543101777439
5,0.5962277047459078,99.06690275812605,0.513743427790979
6,0.3394044823597762,99.40630724048582,0.5212401456062389
7,0.19560138796239024,99.6019086284482,0.5209790357688936
8,0.12043309866329065,99.7223417271115,0.5227826071961797
9,0.07404770284110586,99.7963894299526,0.5232396221604682
10,0.057082161855725705,99.85347159180833,0.5247753095511927
