n_components,feature,r2_internal
1,SAT(피하지방)_SUM,0.40616091567809753
2,SAT(피하지방)_SUM,0.4035631849286594
3,SAT(피하지방)_SUM,0.4015455019289689
4,SAT(피하지방)_SUM,0.42645863595178324
5,SAT(피하지방)_SUM,0.43926724938220907
6,SAT(피하지방)_SUM,0.44219344024237006
7,SAT(피하지방)_SUM,0.4515426813179696
8,SAT(피하지방)_SUM,0.4472037424860541
9,SAT(피하지방)_SUM,0.4451374074943174
10,SAT(피하지방)_SUM,0.443401595490289
11,SAT(피하지방)_SUM,0.4439064815972279
12,SAT(피하지방)_SUM,0.438478790852489
13,SAT(피하지방)_SUM,0.43538233946512483
14,SAT(피하지방)_SUM,0.43411662971790677
15,SAT(피하지방)_SUM,0.43139841775329535
16,SAT(피하지방)_SUM,0.43109099007346985
17,SAT(피하지방)_SUM,0.4296809739948373
18,SAT(피하지방)_SUM,0.4342348268220245
19,SAT(피하지방)_SUM,0.42555574706246524
20,SAT(피하지방)_SUM,0.4214457841302013
1,VAT(내장지방)_SUM,0.3768150169091149
2,VAT(내장지방)_SUM,0.4784749103163243
3,VAT(내장지방)_SUM,0.49220838925918176
4,VAT(내장지방)_SUM,0.48859935282032607
5,VAT(내장지방)_SUM,0.4978070530103199
6,VAT(내장지방)_SUM,0.513435883405337
7,VAT(내장지방)_SUM,0.5096158977218282
8,VAT(내장지방)_SUM,0.5140486050563348
9,VAT(내장지방)_SUM,0.5163818145439842
10,VAT(내장지방)_SUM,0.5164791741423389
11,VAT(내장지방)_SUM,0.5098292045437922
12,VAT(내장지방)_SUM,0.5072706085365137
13,VAT(내장지방)_SUM,0.5039645755698348
14,VAT(내장지방)_SUM,0.5007607666384308
15,VAT(내장지방)_SUM,0.4976129509844538
16,VAT(내장지방)_SUM,0.49663179732657037
17,VAT(내장지방)_SUM,0.5021038532618591
18,VAT(내장지방)_SUM,0.5008169679280208
19,VAT(내장지방)_SUM,0.4956820143616081
20,VAT(내장지방)_SUM,0.49687802252956337
1,Total Fat_SUM,0.4404397663084286
2,Total Fat_SUM,0.4800447897134782
3,Total Fat_SUM,0.48745373378403734
4,Total Fat_SUM,0.4950050394207468
5,Total Fat_SUM,0.5085804218387358
6,Total Fat_SUM,0.5185343746384132
7,Total Fat_SUM,0.5228266665840922
8,Total Fat_SUM,0.5226742674500435
9,Total Fat_SUM,0.5242740546610161
10,Total Fat_SUM,0.5234728357370115
11,Total Fat_SUM,0.5201542591886248
12,Total Fat_SUM,0.5159252246661401
13,Total Fat_SUM,0.5135236056077161
14,Total Fat_SUM,0.5114294698923664
15,Total Fat_SUM,0.5078953222564024
16,Total Fat_SUM,0.5072665698223964
17,Total Fat_SUM,0.5103856757603231
18,Total Fat_SUM,0.5123535751607236
19,Total Fat_SUM,0.5041241853613959
20,Total Fat_SUM,0.5030473872341465
1,VAT_SAT_ratio,0.09941672831214321
2,VAT_SAT_ratio,0.23527554615622126
3,VAT_SAT_ratio,0.2302314871039125
4,VAT_SAT_ratio,0.2629612766199102
5,VAT_SAT_ratio,0.2617853017389018
6,VAT_SAT_ratio,0.27213073000375687
7,VAT_SAT_ratio,0.2638402261828604
8,VAT_SAT_ratio,0.2603987340802756
9,VAT_SAT_ratio,0.2565402187930452
10,VAT_SAT_ratio,0.25638687326368714
11,VAT_SAT_ratio,0.2538892568264468
12,VAT_SAT_ratio,0.25446723645333846
13,VAT_SAT_ratio,0.23834784220775362
14,VAT_SAT_ratio,0.2375894806602349
15,VAT_SAT_ratio,0.24084180575054037
16,VAT_SAT_ratio,0.23646864059718642
17,VAT_SAT_ratio,0.23082257820492402
18,VAT_SAT_ratio,0.23007160125982873
19,VAT_SAT_ratio,0.22990469750660059
20,VAT_SAT_ratio,0.22682707962061133
1,VAT_TotalFat_ratio,0.12708758592484792
2,VAT_TotalFat_ratio,0.25357409122535135
3,VAT_TotalFat_ratio,0.2475828285877335
4,VAT_TotalFat_ratio,0.2817478541741152
5,VAT_TotalFat_ratio,0.28109316303618936
6,VAT_TotalFat_ratio,0.29868644719895987
7,VAT_TotalFat_ratio,0.2939533501888614
8,VAT_TotalFat_ratio,0.29125518199590483
9,VAT_TotalFat_ratio,0.2889521081492509
10,VAT_TotalFat_ratio,0.2888988936195368
11,VAT_TotalFat_ratio,0.28736184491101047
12,VAT_TotalFat_ratio,0.2876966938252842
13,VAT_TotalFat_ratio,0.2690447059539909
14,VAT_TotalFat_ratio,0.2682509105211399
15,VAT_TotalFat_ratio,0.2707400162127358
16,VAT_TotalFat_ratio,0.26690191004408503
17,VAT_TotalFat_ratio,0.26395118850655275
18,VAT_TotalFat_ratio,0.26360413078594436
19,VAT_TotalFat_ratio,0.2640104049383648
20,VAT_TotalFat_ratio,0.26189249142068693
1,VAT_TAMA_ratio,0.19002494011008708
2,VAT_TAMA_ratio,0.2643183019877188
3,VAT_TAMA_ratio,0.282658570167037
4,VAT_TAMA_ratio,0.28042116726719357
5,VAT_TAMA_ratio,0.303865042453879
6,VAT_TAMA_ratio,0.33191747286478923
7,VAT_TAMA_ratio,0.324210932577083
8,VAT_TAMA_ratio,0.3242835349973924
9,VAT_TAMA_ratio,0.3194534597553257
10,VAT_TAMA_ratio,0.3169183197220714
11,VAT_TAMA_ratio,0.31394712895407517
12,VAT_TAMA_ratio,0.306272270981386
13,VAT_TAMA_ratio,0.3100238775511228
14,VAT_TAMA_ratio,0.3091012060324201
15,VAT_TAMA_ratio,0.30997155593229153
16,VAT_TAMA_ratio,0.30508566038408247
17,VAT_TAMA_ratio,0.3128813897078908
18,VAT_TAMA_ratio,0.3018932196127847
19,VAT_TAMA_ratio,0.29749953736282875
20,VAT_TAMA_ratio,0.2935870319806574
1,SAT_TotalFat_ratio,0.1270875859248478
2,SAT_TotalFat_ratio,0.2535740912253517
3,SAT_TotalFat_ratio,0.24758282858773395
4,SAT_TotalFat_ratio,0.2817478541741153
5,SAT_TotalFat_ratio,0.28109316303618903
6,SAT_TotalFat_ratio,0.2986864471989594
7,SAT_TotalFat_ratio,0.29395335018886115
8,SAT_TotalFat_ratio,0.2912551819959044
9,SAT_TotalFat_ratio,0.28895210814925076
10,SAT_TotalFat_ratio,0.28889889361953613
11,SAT_TotalFat_ratio,0.28736184491101
12,SAT_TotalFat_ratio,0.2876966938252842
13,SAT_TotalFat_ratio,0.2690447059539909
14,SAT_TotalFat_ratio,0.26825091052113903
15,SAT_TotalFat_ratio,0.27074001621273625
16,SAT_TotalFat_ratio,0.2669019100440849
17,SAT_TotalFat_ratio,0.2639511885065533
18,SAT_TotalFat_ratio,0.26360413078594447
19,SAT_TotalFat_ratio,0.2640104049383647
20,SAT_TotalFat_ratio,0.2618924914206876
1,SAT_TAMA_ratio,0.010490198708193677
2,SAT_TAMA_ratio,0.007629155075869476
3,SAT_TAMA_ratio,-0.0030536726284313698
4,SAT_TAMA_ratio,7.376152881299891e-05
5,SAT_TAMA_ratio,0.012903922771338006
6,SAT_TAMA_ratio,0.01372290667847964
7,SAT_TAMA_ratio,0.014475164587475997
8,SAT_TAMA_ratio,0.01207882973790586
9,SAT_TAMA_ratio,0.005900513309094135
10,SAT_TAMA_ratio,0.001034043728407763
11,SAT_TAMA_ratio,0.000744195098838718
12,SAT_TAMA_ratio,-0.007757489552576491
13,SAT_TAMA_ratio,-0.011513469681223132
14,SAT_TAMA_ratio,-0.014288942037964603
15,SAT_TAMA_ratio,-0.021835363517800133
16,SAT_TAMA_ratio,-0.028051491130476558
17,SAT_TAMA_ratio,-0.027732886147721514
18,SAT_TAMA_ratio,-0.03345103020121987
19,SAT_TAMA_ratio,-0.031725185964722735
20,SAT_TAMA_ratio,-0.03780850330973107
1,TotalFat_TAMA_ratio,0.04702997118867158
2,TotalFat_TAMA_ratio,0.057204024081831006
3,TotalFat_TAMA_ratio,0.052871969569298294
4,TotalFat_TAMA_ratio,0.05334347103082926
5,TotalFat_TAMA_ratio,0.07310359101898711
6,TotalFat_TAMA_ratio,0.08359997891140114
7,TotalFat_TAMA_ratio,0.08205674115458195
8,TotalFat_TAMA_ratio,0.08006271960832223
9,TotalFat_TAMA_ratio,0.07481183628235244
10,TotalFat_TAMA_ratio,0.06972208557124593
11,TotalFat_TAMA_ratio,0.06844085786110155
12,TotalFat_TAMA_ratio,0.05869845550951569
13,TotalFat_TAMA_ratio,0.06074108124134803
14,TotalFat_TAMA_ratio,0.05915522266464923
15,TotalFat_TAMA_ratio,0.054195529528014985
16,TotalFat_TAMA_ratio,0.04760735418043893
17,TotalFat_TAMA_ratio,0.052026306670092004
18,TotalFat_TAMA_ratio,0.04197024344993028
19,TotalFat_TAMA_ratio,0.040409645695051455
20,TotalFat_TAMA_ratio,0.03336356944386509
