n_components,explained_variance_pct,cumulative_variance_pct,mean_r2_internal
1,88.26628266319914,88.26628266319914,0.20272807878493693
2,6.55940664256346,94.8256893057626,0.27040645496786725
3,2.4472930756114586,97.27298238137405,0.27100907070660796
4,1.2221806860008384,98.49516306737489,0.2855953792208703
5,0.5881960536590246,99.08335912103392,0.2954998786985277
6,0.31808190323746033,99.40144102427138,0.30810085346027405
7,0.1780251061665189,99.5794661304379,0.30627500116706824
8,0.1380056096224142,99.7174717400603,0.30480675526757084
9,0.0751251148413392,99.79259685490163,0.30226705790418185
10,0.051143813143923744,99.84374066804557,0.3005791905437916
