feature,baseline_model,extended_model,auc_baseline,auc_extended,auc_diff,z,p_value
HTN,clinic4,clinic4_vatsat,0.8001679747458659,0.8137398997943757,0.013571925048509792,2.3376190682064206,0.019407017880494534
HTN,clinic4_vatsat,clinic4_vatsat_tama,0.8137398997943757,0.8176170755017522,0.0038771757073765567,1.333029632495114,0.1825220796170215
HTN,clinic4_vatsat,clinic4_vatsat_imata,0.8137398997943757,0.8144458281444582,0.0007059283500825408,0.5277356570752227,0.5976828210774283
HTN,clinic4_vatsat,clinic4_vatsat_muscle,0.8137398997943757,0.8186958788264938,0.004955979032118085,1.5366582276564786,0.12437702549997962
DM,clinic4,clinic4_vatsat,0.7239690930449224,0.7273615668165431,0.003392473771620663,0.5916455578319274,0.554087959968884
DM,clinic4_vatsat,clinic4_vatsat_tama,0.7273615668165431,0.7274172641471219,5.569733057886328e-05,0.030504607162319508,0.9756646191083023
DM,clinic4_vatsat,clinic4_vatsat_imata,0.7273615668165431,0.7265716774010612,-0.0007898894154818592,-0.38756535897878813,0.6983377084970341
DM,clinic4_vatsat,clinic4_vatsat_muscle,0.7273615668165431,0.7266172479442621,-0.0007443188722809913,-0.26231552972541566,0.7930781901286552
CKD,clinic4,clinic4_vatsat,0.7838011142646905,0.7809944286765479,-0.0028066855881425656,-0.5745627701613792,0.5655870370343538
CKD,clinic4_vatsat,clinic4_vatsat_tama,0.7809944286765479,0.7817407757805109,0.0007463471039630409,0.14381488587484978,0.8856466478469968
CKD,clinic4_vatsat,clinic4_vatsat_imata,0.7809944286765479,0.7954798696520551,0.014485440975507191,1.5378976424006727,0.12407364385220425
CKD,clinic4_vatsat,clinic4_vatsat_muscle,0.7809944286765479,0.7929570062020393,0.011962577525491458,1.0312096935938628,0.30244249586952887
