phase,lr,dropout,embed_dim,final_model,final_params,auc
1,0.001,0.2,16,,,0.49737543479242896
1,0.001,0.2,32,,,0.508158287030763
1,0.001,0.4,16,,,0.510828025477707
1,0.001,0.4,32,,,0.5164159551881465
1,0.0005,0.2,16,,,0.5035370646429056
1,0.0005,0.2,32,,,0.5225098251795637
1,0.0005,0.4,16,,,0.48752766860911595
1,0.0005,0.4,32,,,0.5087048832271762
2,0.0005,0.2,32,logreg,{'C': 0.03},0.821565704476668
2,0.0005,0.2,32,logreg,{'C': 0.1},0.827221394046167
2,0.0005,0.2,32,logreg,{'C': 0.3},0.8281971360166238
2,0.0005,0.2,32,logreg,{'C': 1.0},0.8285675565794823
2,0.0005,0.2,32,logreg,{'C': 3.0},0.8284410715092378
2,0.0005,0.2,32,logreg,{'C': 10.0},0.8284952793964856
2,0.0005,0.2,32,random_forest,"{'n_estimators': 200, 'max_depth': 3}",0.7893571848037222
2,0.0005,0.2,32,random_forest,"{'n_estimators': 200, 'max_depth': 5}",0.7962235171884177
2,0.0005,0.2,32,random_forest,"{'n_estimators': 500, 'max_depth': None}",0.7810995166463386
2,0.0005,0.2,32,gradient_boosting,"{'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.1}",0.8105524687175317
2,0.0005,0.2,32,gradient_boosting,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.8111306861815061
2,0.0005,0.2,32,svm_rbf,"{'C': 1.0, 'gamma': 'scale'}",0.7701133848308261
2,0.0005,0.2,32,svm_rbf,"{'C': 10.0, 'gamma': 'scale'}",0.739616930930117
