feature,comparison,auc_a,auc_b,diff,z,p_value
HTN,zero_minus_clinic4,0.7953044667003477,0.7892240482629498,-0.0060804184373979275,-1.5422686927728202,0.12300831343928967
HTN,real_minus_clinic4,0.7953044667003477,0.7931587862937977,-0.0021456804065500545,-0.3972422160038461,0.6911888539456212
HTN,real_minus_zero,0.7892240482629498,0.7931587862937977,0.003934738030847873,0.6579992925110734,0.5105385857686222
DM,zero_minus_clinic4,0.7185621831246012,0.7063110667159118,-0.012251116408689366,-1.5369030324925008,0.12431705680931893
DM,real_minus_clinic4,0.7185621831246012,0.7253886445287581,0.0068264614041568805,0.7507652665366773,0.45279393624084874
DM,real_minus_zero,0.7063110667159118,0.7253886445287581,0.019077577812846247,1.8761834131974795,0.06063009888587967
CKD,zero_minus_clinic4,0.766080713047784,0.700577700751011,-0.06550301229677302,-3.934349963884623,8.342215968908544e-05
CKD,real_minus_clinic4,0.766080713047784,0.7493356441363375,-0.01674506891144656,-1.3129997182035344,0.18918304312892553
CKD,real_minus_zero,0.700577700751011,0.7493356441363375,0.04875794338532646,2.212552340486271,0.026928523910062535
