feature,cohort,comparison_model,auc_clinic4,auc_aec_model,auc_diff,z,p_value
HTN,internal,clinic4_aec_best,0.8064630856021585,0.8176436922573788,-0.011180606655220249,-2.215442546868113,0.02672970371854792
HTN,external,clinic4_aec_best,0.7134694438129878,0.7309663181025992,-0.01749687428961133,-2.9183379891266896,0.003519026871421396
HTN,internal,clinic5_aec_best,0.8064630856021585,0.8179257624069985,-0.011462676804840033,-2.1766735040986673,0.029504936564772682
HTN,external,clinic5_aec_best,0.7134694438129878,0.7366873152989315,-0.023217871485943675,-3.5380484226841027,0.0004030961279171949
DM,internal,clinic4_aec_best,0.7295516894904999,0.7509342154283843,-0.021382525937884478,-2.1944238217419327,0.028204954903148394
DM,external,clinic4_aec_best,0.6624996557327384,0.7013963480128893,-0.03889669228015091,-3.915420739357614,9.024668959452352e-05
DM,internal,clinic5_aec_best,0.7295516894904999,0.749714937286203,-0.02016324779570311,-2.0420346047241984,0.04114809885538051
DM,external,clinic5_aec_best,0.6624996557327384,0.7032140791539288,-0.04071442342119036,-4.039268967013235,5.361805215082433e-05
CKD,internal,clinic4_aec_best,0.7935234915565879,0.812926404412832,-0.01940291285624418,-1.3848656999745963,0.16609353685210004
CKD,external,clinic4_aec_best,0.6213646267525579,0.6413651004168246,-0.020000473664266716,-2.1175290210192914,0.03421497496963755
CKD,internal,clinic5_aec_best,0.7935234915565879,0.8211762713504621,-0.02765277979387426,-1.693808136491347,0.09030174747959693
CKD,external,clinic5_aec_best,0.6213646267525579,0.6351443097132752,-0.013779682960717299,-1.1892768665027103,0.23433073545801342
