clinic_var,cohort,predictor,n_seg,segment,r,p_value,n
age,internal,seg1_1,1,1,0.02172669764843076,0.6688395902862637,390
height,internal,seg1_1,1,1,0.16132288340163134,0.0013905373148609967,390
weight,internal,seg1_1,1,1,0.4715810232796597,5.467878370108718e-23,390
age,external,seg1_1,1,1,0.044585621598951616,0.3574919655632602,428
height,external,seg1_1,1,1,0.023641709562081926,0.6257331026293455,428
weight,external,seg1_1,1,1,0.3205882499645593,1.0974562183120611e-11,428
age,internal,seg2_1,2,1,-0.024073285629167752,0.635534142516877,390
age,internal,seg2_2,2,2,0.06370764303524726,0.20934727294770133,390
height,internal,seg2_1,2,1,0.1959320755851571,9.830288406311271e-05,390
height,internal,seg2_2,2,2,0.11884280561325529,0.018887202787881287,390
weight,internal,seg2_1,2,1,0.4206863793834842,3.699746832713513e-18,390
weight,internal,seg2_2,2,2,0.4911531428101501,4.506145936568782e-25,390
age,external,seg2_1,2,1,-0.008634806618511709,0.8586293930122851,428
age,external,seg2_2,2,2,0.09328673943609923,0.05379368960738692,428
height,external,seg2_1,2,1,0.07508968595358724,0.12087414943572108,428
height,external,seg2_2,2,2,-0.02882118998905753,0.5520860061645179,428
weight,external,seg2_1,2,1,0.30369184777114017,1.3933330494511348e-10,428
weight,external,seg2_2,2,2,0.3113316907914111,4.504979865283846e-11,428
age,internal,seg4_1,4,1,-0.08014805582821856,0.11404737873323498,390
age,internal,seg4_2,4,2,0.03640271359739393,0.47348143478740984,390
age,internal,seg4_3,4,3,0.08250609514901783,0.10375630000315675,390
age,internal,seg4_4,4,4,0.03978749760150299,0.43331694193079545,390
height,internal,seg4_1,4,1,0.21020213894968154,2.855678204180032e-05,390
height,internal,seg4_2,4,2,0.17517065882653038,0.0005105750497362951,390
height,internal,seg4_3,4,3,0.10962577011812452,0.030424933634749306,390
height,internal,seg4_4,4,4,0.1250782220429268,0.013440359201043714,390
weight,internal,seg4_1,4,1,0.3883460839563347,1.7323863272919867e-15,390
weight,internal,seg4_2,4,2,0.44326711176431505,3.348844252882965e-20,390
weight,internal,seg4_3,4,3,0.512570058365025,1.6375497074463468e-27,390
weight,internal,seg4_4,4,4,0.4485816040137993,1.0504782799622477e-20,390
age,external,seg4_1,4,1,-0.0704603855655512,0.1456022930297968,428
age,external,seg4_2,4,2,0.060870948028290586,0.2088293971061789,428
age,external,seg4_3,4,3,0.12079285741620971,0.012390015306708592,428
age,external,seg4_4,4,4,0.06169794122909715,0.20269958058350857,428
height,external,seg4_1,4,1,0.10771446442254373,0.025854911262120327,428
