cohort,scanner,n,r2_clinic4,r2_aec,auc_clinic4,auc_aec,r2_delta,auc_delta
internal,Ingenuity Core 128,111,0.1946,0.3214,0.7961,0.8922,0.1268,0.0961
internal,Revolution CT,69,0.2091,0.2958,0.7472,0.8517,0.0867,0.1045
internal,SOMATOM Definition AS+,85,0.1344,0.2149,0.6356,0.7188,0.0805,0.0832
internal,Sensation 64,122,0.2015,0.392,0.6682,0.7774,0.1905,0.1092
external,Revolution EVO,61,0.0434,0.2766,0.6536,0.7582,0.2333,0.1046
external,SOMATOM Definition AS+,85,0.3527,0.3705,0.8489,0.7891,0.0178,-0.0599
external,SOMATOM Definition Flash,115,0.2886,0.2846,0.8086,0.7125,-0.0039,-0.0961
external,SOMATOM Force,58,0.334,0.3276,0.8284,0.7731,-0.0065,-0.0553
external,iCT 256,52,0.1307,0.1918,0.7129,0.7041,0.0611,-0.0088
