cohort,normalization,n_tp,n_fp,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value
gangnam,raw,117,447,10.066209894420966,1,-13.502151092755128,TP < FP,2000,0.25337331334332835
gangnam,patient_norm,117,447,0.01569360521460422,124,0.04374976603069136,TP > FP,2000,0.22038980509745126
gangnam,global_zscore,117,447,0.10175707622274723,1,-0.1364902413447606,TP < FP,2000,0.25337331334332835
sinchon,raw,131,398,10.25234968199066,3,-20.828305074993324,TP < FP,2000,0.1519240379810095
sinchon,patient_norm,131,398,0.027438801825249957,3,-0.05378814518803687,TP < FP,2000,0.01699150424787606
sinchon,global_zscore,131,398,0.12267192566421374,3,-0.24921587451892635,TP < FP,2000,0.1519240379810095
