feature,model,section,n,n_pos,prevalence,auc,threshold,tn,fp,fn,tp,sensitivity,specificity,accuracy
HTN,clinic4,baseline,6024,1149,0.19073705179282868,0.6690582223114859,0.26414582978367035,2864,2011,392,757,0.6588337684943429,0.5874871794871794,0.6010956175298805
HTN,clinic4_bmi,scalar,6024,1149,0.19073705179282868,0.6692369284327508,0.26414582978367035,2859,2016,391,758,0.65970409051349,0.5864615384615385,0.6004316069057105
HTN,clinic4_smi,scalar,6024,1149,0.19073705179282868,0.6691380241458571,0.26414582978367035,2849,2026,390,759,0.660574412532637,0.5844102564102565,0.598937583001328
HTN,clinic4_vat,scalar,6024,1149,0.19073705179282868,0.6660891299011402,0.26414582978367035,3448,1427,567,582,0.5065274151436031,0.7072820512820512,0.6689907038512616
HTN,clinic4_sat,scalar,6024,1149,0.19073705179282868,0.6601043493785007,0.26414582978367035,3335,1540,546,603,0.5248041775456919,0.6841025641025641,0.6537184594953519
HTN,clinic4_imata,scalar,6024,1149,0.19073705179282868,0.6610068063645087,0.26414582978367035,3386,1489,547,602,0.5239338555265448,0.6945641025641026,0.6620185922974767
HTN,clinic4_nama,scalar,6024,1149,0.19073705179282868,0.6708775970185892,0.26414582978367035,2447,2428,277,872,0.7589208006962577,0.501948717948718,0.5509628154050464
HTN,clinic4_lama,scalar,6024,1149,0.19073705179282868,0.6634963736582535,0.26414582978367035,3248,1627,494,655,0.5700609225413403,0.6662564102564102,0.6479083665338645
HTN,clinic4_tama,scalar,6024,1149,0.19073705179282868,0.668494610698266,0.26414582978367035,2935,1940,408,741,0.6449086161879896,0.602051282051282,0.6102257636122178
HTN,clinic4_vat_sat_ratio,inter_var_ratio,6024,1149,0.19073705179282868,0.6757662181160875,0.26414582978367035,2827,2048,363,786,0.6840731070496083,0.5798974358974359,0.5997675962815405
HTN,clinic4_lama_tama_ratio,inter_var_ratio,6024,1149,0.19073705179282868,0.6678010309968535,0.26414582978367035,2679,2196,362,787,0.6849434290687555,0.5495384615384615,0.5753652058432935
HTN,clinic4_imata_tama_ratio,inter_var_ratio,6024,1149,0.19073705179282868,0.6654949900694026,0.26414582978367035,3010,1865,425,724,0.6301131418624891,0.6174358974358974,0.6198539176626826
HTN,clinic4_aec_fpca_elbow,curve_fpca_elbow,6024,1149,0.19073705179282868,0.6609980585124187,0.26414582978367035,2839,2036,387,762,0.6631853785900783,0.5823589743589743,0.5977755644090306
HTN,clinic4_aec_uplow_ratio,curve_uplow_ratio,6024,1149,0.19073705179282868,0.6625848117649684,0.26414582978367035,2698,2177,356,793,0.6901653611836379,0.5534358974358974,0.579515272244356
HTN,clinic4_vat_fpca_elbow,curve_fpca_elbow,6024,1149,0.19073705179282868,0.6769771707839594,0.26414582978367035,2867,2008,372,777,0.6762402088772846,0.5881025641025641,0.6049136786188579
HTN,clinic4_vat_uplow_ratio,curve_uplow_ratio,6024,1149,0.19073705179282868,0.6733825176853897,0.26414582978367035,2708,2167,335,814,0.7084421235857267,0.5554871794871795,0.5846613545816733
HTN,clinic4_sat_fpca_elbow,curve_fpca_elbow,6024,1149,0.19073705179282868,0.6685042511883242,0.26414582978367035,2882,1993,396,753,0.6553524804177546,0.5911794871794872,0.6034196547144755
HTN,clinic4_sat_uplow_ratio,curve_uplow_ratio,6024,1149,0.19073705179282868,0.6684448014996318,0.26414582978367035,2748,2127,363,786,0.6840731070496083,0.5636923076923077,0.5866533864541833
HTN,clinic4_imata_fpca_elbow,curve_fpca_elbow,6024,1149,0.19073705179282868,0.6711705607998038,0.26414582978367035,3157,1718,451,698,0.6074847693646649,0.6475897435897436,0.6399402390438247
