feature,model,section,n,auc_baseline,auc_extended,auc_diff,z,p_value,q_value_bh
HTN,clinic4_bmi,scalar,6024,0.669058222311486,0.6692369284327508,0.00017870612126480445,1.3305282544685966,0.18334428345426468,0.39113447136909796
HTN,clinic4_smi,scalar,6024,0.669058222311486,0.669138024145857,7.980183437095167e-05,2.201146318168633,0.0277256671715028,0.13133816175390026
HTN,clinic4_vat,scalar,6024,0.669058222311486,0.6660891299011403,-0.0029690924103457084,-0.9013253220064813,0.3674153740937318,0.6188048405789167
HTN,clinic4_sat,scalar,6024,0.669058222311486,0.6601043493785008,-0.008953872932985218,-4.397416744705151,1.0954688359279342e-05,0.00035055002749693895
HTN,clinic4_imata,scalar,6024,0.669058222311486,0.6610068063645087,-0.008051415946977336,-3.543860677144442,0.00039431355742149967,0.006309016918743995
HTN,clinic4_nama,scalar,6024,0.669058222311486,0.6708775970185892,0.0018193747071031385,1.065759872117003,0.2865322048636716,0.5393547385669112
HTN,clinic4_lama,scalar,6024,0.669058222311486,0.6634963736582535,-0.005561848653232504,-2.1076058936663062,0.03506509336820193,0.13380380384259075
HTN,clinic4_tama,scalar,6024,0.669058222311486,0.668494610698266,-0.0005636116132200497,-2.5136422398109755,0.011949158133760351,0.09559326507008281
HTN,clinic4_vat_sat_ratio,inter_var_ratio,6024,0.669058222311486,0.6757662181160875,0.006707995804601463,2.881878343878647,0.003953123289990858,0.04216664842656915
HTN,clinic4_lama_tama_ratio,inter_var_ratio,6024,0.669058222311486,0.6678010309968534,-0.001257191314632644,-0.35641663585331174,0.7215285727133545,0.7961694595457705
HTN,clinic4_imata_tama_ratio,inter_var_ratio,6024,0.669058222311486,0.6654949900694026,-0.003563232242083436,-1.5322435158873453,0.125462353836875,0.30883040944461543
HTN,clinic4_aec_fpca_elbow,curve_fpca_elbow,6024,0.669058222311486,0.6609980585124188,-0.008060163799067266,-2.3527521357795305,0.018635051218745306,0.11926432779996995
HTN,clinic4_aec_uplow_ratio,curve_uplow_ratio,6024,0.669058222311486,0.6625848117649684,-0.006473410546517622,-2.0264076271842897,0.04272302999839845,0.13380380384259075
HTN,clinic4_vat_fpca_elbow,curve_fpca_elbow,6024,0.669058222311486,0.6769771707839592,0.007918948472473208,2.1871685360783752,0.02873022288366568,0.13133816175390026
HTN,clinic4_vat_uplow_ratio,curve_uplow_ratio,6024,0.669058222311486,0.6733825176853897,0.004324295373903664,1.995438663822697,0.04599505757089057,0.13380380384259075
HTN,clinic4_sat_fpca_elbow,curve_fpca_elbow,6024,0.669058222311486,0.6685042511883242,-0.0005539711231618005,-0.24917113885392211,0.8032284033335172,0.8567769635557517
HTN,clinic4_sat_uplow_ratio,curve_uplow_ratio,6024,0.669058222311486,0.6684448014996318,-0.0006134208118542261,-0.3908967853318176,0.6958735302397243,0.7952840345596849
HTN,clinic4_imata_fpca_elbow,curve_fpca_elbow,6024,0.669058222311486,0.6711705607998036,0.0021123384883176,0.7615314067906631,0.4463397272599511,0.6492214214690197
HTN,clinic4_imata_uplow_ratio,curve_uplow_ratio,6024,0.669058222311486,0.6683517886233291,-0.0007064336881569266,-1.4358349298673911,0.15104931786345904,0.3452555836879064
HTN,clinic4_nama_fpca_elbow,curve_fpca_elbow,6024,0.669058222311486,0.6723970453683247,0.0033388230568386357,1.0171829678852857,0.3090663968998162,0.5494513722663399
HTN,clinic4_nama_uplow_ratio,curve_uplow_ratio,6024,0.669058222311486,0.6690025217022606,-5.5700609225439734e-05,-0.46720164927268343,0.6403556137807913,0.7589399867031601
HTN,clinic4_lama_fpca_elbow,curve_fpca_elbow,6024,0.669058222311486,0.6689478922585972,-0.00011033005288885178,-0.03709580024430272,0.9704086206449852,0.9704086206449852
HTN,clinic4_lama_uplow_ratio,curve_uplow_ratio,6024,0.669058222311486,0.6680929236125058,-0.0009652986989802104,-1.160871718542977,0.24569407162246826,0.4913881432449365
HTN,clinic4_tama_fpca_elbow,curve_fpca_elbow,6024,0.669058222311486,0.6710714779853161,0.002013255673830039,0.809708995519493,0.4181074467272605,0.6399898441209663
HTN,clinic4_tama_uplow_ratio,curve_uplow_ratio,6024,0.669058222311486,0.66917658610609,0.00011836379460394841,0.5105525030041419,0.6096644417133847,0.7589399867031601
HTN,clinic4_aec_slope,curve_slope,6024,0.669058222311486,0.6669191046841177,-0.002139117627368292,-0.806432809816716,0.4199933352043841,0.6399898441209663
HTN,clinic4_vat_slope,curve_slope,6024,0.669058222311486,0.6744506482783245,0.005392425966838421,2.0043717964680754,0.04503024817090407,0.13380380384259075
HTN,clinic4_sat_slope,curve_slope,6024,0.669058222311486,0.6706267657494811,0.0015685434379950625,1.9538088157477858,0.05072383132166389,0.1352635501911037
HTN,clinic4_imata_slope,curve_slope,6024,0.669058222311486,0.6692251456115685,0.0001669233000824999,0.1748590970444896,0.8611903508582991,0.888970684756954
HTN,clinic4_nama_slope,curve_slope,6024,0.669058222311486,0.6702363259021222,0.0011781035906361925,0.46864364206513587,0.6393243770215384,0.7589399867031601
HTN,clinic4_lama_slope,curve_slope,6024,0.669058222311486,0.6675630537144898,-0.001495168596996277,-0.5464740154840594,0.5847401445399054,0.7589399867031601
HTN,clinic4_tama_slope,curve_slope,6024,0.669058222311486,0.6696534333087858,0.0005952109972997555,0.47377332262645555,0.6356615602322387,0.7589399867031601
DM,clinic4_bmi,scalar,6024,0.6493149354662147,0.6488290928780361,-0.00048584258817852,-1.8276918771934727,0.06759580790112833,0.12017032515756149
DM,clinic4_smi,scalar,6024,0.6493149354662147,0.6379454537963992,-0.01136948166981544,-3.9940346855959,6.495835457616556e-05,0.0004157334692874596
DM,clinic4_vat,scalar,6024,0.6493149354662147,0.6599304930228178,0.01061555755660315,2.833503862265452,0.004604075160049833,0.011333108086276512
DM,clinic4_sat,scalar,6024,0.6493149354662147,0.6447975704927874,-0.004517364973427251,-2.3512226251037673,0.018711834729523258,0.03522227713792613
DM,clinic4_imata,scalar,6024,0.6493149354662147,0.6490912889689308,-0.0002236464972839025,-0.09611009000260075,0.9234331377440134,0.9677292370142228
DM,clinic4_nama,scalar,6024,0.6493149354662147,0.6494308785187539,0.00011594305253925796,2.9471898732238078,0.0032067623349904947,0.011238255490775614
DM,clinic4_lama,scalar,6024,0.6493149354662147,0.6456062291434927,-0.003708706322721911,-0.9702736878190402,0.33191008909020514,0.4519078633661941
