feature,n,n_pos,auc_no_scheduler,auc_reduce_on_plateau,auc_diff,z,p_value
HTN,1259,385,0.8009183036642992,0.8034681565574016,0.002549852893102278,1.5275438042804947,0.1266258433867547
DM,1259,232,0.7268576033307592,0.722656381157036,-0.004201222173723318,-1.0950181968183474,0.2735086645013648
CKD,1259,105,0.7271024180902863,0.7377651233803747,0.010662705290088281,0.9839039307953055,0.3251627508106115
