figure,comparison,group_col,groups,test,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value,significant_p<0.05
01_aec_curve_by_sex.png,성별에 따른 AEC 곡선 비교,PatientSex,Male (n=428); Female (n=498),whole-curve RMSD permutation,0.2525042905242146,114,0.425519075485708,Male > Female,2000,0.0004997501249375312,True
02_aec_curve_by_age.png,나이(median 분할)에 따른 AEC 곡선 비교,AgeGroup2,Age ≤ median (n=472); Age > median (n=454),whole-curve RMSD permutation,0.2253033919734042,80,-0.3360849523760895,Age ≤ median < Age > median,2000,0.0004997501249375312,True
03_aec_curve_by_tama.png,TAMA(성별 median 분할)에 따른 AEC 곡선 비교,TAMAGroup2,TAMA ≤ 성별 median (n=480); TAMA > 성별 median (n=446),whole-curve RMSD permutation,0.3533892197714148,1,-0.4537822419276814,TAMA ≤ 성별 median < TAMA > 성별 median,2000,0.0004997501249375312,True
05_aec_curve_by_height.png,신장(median 분할)에 따른 AEC 곡선 비교,HeightGroup2,Height ≤ median (n=483); Height > median (n=443),whole-curve RMSD permutation,0.16827832076819688,114,-0.2624249137660724,Height ≤ median < Height > median,2000,0.005497251374312844,True
06_aec_curve_by_weight.png,체중(median 분할)에 따른 AEC 곡선 비교,WeightGroup2,Weight ≤ median (n=463); Weight > median (n=463),whole-curve RMSD permutation,0.5455223119560112,85,-0.6793872507818665,Weight ≤ median < Weight > median,2000,0.0004997501249375312,True
04_aec_curve_by_bmi.png,BMI(성별 median 분할)에 따른 AEC 곡선 비교,BMIGroup2,BMI ≤ 성별 median (n=465); BMI > 성별 median (n=461),whole-curve RMSD permutation,0.5049967301254741,77,-0.6673705420705389,BMI ≤ 성별 median < BMI > 성별 median,2000,0.0004997501249375312,True
07_aec_curve_by_low_smi.png,Low-SMI 임상 cutoff에 따른 AEC 곡선 비교,LowSMI,Low SMI (n=141); Non-low SMI (n=785),whole-curve RMSD permutation,0.2343850327009854,3,-0.34932045131762907,Low SMI < Non-low SMI,2000,0.00399800099950025,True
08_aec_curve_by_scan_length.png,"스캔 커버리지 길이(z_range, median 분할)에 따른 AEC 곡선 비교",z_rangeGroup2,Scan length ≤ median (n=487); Scan length > median (n=439),whole-curve RMSD permutation,0.37521148889078704,83,-0.47048962518623927,Scan length ≤ median < Scan length > median,2000,0.0004997501249375312,True
09_aec_curve_by_slice_thickness.png,재구성 슬라이스 두께(median 분할)에 따른 AEC 곡선 비교,SliceThicknessGroup2,Slice thickness ≤ median (n=476); Slice thickness > median (n=450),whole-curve RMSD permutation,0.09289473076498733,128,0.17889447047345552,Slice thickness ≤ median > Slice thickness > median,2000,0.1359320339830085,False
11_aec_curve_by_vendor.png,스캐너 제조사(Vendor)에 따른 AEC 곡선 비교,Vendor,Siemens (n=569); GE (n=219); Philips (n=135),whole-curve RMSD permutation,0.34637749179018357,120,0.460228893818542,,2000,0.0004997501249375312,True
12_aec_curve_by_bmi4.png,BMI 4구간(WHO 아시아 기준)에 따른 AEC 곡선 비교,BMIGroup4,Underweight (n=62); Normal (n=379); Overweight (n=227); Obese (n=258),whole-curve RMSD permutation,0.3754570216005536,80,0.4715184294629721,,2000,0.0004997501249375312,True
13_aec_curve_by_sex_x_lowsmi.png,성별 x Low-SMI 조합에 따른 AEC 곡선 비교,SexSMIGroup,M / Low SMI (n=98); M / Non-low SMI (n=330); F / Low SMI (n=43); F / Non-low SMI (n=455),whole-curve RMSD permutation,0.20502376657386606,115,0.27368082501496677,,2000,0.001999000499750125,True
14_aec_curve_bmi4_x_lowsmi_facet.png,BMI:Underweight 내 Low-SMI vs Non-low SMI,LowSMI,Low SMI (n=23); Non-low SMI (n=39),whole-curve RMSD permutation,0.21817319216774667,1,-0.4104981181397731,Low SMI < Non-low SMI,2000,0.3698150924537731,False
14_aec_curve_bmi4_x_lowsmi_facet.png,BMI:Normal 내 Low-SMI vs Non-low SMI,LowSMI,Low SMI (n=84); Non-low SMI (n=295),whole-curve RMSD permutation,0.11583645951776071,3,-0.18782445433102424,Low SMI < Non-low SMI,2000,0.26436781609195403,False
14_aec_curve_bmi4_x_lowsmi_facet.png,BMI:Overweight 내 Low-SMI vs Non-low SMI,LowSMI,Low SMI (n=24); Non-low SMI (n=203),whole-curve RMSD permutation,0.2138488519326935,93,0.3731076419072898,Low SMI > Non-low SMI,2000,0.27136431784107945,False
14_aec_curve_bmi4_x_lowsmi_facet.png,BMI:Obese 내 Low-SMI vs Non-low SMI,LowSMI,Low SMI (n=10); Non-low SMI (n=248),whole-curve RMSD permutation,0.39479868202551094,124,0.7181440112901463,Low SMI > Non-low SMI,2000,0.2658670664667666,False
15_aec_curve_bmi4_smi_controlled.png,SMI 통제 후 BMI 4구간,BMIGroup4,Underweight (n=39); Normal (n=295); Overweight (n=203); Obese (n=248),whole-curve RMSD permutation,0.35378685452021263,80,0.45967669750750395,,2000,0.0004997501249375312,True
