feature,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
IMATA_SUM,internal,1090,0.332895350338987,0.2843608056260343,0.38184974748844625,463.40757887733514,321.2612426883754,0.5770696754300255,8.762410432224918e-98
IMATA_SUM,external,926,0.28248345778930717,0.21176353027190092,0.3435790669915483,528.0178796638821,370.2393972993276,0.5660639648480081,1.438137684403751e-79
NAMA_SUM,internal,1090,0.5912066896128529,0.5352134845357643,0.6361422180541509,2737.60661765164,2045.9160017814163,0.7689158279293534,1.3837577083589094e-213
NAMA_SUM,external,926,0.5678002838802443,0.5114966653328655,0.6142064596812615,2960.875154681854,2319.180539456677,0.7900820091555905,1.3654272435746346e-198
LAMA_SUM,internal,1090,0.41934567876225337,0.37309500757790837,0.46820373465700815,1556.9323547156062,995.9726430740855,0.6476010904842606,1.3365746844563731e-130
LAMA_SUM,external,926,-0.0354460947935169,-0.12993404599117722,0.0446110132419405,2122.4387323430624,1738.9623509125506,0.5584336022193399,4.798907639008775e-77
VAT(내장지방)_SUM,internal,1090,0.522974451085152,0.48271688918496347,0.5616788755884927,3588.0158911530134,2609.7003007165035,0.7231827411396161,4.377671125448218e-177
VAT(내장지방)_SUM,external,926,0.41833658179756594,0.35894626456676115,0.47085670782181094,4090.9980050328213,3127.254599878973,0.6644398969859359,5.341917441965264e-119
SAT(피하지방)_SUM,internal,1090,0.5276249675951172,0.47755745230987917,0.57314577604254,5578.840711620315,4087.827152932292,0.726385902205064,2.1297936362601517e-179
SAT(피하지방)_SUM,external,926,0.5645541761064046,0.5106773620739308,0.6132171385935262,5893.738038542955,4387.530113798807,0.7588702961794219,2.7310264893270645e-174
TAMA_SUM,internal,1090,0.6459881914335608,0.604854566551099,0.6833405901041706,3155.6632076900287,2258.371412515652,0.8037422741636253,1.364170894521773e-247
TAMA_SUM,external,926,0.7110267056575033,0.6732866093947888,0.7427860823451867,2633.3120289323315,1980.5591813666247,0.8478748666950204,7.413830413511747e-257
Total Fat_SUM,internal,1090,0.5020347694149179,0.45175229005033746,0.5484934466931847,8011.899450054568,5835.201462407836,0.708558070366581,6.304392566763572e-167
Total Fat_SUM,external,926,0.49226934795779465,0.42805345267657113,0.5502537860767173,8790.21248904625,6666.631873664684,0.7144617449779691,1.7721858412808588e-145
