feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold_youden,sensitivity_youden,specificity_youden,accuracy_youden,threshold_se90,sensitivity_se90,specificity_se90,accuracy_se90
SAT(피하지방)_SUM,clinic4,internal,692,102,0.14739884393063585,0.871136590229312,0.8343293088959337,0.9054143868761102,0.13345191229448758,0.8333333333333334,0.7864406779661017,0.7933526011560693,0.09148339297164247,0.9117647058823529,0.6813559322033899,0.7153179190751445
SAT(피하지방)_SUM,clinic4,external,497,95,0.19114688128772636,0.8739722440429432,0.8308954752603795,0.9134875815852512,0.13345191229448758,0.7789473684210526,0.8482587064676617,0.8350100603621731,0.09148339297164247,0.8315789473684211,0.7587064676616916,0.772635814889336
SAT(피하지방)_SUM,clinic4_aec_best,internal,692,102,0.14739884393063585,0.8853107344632769,0.85140336924922,0.9158328831285748,0.09632383386450491,0.8823529411764706,0.7288135593220338,0.7514450867052023,0.08355627139953978,0.9019607843137255,0.7084745762711865,0.7369942196531792
SAT(피하지방)_SUM,clinic4_aec_best,external,497,95,0.19114688128772636,0.8767216548834773,0.8319134814033682,0.916505436815337,0.09632383386450491,0.6842105263157895,0.9104477611940298,0.8672032193158954,0.08355627139953978,0.7263157894736842,0.8880597014925373,0.8571428571428571
VAT(내장지방)_SUM,clinic4,internal,692,110,0.15895953757225434,0.8771009059668853,0.84613284842151,0.9060795382038862,0.1642204032990621,0.8181818181818182,0.7869415807560137,0.791907514450867,0.11069264224640886,0.9,0.6872852233676976,0.7210982658959537
VAT(내장지방)_SUM,clinic4,external,497,126,0.2535211267605634,0.8027317845377144,0.7548682926269134,0.8486310502283103,0.1642204032990621,0.6825396825396826,0.8059299191374663,0.7746478873239436,0.11069264224640886,0.7380952380952381,0.6711590296495957,0.6881287726358148
VAT(내장지방)_SUM,clinic4_aec_best,internal,692,110,0.15895953757225434,0.9097313339581381,0.8848754475334236,0.9340997335582606,0.16790816564739483,0.8363636363636363,0.8367697594501718,0.8367052023121387,0.11010482161867426,0.9,0.7542955326460481,0.7774566473988439
VAT(내장지방)_SUM,clinic4_aec_best,external,497,126,0.2535211267605634,0.8502545672356993,0.8106865531943356,0.8873453881542315,0.16790816564739483,0.6349206349206349,0.8921832884097035,0.8269617706237424,0.11010482161867426,0.6984126984126984,0.8059299191374663,0.778672032193159
Total Fat_SUM,clinic4,internal,692,110,0.15895953757225434,0.8780381130896595,0.8448485225344238,0.9090993091424532,0.15770845126300997,0.8636363636363636,0.7920962199312714,0.8034682080924855,0.11192985315533656,0.9,0.6993127147766323,0.7312138728323699
Total Fat_SUM,clinic4,external,497,111,0.22334004024144868,0.8587966204546515,0.8121767280812541,0.8994715401662863,0.15770845126300997,0.7297297297297297,0.8523316062176166,0.8249496981891348,0.11192985315533656,0.8018018018018018,0.7901554404145078,0.7927565392354124
Total Fat_SUM,clinic4_aec_best,internal,692,110,0.15895953757225434,0.9003748828491096,0.8719546366528625,0.9280181797369297,0.15372676748880015,0.8545454545454545,0.8092783505154639,0.8164739884393064,0.06670498367103742,0.9,0.647766323024055,0.6878612716763006
Total Fat_SUM,clinic4_aec_best,external,497,111,0.22334004024144868,0.8643280586285768,0.8209389793031266,0.9047342306358458,0.15372676748880015,0.5945945945945946,0.9585492227979274,0.8772635814889336,0.06670498367103742,0.7207207207207207,0.8471502590673575,0.8189134808853119
VAT_TotalFat_ratio,clinic4,internal,692,114,0.16473988439306358,0.8178838098706975,0.7792887385677274,0.8564090847533459,0.18884514422831752,0.7105263157894737,0.7802768166089965,0.7687861271676301,0.0977630112241,0.9035087719298246,0.5622837370242214,0.6184971098265896
VAT_TotalFat_ratio,clinic4,external,497,122,0.2454728370221328,0.7265027322404372,0.6768998887498704,0.7760025406936967,0.18884514422831752,0.6639344262295082,0.6666666666666666,0.6659959758551308,0.0977630112241,0.8770491803278688,0.4746666666666667,0.5734406438631791
VAT_TotalFat_ratio,clinic4_aec_best,internal,692,114,0.16473988439306358,0.8564165604322224,0.8200010789720761,0.8889762375890043,0.11248966098032874,0.8947368421052632,0.6833910034602076,0.7182080924855492,0.10075664929809258,0.9035087719298246,0.6608996539792388,0.7008670520231214
VAT_TotalFat_ratio,clinic4_aec_best,external,497,122,0.2454728370221328,0.8209398907103824,0.7782051282051283,0.8605741144829563,0.11248966098032874,0.9098360655737705,0.536,0.6277665995975855,0.10075664929809258,0.9180327868852459,0.5013333333333333,0.6036217303822937
VAT_SAT_ratio,clinic4,internal,692,101,0.14595375722543352,0.8269085791827914,0.7871354543757636,0.865891189175888,0.17955904655155633,0.7029702970297029,0.8020304568527918,0.7875722543352601,0.08569114867565361,0.900990099009901,0.5685279187817259,0.6170520231213873
VAT_SAT_ratio,clinic4,external,497,110,0.22132796780684105,0.7261334272962179,0.6734999188866121,0.7776966636666465,0.17955904655155633,0.6272727272727273,0.7080103359173127,0.6901408450704225,0.08569114867565361,0.8454545454545455,0.4806201550387597,0.5613682092555332
VAT_SAT_ratio,clinic4_aec_best,internal,692,101,0.14595375722543352,0.8644016685932554,0.827828794496826,0.8976283149280866,0.10410390067816477,0.8910891089108911,0.6920473773265652,0.7210982658959537,0.09504160336873867,0.900990099009901,0.6751269035532995,0.708092485549133
VAT_SAT_ratio,clinic4_aec_best,external,497,110,0.22132796780684105,0.8163965233732675,0.7716377430918054,0.8586207738057096,0.10410390067816477,0.8727272727272727,0.5839793281653747,0.647887323943662,0.09504160336873867,0.9,0.5452196382428941,0.6237424547283702
VAT_TAMA_ratio,clinic4,internal,692,120,0.17341040462427745,0.8725378787878788,0.8441415899397071,0.9008660089910091,0.17894894042962659,0.825,0.791958041958042,0.7976878612716763,0.12614833782680035,0.9,0.6940559440559441,0.7297687861271677
VAT_TAMA_ratio,clinic4,external,497,130,0.26156941649899396,0.8041605533431146,0.7577090839425311,0.8472816076460424,0.17894894042962659,0.7384615384615385,0.7329700272479565,0.7344064386317908,0.12614833782680035,0.8153846153846154,0.6321525885558583,0.6800804828973843
