feature,cohort,auc_clinic4,auc_clinic4_fpca3,auc_clinic4_fpca3_total,auc_clinic4_uplow_ratio,auc_clinic4_uplow_ratio_total,delta_auc_clinic4_fpca3_minus_clinic4,delong_z_clinic4_fpca3_minus_clinic4,delong_p_clinic4_fpca3_minus_clinic4,delta_auc_clinic4_uplow_ratio_minus_clinic4,delong_z_clinic4_uplow_ratio_minus_clinic4,delong_p_clinic4_uplow_ratio_minus_clinic4,delta_auc_clinic4_fpca3_total_minus_clinic4,delong_z_clinic4_fpca3_total_minus_clinic4,delong_p_clinic4_fpca3_total_minus_clinic4,delta_auc_clinic4_uplow_ratio_total_minus_clinic4,delong_z_clinic4_uplow_ratio_total_minus_clinic4,delong_p_clinic4_uplow_ratio_total_minus_clinic4,delta_auc_clinic4_fpca3_total_minus_clinic4_fpca3,delong_z_clinic4_fpca3_total_minus_clinic4_fpca3,delong_p_clinic4_fpca3_total_minus_clinic4_fpca3,delta_auc_clinic4_uplow_ratio_total_minus_clinic4_uplow_ratio,delong_z_clinic4_uplow_ratio_total_minus_clinic4_uplow_ratio,delong_p_clinic4_uplow_ratio_total_minus_clinic4_uplow_ratio
HTN,internal,0.7941,0.8032,0.7999,0.8001,0.7996,0.0091,1.7524,0.0797,0.0061,1.3212,0.1864,0.0058,1.2092,0.2266,0.0055,1.421,0.1553,-0.0033,-1.5134,0.1302,-0.0005,-0.2448,0.8066
HTN,external,0.7194,0.7325,0.731,0.7294,0.7292,0.0132,2.0496,0.0404,0.01,1.4708,0.1414,0.0116,2.03,0.0424,0.0099,1.7342,0.0829,-0.0016,-0.5998,0.5486,-0.0002,-0.0622,0.9504
DM,internal,0.7216,0.7405,0.7407,0.737,0.7375,0.0188,2.3974,0.0165,0.0154,2.2271,0.0259,0.019,2.4403,0.0147,0.0159,2.4227,0.0154,0.0002,0.0795,0.9366,0.0005,0.209,0.8344
DM,external,0.6655,0.6808,0.6845,0.677,0.6767,0.0154,1.7978,0.0722,0.0116,1.2119,0.2256,0.0191,2.2437,0.0249,0.0113,1.2154,0.2242,0.0037,1.7299,0.0836,-0.0003,-0.1543,0.8774
CKD,internal,0.7682,0.772,0.773,0.7725,0.7726,0.0038,0.5555,0.5785,0.0043,0.7954,0.4264,0.0048,0.7343,0.4628,0.0044,0.8003,0.4236,0.0011,0.3172,0.7511,0.0001,0.0263,0.9791
CKD,external,0.6155,0.6293,0.6307,0.6331,0.6337,0.0138,2.4583,0.014,0.0175,2.8322,0.0046,0.0151,2.7919,0.0052,0.0182,2.9385,0.0033,0.0013,0.5861,0.5578,0.0006,0.3937,0.6938
