pretrain_epochs,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
30,32,HTN,0.7984902968884663,0.003185830188118577
15,32,HTN,0.8006032868733097,0.0052988201729620155
30,16,HTN,0.7993105292876459,0.004006062587298187
30,32,DM,0.7133893496289829,-0.0051728334956182564
15,32,DM,0.7092552798576369,-0.009306903266964262
15,16,DM,0.7075848638485042,-0.01097731927609702
15,16,CKD,0.760609061648923,-0.005471651398861077
30,16,CKD,0.7532392506395973,-0.012841462408186732
15,32,CKD,0.7577370636296112,-0.008343649418172783
