feature,cohort,predictor_group,predictor,n_seg,segment,r,p_value,n
imata,internal,clinic4,sex_M,,,0.08696994470198496,0.004059805221378349,1090
imata,internal,clinic4,age_z,,,0.36674600675817176,4.888793601803145e-36,1090
imata,internal,clinic4,height_z,,,0.03502218900037793,0.2479714950343461,1090
imata,internal,clinic4,weight_z,,,0.3878381064559101,1.9064591728719037e-40,1090
nama,internal,clinic4,sex_M,,,0.6150554477300715,2.016200397609014e-114,1090
nama,internal,clinic4,age_z,,,-0.24356720501527207,3.482983195158149e-16,1090
nama,internal,clinic4,height_z,,,0.6507207526154145,2.951403147431504e-132,1090
nama,internal,clinic4,weight_z,,,0.6234708985193915,2.0151518886255334e-118,1090
lama,internal,clinic4,sex_M,,,0.33952713357162667,8.172955168295992e-31,1090
lama,internal,clinic4,age_z,,,0.3374579965901432,1.944286541077796e-30,1090
lama,internal,clinic4,height_z,,,0.24521997846406823,2.1682731121921979e-16,1090
lama,internal,clinic4,weight_z,,,0.553606966415025,1.4972298340866007e-88,1090
vat,internal,clinic4,sex_M,,,0.41224429822757647,5.760773393323539e-46,1090
vat,internal,clinic4,age_z,,,0.3573734269409907,3.5130795246196258e-34,1090
vat,internal,clinic4,height_z,,,0.2629987318111298,1.057478506448138e-18,1090
vat,internal,clinic4,weight_z,,,0.6222619705132342,7.699950499333976e-118,1090
sat,internal,clinic4,sex_M,,,-0.3424586263293203,2.367128252673556e-31,1090
sat,internal,clinic4,age_z,,,-0.0698790035310321,0.02104147909831278,1090
sat,internal,clinic4,height_z,,,-0.16865783593532097,2.1182972129795573e-08,1090
sat,internal,clinic4,weight_z,,,0.3277868683065178,1.0240512151415257e-28,1090
tama,internal,clinic4,sex_M,,,0.636639452951586,6.212088712073495e-125,1090
tama,internal,clinic4,age_z,,,-0.027398411550384767,0.36615748631093337,1090
tama,internal,clinic4,height_z,,,0.6235443751323807,1.8571258196812492e-118,1090
tama,internal,clinic4,weight_z,,,0.7580905008558415,3.259326284844864e-204,1090
total_fat,internal,clinic4,sex_M,,,-0.05620821859713168,0.06358764769180662,1090
total_fat,internal,clinic4,age_z,,,0.11356088919237682,0.00017190243455544364,1090
total_fat,internal,clinic4,height_z,,,-0.00024125928266664765,0.9936520401088125,1090
total_fat,internal,clinic4,weight_z,,,0.5190670649585925,3.155489316317123e-76,1090
imata,external,clinic4,sex_M,,,-0.030321497722080603,0.3567078771732836,926
imata,external,clinic4,age_z,,,0.3254292584740912,2.767511748885577e-24,926
imata,external,clinic4,height_z,,,-0.028441362132300935,0.3873223086327992,926
imata,external,clinic4,weight_z,,,0.3480652740145106,9.177711825436097e-28,926
nama,external,clinic4,sex_M,,,0.6709848281035125,3.620416177010714e-122,926
nama,external,clinic4,age_z,,,-0.2678202819618555,1.1253865892083963e-16,926
nama,external,clinic4,height_z,,,0.6798359312186921,1.3850566012696439e-126,926
nama,external,clinic4,weight_z,,,0.5696447911252654,8.927997746585225e-81,926
lama,external,clinic4,sex_M,,,0.17394194562109405,1.000669575381724e-07,926
lama,external,clinic4,age_z,,,0.28327316631575006,1.507944252626529e-18,926
lama,external,clinic4,height_z,,,0.1565185043432338,1.7014629867080816e-06,926
lama,external,clinic4,weight_z,,,0.4654354834023422,5.782600155332009e-51,926
vat,external,clinic4,sex_M,,,0.29544957917524883,4.1436992019513973e-20,926
vat,external,clinic4,age_z,,,0.30905929695113576,6.045836461074061e-22,926
vat,external,clinic4,height_z,,,0.18789666085575138,8.341456115081182e-09,926
vat,external,clinic4,weight_z,,,0.5627282687962407,1.8577687378363333e-78,926
sat,external,clinic4,sex_M,,,-0.4264605965708345,3.2453925327406275e-42,926
sat,external,clinic4,age_z,,,-0.06737297113757973,0.040390172040685596,926
sat,external,clinic4,height_z,,,-0.217676648447982,2.1500576422929947e-11,926
sat,external,clinic4,weight_z,,,0.313540107418269,1.4306154622144918e-22,926
tama,external,clinic4,sex_M,,,0.6871080359791705,2.4755567131754865e-130,926
tama,external,clinic4,age_z,,,-0.08420732398323322,0.01036099060621386,926
tama,external,clinic4,height_z,,,0.6880662165538847,7.791301107897405e-131,926
tama,external,clinic4,weight_z,,,0.7662016476546442,1.1794358159780957e-179,926
total_fat,external,clinic4,sex_M,,,-0.18029151974921934,3.309266569310663e-08,926
total_fat,external,clinic4,age_z,,,0.08560722067137945,0.00915219602857235,926
total_fat,external,clinic4,height_z,,,-0.07589735477631478,0.020899896288343517,926
total_fat,external,clinic4,weight_z,,,0.4716905335425182,1.7756784018278122e-52,926
